,Genome_ID
0,GCA_000016645.1
4,GCA_000023285.1
5,GCA_000023465.1
6,GCA_000023725.1
9,GCA_000060345.1
10,GCA_000064305.2
12,GCA_000143785.1
14,GCA_000152925.3
15,GCA_000152945.2
16,GCA_000152985.1
18,GCA_000153225.1
19,GCA_000153385.1
20,GCA_000153485.2
21,GCA_000154725.1
23,GCA_000169355.1
24,GCA_000171875.1
25,GCA_000173095.1
26,GCA_000173115.1
27,GCA_000173675.1
28,GCA_000174755.1
29,GCA_000183155.1
30,GCA_000183985.1
31,GCA_000184135.2
32,GCA_000186265.1
34,GCA_000190595.1
35,GCA_000191565.1
36,GCA_000192225.1
39,GCA_000211855.3
40,GCA_000212355.1
41,GCA_000213295.2
42,GCA_000218485.2
44,GCA_000220585.2
45,GCA_000220625.1
46,GCA_000224085.1
51,GCA_000240075.2
52,GCA_000240095.3
53,GCA_000242075.2
54,GCA_000242095.1
55,GCA_000242135.1
56,GCA_000243235.1
57,GCA_000243275.1
58,GCA_000246945.2
59,GCA_000252125.2
60,GCA_000252855.1
61,GCA_000253275.1
62,GCA_000255455.1
63,GCA_000258765.1
67,GCA_000264055.1
68,GCA_000265385.1
69,GCA_000265465.1
70,GCA_000271925.1
71,GCA_000277585.1
72,GCA_000277665.1
73,GCA_000278705.1
74,GCA_000282055.1
75,GCA_000282115.1
77,GCA_000293175.1
78,GCA_000295655.1
79,GCA_000297855.1
80,GCA_000297875.1
84,GCA_000318255.2
85,GCA_000318275.2
86,GCA_000318295.1
87,GCA_000318315.2
88,GCA_000321285.1
89,GCA_000331695.1
90,GCA_000331815.1
92,GCA_000332115.1
93,GCA_000333355.1
95,GCA_000335775.1
97,GCA_000348685.1
99,GCA_000355805.1
100,GCA_000355905.1
101,GCA_000367325.1
102,GCA_000374405.1
103,GCA_000378485.1
104,GCA_000378765.1
105,GCA_000379185.1
107,GCA_000382425.1
110,GCA_000401415.1
111,GCA_000403785.1
112,GCA_000411115.1
113,GCA_000411575.1
114,GCA_000413415.1
115,GCA_000419685.1
116,GCA_000422265.1
118,GCA_000422685.1
119,GCA_000422705.1
120,GCA_000422725.1
121,GCA_000423005.1
122,GCA_000423045.1
123,GCA_000423065.1
124,GCA_000423405.1
126,GCA_000424645.1
128,GCA_000424985.1
129,GCA_000425305.1
130,GCA_000425425.1
131,GCA_000425445.1
132,GCA_000425465.1
133,GCA_000425485.1
134,GCA_000425505.1
136,GCA_000426145.1
137,GCA_000426465.1
138,GCA_000427335.1
139,GCA_000428485.1
140,GCA_000429125.1
141,GCA_000429545.1
142,GCA_000430025.1
143,GCA_000430545.1
144,GCA_000430645.1
145,GCA_000430665.1
146,GCA_000430825.1
147,GCA_000430845.1
149,GCA_000447375.1
150,GCA_000455605.1
152,GCA_000466425.1
153,GCA_000468575.1
154,GCA_000468595.1
155,GCA_000468615.2
157,GCA_000477035.2
158,GCA_000482305.1
159,GCA_000495935.2
160,GCA_000495955.1
161,GCA_000495975.1
162,GCA_000495995.1
163,GCA_000496015.1
164,GCA_000496035.1
165,GCA_000496055.1
166,GCA_000498475.1
167,GCA_000498495.1
168,GCA_000498515.1
169,GCA_000498535.1
170,GCA_000509405.1
172,GCA_000518405.1
173,GCA_000518485.1
174,GCA_000518505.1
175,GCA_000518525.1
176,GCA_000520835.1
177,GCA_000520955.1
178,GCA_000520975.1
179,GCA_000520995.1
180,GCA_000568425.1
181,GCA_000611675.1
182,GCA_000612925.1
183,GCA_000621125.1
185,GCA_000626715.1
186,GCA_000633375.1
187,GCA_000686885.1
188,GCA_000687915.1
189,GCA_000687935.1
190,GCA_000688315.1
191,GCA_000688335.1
192,GCA_000689455.1
193,GCA_000689515.1
194,GCA_000695795.1
195,GCA_000708595.2
196,GCA_000708615.2
199,GCA_000729985.1
200,GCA_000732625.1
202,GCA_000733925.1
203,GCA_000733945.1
204,GCA_000734055.1
205,GCA_000735105.1
206,GCA_000735135.1
207,GCA_000735205.1
208,GCA_000735535.1
209,GCA_000735695.2
210,GCA_000735715.2
212,GCA_000737665.1
213,GCA_000737685.1
214,GCA_000737695.1
215,GCA_000737705.1
216,GCA_000737715.1
217,GCA_000737765.1
218,GCA_000737775.1
219,GCA_000737785.1
220,GCA_000738495.1
221,GCA_000739395.1
222,GCA_000744105.1
223,GCA_000744275.1
224,GCA_000744495.1
226,GCA_000744835.1
227,GCA_000745185.1
228,GCA_000745315.1
229,GCA_000745535.1
230,GCA_000745775.1
231,GCA_000745795.1
232,GCA_000746315.1
234,GCA_000747685.1
235,GCA_000750195.1
238,GCA_000754365.1
239,GCA_000754405.1
240,GCA_000755265.1
241,GCA_000755285.1
242,GCA_000755305.1
243,GCA_000755325.1
244,GCA_000756505.1
245,GCA_000757385.1
246,GCA_000764435.1
247,GCA_000764515.1
248,GCA_000764755.1
249,GCA_000764775.1
250,GCA_000764795.1
251,GCA_000764815.1
252,GCA_000764835.1
253,GCA_000766795.1
254,GCA_000766805.1
255,GCA_000767095.1
256,GCA_000769435.1
257,GCA_000769445.1
258,GCA_000769815.1
259,GCA_000769825.1
260,GCA_000769835.1
261,GCA_000769895.1
262,GCA_000769915.1
263,GCA_000769935.1
264,GCA_000773465.1
265,GCA_000775755.1
267,GCA_000797445.1
268,GCA_000797465.1
269,GCA_000799195.1
270,GCA_000799235.1
271,GCA_000799255.1
272,GCA_000799325.1
273,GCA_000799335.1
274,GCA_000799375.1
275,GCA_000799455.1
276,GCA_000799465.1
277,GCA_000799515.1
278,GCA_000799565.1
279,GCA_000799645.1
280,GCA_000800075.1
282,GCA_000801615.1
283,GCA_000801625.1
284,GCA_000801635.1
285,GCA_000801645.1
286,GCA_000801695.1
287,GCA_000801715.1
288,GCA_000805695.1
289,GCA_000807225.1
290,GCA_000812825.1
291,GCA_000812865.1
292,GCA_000812875.1
293,GCA_000812945.1
294,GCA_000812985.1
295,GCA_000813005.1
296,GCA_000813825.1
297,GCA_000820645.1
298,GCA_000826645.1
299,GCA_000826655.1
300,GCA_000827555.1
301,GCA_000827575.1
302,GCA_000827615.1
303,GCA_000827635.1
304,GCA_000827655.1
305,GCA_000827695.1
306,GCA_000827715.1
307,GCA_000827735.1
308,GCA_000828715.1
310,GCA_000829375.1
311,GCA_000831185.1
312,GCA_000831205.1
313,GCA_000831225.1
314,GCA_000831385.1
316,GCA_000832125.1
317,GCA_000833025.1
318,GCA_000834715.1
319,GCA_000934685.1
323,GCA_000947275.1
324,GCA_000952855.1
325,GCA_000955665.1
328,GCA_000967805.1
329,GCA_000971575.2
330,GCA_000971605.2
331,GCA_000971645.2
332,GCA_000971685.2
333,GCA_000971735.2
334,GCA_000971785.2
336,GCA_000981625.1
339,GCA_000982575.1
340,GCA_001005305.1
341,GCA_001005315.1
342,GCA_001011675.1
343,GCA_001013295.1
344,GCA_001020565.1
345,GCA_001021975.1
346,GCA_001027725.1
347,GCA_001027945.1
349,GCA_001045435.1
350,GCA_001045445.1
351,GCA_001045455.1
352,GCA_001045465.1
353,GCA_001050935.1
354,GCA_001051075.1
355,GCA_001051115.1
356,GCA_001051975.1
357,GCA_001057035.1
358,GCA_001077795.1
359,GCA_001187685.1
360,GCA_001263145.1
362,GCA_001275605.1
363,GCA_001278115.1
364,GCA_001278825.1
368,GCA_001280865.1
369,GCA_001295265.1
370,GCA_001297705.1
373,GCA_001315805.1
374,GCA_001401755.1
375,GCA_001403755.1
376,GCA_001404975.1
377,GCA_001404985.1
378,GCA_001413925.1
379,GCA_001413955.1
380,GCA_001418015.1
381,GCA_001418085.1
383,GCA_001418685.1
384,GCA_001420285.1
385,GCA_001421435.1
386,GCA_001422725.1
387,GCA_001423985.1
388,GCA_001424105.1
389,GCA_001424145.1
390,GCA_001424585.1
391,GCA_001425355.1
392,GCA_001427905.1
393,GCA_001428525.1
394,GCA_001429295.1
395,GCA_001429765.1
397,GCA_001430865.1
398,GCA_001431365.1
399,GCA_001431805.1
403,GCA_001438125.1
407,GCA_001438225.1
408,GCA_001438245.1
412,GCA_001439205.1
413,GCA_001439215.1
414,GCA_001439315.1
417,GCA_001447995.1
418,GCA_001456155.1
419,GCA_001464475.1
420,GCA_001481655.1
421,GCA_001482795.1
422,GCA_001482835.1
423,GCA_001483145.1
424,GCA_001483385.1
425,GCA_001485415.1
426,GCA_001485515.1
427,GCA_001507325.1
428,GCA_001507335.1
