,sample_attribute
0,strain: DSM 7271 || type-material: type strain of Capnocytophaga ochracea
1,"strain: ATCC 35910 || misc_param: HMP supersite: urogenital_tract || project_type: Reference Genome || estimated_size: 5562000 || culture-collection: ATCC:35910 || feature: Homo sapiens-associated habitat [ENVO:00009003] || investigation_type: missing || host taxid: 9606 || nucleic acid extraction: not determined || finishing strategy (depth of coverage): Level 6: Finished33.84x;7 || material: biological product [ENVO:02000043] || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || num_replicons: not determined || ref_biomaterial: not determined || geo_loc_name: not determined || biome: terrestrial biome [ENVO:00000446] || lat lon: not determined || env_package: missing || collection date: not determined || specific host: Homo sapiens || sequencing method: 454-GS-FLX, Illumina || assembly: Newbler v. 2.0.0-Eclipse || isol_growth_condt: not determined || misc_param: HMP body site: Vaginal || source_mat_id: ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432 || project_name: Chryseobacterium gleum F93, ATCC 35910 || isolation-source: missing || type-material: type strain of Chryseobacterium gleum || BioSampleModel: MIGS.ba"
2,"finishing strategy (depth of coverage): Level 2: High-Quality Draft19x;65 || collection date: not determined || estimated_size: 2998000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: Gingival crevices || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga sputigena Capno, ATCC 33612 || assembly: Newbler v. 1.1.03.24-64-7 || geo_loc_name: not determined || source_mat_id: ATCC 33612 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: 454-GS-FLX || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: Capno || environmental package: missing || isolation-source: missing || BioSampleModel: MIGS.ba"
3,finishing strategy (depth of coverage): Level 2: High-Quality Draft37x;37 || collection date: not determined || estimated_size: 2667000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga gingivalis ATCC 33624 || assembly: not determined || geo_loc_name: not determined || source_mat_id: ATCC 33624 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: 454 || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: ATCC 33624 || environmental package: missing || culture-collection: ATCC:33624 || isolation-source: missing || type-material: type strain of Capnocytophaga gingivalis || BioSampleModel: MIGS.ba
4,"biotic_relationship: symbiont || Isolation Site: Duck blood || Temperature Optimum: 37C || isol_growth_condt: 8240957 || Body Sample Site: Blood || Motility: Nonmotile || GOLD Stamp ID: Gi04613 || lat_lon: Missing || Diseases: Septicemia || collection_date: 1954 || investigation_type: bacteria_archaea || environment: Missing || Isolation Comments: isolated by Bruner and Fabricant || Temperature Range: Mesophile || Type Strain: Yes || rel_to_oxygen: microaerophilic || project_name: Riemerella anatipestifer A350/72, DSM 15868 || ref_biomaterial: DSM 15868, ATCC 11845, CCUG 14215, JCM 9532, LMG 11054, NCTC 11014 || alt_elev: Missing || num_replicons: 1 || isolation-source: blood || Funding Program: DOE-GEBA 2007 || Sporulation: Nonsporulating || trophic_level: Missing || country: USA || strain: DSM 15868 || depth: Missing || Cell Shape: Rod-shaped || Host Health: Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds. || Host Name: Anas platyrhynchos (duck), gucks, geese,turkeys and waterfowls distributed worldwide"
5,finishing strategy (depth of coverage): Level 2: High-Quality Draft34.5x;61 || collection date: not determined || estimated_size: 2635000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || feature: Homo sapiens-associated habitat [ENVO:00009003] || investigation_type: missing || host taxid: 9606 || project_name: Capnocytophaga ochracea F0287 || assembly: Newbler v. 2.3-04192010 || geo_loc_name: not determined || source_mat_id: BEI HM-15 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || env_package: missing || strain: F0287 || sequencing method: 454-Paired-end || isolation-source: oral cavity || BioSampleModel: MIGS.ba
6,"biotic_relationship: free living || Isolation Site: surfaces of algal species from the Antarctic marine coast and sea ice || isol_growth_condt: 11034497 || Motility: Motile || pH: 7.5 || GOLD Stamp ID: Gi04009 || lat_lon: Missing || collection_date: Missing || investigation_type: bacteria_archaea || environment: Missing || Gram Staining: Gram- || Gene Calling Method: Prodigal 1.4, GenePRIMP || Temperature Range: Mesophile || Type Strain: Yes || rel_to_oxygen: aerobe || project_name: Cellulophaga algicola IC166, DSM 14237 || ref_biomaterial: DSM 14237, ACAM 630 || alt_elev: Missing || num_replicons: 1 || isolation-source: surfaces of algal species from Antarctic marine coast and sea ice || Funding Program: DOE-GEBA 2009 || trophic_level: chemoheterotroph || country: Missing || strain: DSM 14237 || depth: Missing || Cell Shape: Rod-shaped"
7,
8,
9,finishing strategy (depth of coverage): Level 2: High-Quality Draft37.97x;74 || collection date: not determined || estimated_size: 2479000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || feature: Homo sapiens-associated habitat [ENVO:00009003] || investigation_type: missing || host taxid: 9606 || project_name: Capnocytophaga sp. oral taxon 338 F0234 || assembly: Newbler v. 2.3-04192010 || geo_loc_name: not determined || source_mat_id: BEI HM-265 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || env_package: missing || strain: F0234 || sequencing method: 454-Paired-end || BioSampleModel: MIGS.ba
