AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_000023285.1	PRJNA29403	SAMN00001911	SRR013476,SRR013477
GCA_000143785.1	PRJNA30953	SAMN00000627	SRR004314,SRR004519,SRR004524,SRR005656,SRR089540
GCA_000173095.1	PRJNA28049	SAMN02441803	SRR3923699,SRR3923700
GCA_000173675.1	PRJNA30997	SAMN00000681	SRR005028
GCA_000174755.1	PRJNA31387	SAMN00001917	SRR013509
GCA_000183155.1	PRJNA41989	SAMN00138930	SRR074211,SRR074212,SRR3926782,SRR3926783
GCA_000183985.1	PRJNA51493	SAMN00215988	SRR101435
GCA_000186265.1	PRJNA41529	SAMN00190054	SRR090670,SRR3926636,SRR402906
GCA_000189415.1	PRJNA50581	SAMN00713585	SRR3926800
GCA_000190595.1	PRJNA50743	SAMN00713590	SRR3926716
GCA_000192225.1	PRJNA53023	SAMN00253971	SRR155583
GCA_000211855.3	PRJNA62899	SAMN00713635	SRR3927354
GCA_000212355.1	PRJNA62895	SAMN00713609	SRR3927348
GCA_000213295.2	PRJNA43127	SAMN00189097	SRR089412,SRR9067178,SRR9067272
GCA_000224085.1	PRJNA52467	SAMN02232041	SRR067872,SRR333159,SRR333160,SRR333161,SRR333162,SRR333163
GCA_000243275.1	PRJNA61389	SAMN02256523	SRR3926765,SRR402809,SRR402810
GCA_000265385.1	PRJNA46631	SAMN02232006	SRR388781,SRR402805,SRR402806
GCA_000265465.1	PRJNA50745	SAMN02261366	SRR3926758,SRR3926759
GCA_000271925.1	PRJNA78903	SAMN00792225	SRR413414
GCA_000277585.1	PRJNA78899	SAMN00792203	SRR413297
GCA_000277665.1	PRJNA78901	SAMN00792204	SRR413298
GCA_000282055.1	PRJNA83059	SAMN00839621	SRR491270
GCA_000282115.1	PRJNA83059	SAMN00839624	SRR491273
GCA_000293175.1	PRJNA78587	SAMN00828795	SRR445482
GCA_000348685.1	PRJNA178952	SAMN01940371	SRR768453
GCA_000374405.1	PRJNA174178	SAMN02441030	SRR3947693
GCA_000379185.1	PRJNA163027	SAMN02256428	SRR3928181
GCA_000383355.1	PRJNA195656	SAMN02441636	SRR3938271
GCA_000401415.1	PRJNA198814	SAMN02470766	SRR1207329
GCA_000419685.1	PRJNA163029	SAMN02441252	SRR3947650
GCA_000422365.1	PRJNA188867	SAMN02441142	SRR3720989
GCA_000424645.1	PRJNA186465	SAMN02441483	SRR1797538,SRR1797539
GCA_000425305.1	PRJNA188886	SAMN02440859	SRR3721551
GCA_000425425.1	PRJNA188892	SAMN02440860	SRR3721554
GCA_000425445.1	PRJNA188893	SAMN02441540	SRR3721054
GCA_000425485.1	PRJNA188895	SAMN02440861	SRR3721047
