"sra_ID"	"run_ID"	"run_alias"	"run_accession"	"run_date"	"updated_date"	"spots"	"bases"	"run_center"	"experiment_name"	"run_attribute"	"experiment_ID"	"experiment_alias"	"experiment_accession"	"experiment_title"	"study_name"	"sample_name"	"design_description"	"library_name"	"library_strategy"	"library_source"	"library_selection"	"library_layout"	"library_construction_protocol"	"read_spec"	"platform"	"instrument_model"	"platform_parameters"	"experiment_attribute"	"sample_ID"	"sample_alias"	"sample_accession"	"taxon_id"	"common_name"	"description"	"sample_url_link"	"sample_attribute"	"study_ID"	"study_alias"	"study_accession"	"study_title"	"study_type"	"study_abstract"	"center_project_name"	"study_description"	"study_url_link"	"study_attribute"	"submission_ID"	"submission_accession"	"submission_comment"	"submission_center"	"submission_lab"	"submission_date"	"sradb_updated"
0	15449	"DRR016064"	"DRR016064"	"2013-04-14"	"2019-12-27"	8273335	1654667000	"NIG"	"DRX014436"	NA	13963	"DRX014436"	"DRX014436"	"Whole genome sequencing of Elizabethkingia miricola using Illumina HiSeq 2500"	"DRP001738"	"DRS014172"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 101"	"ILLUMINA"	"Illumina HiSeq 2500"	"INSTRUMENT_MODEL: Illumina HiSeq 2500"	NA	13638	"SAMD00016624"	"DRS014172"	172045	NA	NA	NA	"sample_name: DRS014172 || strain: GTC_862 || sample comment: Genome of Elizabethkingia miricola, GTC_00862T, Gifu062, N-134, NBRC_4thRun_lane8_N711_S501"	1571	"PRJDB2834"	"DRP001738"	"Whole genome sequencing of Elizabethkingia miricola, an opportunistic pathogen"	"Other"	"Whole genome sequencing of Elizabethkingia miricola, an opportunistic pathogen"	"Elizabethkingia miricola"	NA	NA	NA	1457	"DRA001666"	NA	"GIFU_MED"	"Gifu University School of Medicine Pathogenic Bacterial Genetic Resorce Stock Center (GMGC)"	NA	"2020-09-03 11:01:35"
0	8094777	NA	"DRR141376"	NA	"2019-10-29"	5976557	1195311400	NA	NA	NA	7275084	NA	"DRX134090"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7173108	NA	"DRS111983"	NA	NA	NA	NA	NA	219710	NA	"DRP005537"	NA	NA	NA	NA	NA	NA	NA	1403831	"DRA007057"	NA	NA	NA	NA	"2020-09-03 11:01:35"
0	8094778	NA	"DRR141377"	NA	"2020-01-15"	4664522	932904400	NA	NA	NA	7275085	NA	"DRX134091"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7173109	NA	"DRS111962"	NA	NA	NA	NA	NA	219710	NA	"DRP005537"	NA	NA	NA	NA	NA	NA	NA	1403832	"DRA007058"	NA	NA	NA	NA	"2020-09-03 11:01:35"
0	6227346	"DRR165669"	"DRR165669"	NA	"2020-01-24"	2246699	1338577885	NA	"DRX156288"	NA	5523138	"DRX156288"	"DRX156288"	"Illumina MiSeq paired end sequencing of SAMD00056696"	"DRP004782"	"DRS087377"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 550; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 302"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4922857	"SAMD00056696"	"DRS087377"	1883406	NA	NA	NA	"sample_name: Arenibacter sp. C-21 || locus_tag_prefix: C21 || strain: C-21 || collection_date: 2004-01-04 || env_biome: missing || env_feature: missing || env_material: marine sediment (ENVO:00002113) || geo_loc_name: Japan || lat_lon: missing || project_name: Genome sequencing of bacteria contributing to the geochemical cycling of arsenic, bromine, and iodine. || isol_growth_condt: 17933915 || ref_biomaterial: missing || num_replicons: missing || BioSampleModel: MIGS.ba"	180891	"DRP004782"	"DRP004782"	"Genome sequencing of bacteria contributing to the geochemical cycling of arsenic, bromine, and iodine."	"Other"	"To understand the contribution of bacteria to the global biogeochemical cycles of chemical elements (arsenic, bromine, and iodine), we performed whole-genome shotgun sequencing on bacterial strains isolated from soils and marine sediments. Draft genome sequences of an arsenate-reducing bacterium Tepidibacillus sp. HK-1. Draft genome sequences of a bromate-reducing bacterium Rhodococcus sp. Br-6. Draft genome sequences of an iodine-accumulating bacterium Arenibacter sp. C-21. Draft genome sequences of an iodide-oxidizing bacterium Roseovarius sp. A-2. Draft genome sequences of an arsenite-oxidizing bacterium Sinorhizobium sp. KGO-5. Draft genome sequences of an iodate-reducing bacterium Pseudomonas sp. SCT. Draft genome sequences of an antimonate-reducing bacterium Geobacter sp. SbR. Draft genome sequences of a bromate-reducing bacterium Shewanella sp. M-Br."	NA	"To understand the contribution of bacteria to the global biogeochemical cycles of chemical elements (arsenic, bromine, and iodine), we performed whole-genome shotgun sequencing on bacterial strains isolated from soils and marine sediments. Draft genome sequences of an arsenate-reducing bacterium Tepidibacillus sp. HK-1. Draft genome sequences of a bromate-reducing bacterium Rhodococcus sp. Br-6. Draft genome sequences of an iodine-accumulating bacterium Arenibacter sp. C-21. Draft genome sequences of an iodide-oxidizing bacterium Roseovarius sp. A-2. Draft genome sequences of an arsenite-oxidizing bacterium Sinorhizobium sp. KGO-5. Draft genome sequences of an iodate-reducing bacterium Pseudomonas sp. SCT. Draft genome sequences of an antimonate-reducing bacterium Geobacter sp. SbR. Draft genome sequences of a bromate-reducing bacterium Shewanella sp. M-Br."	NA	NA	1109184	"DRA007938"	NA	"CHIBA_U"	"NA"	NA	"2020-09-03 11:01:35"
0	6515742	"DRR182481"	"DRR182481"	NA	"2019-06-18"	1108600	666540239	NA	"DRX172987"	NA	6422932	"DRX172987"	"DRX172987"	"Illumina MiSeq paired end sequencing of SAMD00166971"	"DRP005163"	"DRS100177"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 377; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927020	"SAMD00166971"	"DRS100177"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN181 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS1-1804 || ref_biomaterial: missing || strain: NNS1-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
0	6515743	"DRR182482"	"DRR182482"	NA	"2019-06-18"	928945	558455085	NA	"DRX172988"	NA	6422933	"DRX172988"	"DRX172988"	"Illumina MiSeq paired end sequencing of SAMD00166972"	"DRP005163"	"DRS100178"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 380; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927021	"SAMD00166972"	"DRS100178"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN182 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS2-1804 || ref_biomaterial: missing || strain: NNS2-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
0	6515744	"DRR182483"	"DRR182483"	NA	"2019-10-28"	900565	541443214	NA	"DRX172989"	NA	6422934	"DRX172989"	"DRX172989"	"Illumina MiSeq paired end sequencing of SAMD00166973"	"DRP005163"	"DRS100179"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 371; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927022	"SAMD00166973"	"DRS100179"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN184 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS4-1804 || ref_biomaterial: missing || strain: NNS4-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
0	6515745	"DRR182484"	"DRR182484"	NA	"2019-06-18"	1879416	1130035537	NA	"DRX172990"	NA	6422935	"DRX172990"	"DRX172990"	"Illumina MiSeq paired end sequencing of SAMD00166974"	"DRP005163"	"DRS100180"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 373; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927023	"SAMD00166974"	"DRS100180"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN185 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS5-1804 || ref_biomaterial: missing || strain: NNS5-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
0	6515746	"DRR182485"	"DRR182485"	NA	"2019-06-18"	1013232	609165036	NA	"DRX172991"	NA	6422936	"DRX172991"	"DRX172991"	"Illumina MiSeq paired end sequencing of SAMD00166975"	"DRP005163"	"DRS100181"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 374; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927024	"SAMD00166975"	"DRS100181"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN186 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS6-1804 || ref_biomaterial: missing || strain: NNS6-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
0	6515747	"DRR182486"	"DRR182486"	NA	"2019-06-18"	877303	527491163	NA	"DRX172992"	NA	6422937	"DRX172992"	"DRX172992"	"Illumina MiSeq paired end sequencing of SAMD00166976"	"DRP005163"	"DRS100182"	NA	NA	"WGS"	"GENOMIC"	"RANDOM"	"PAIRED - NOMINAL_LENGTH: 378; "	NA	"READ_INDEX: 0; READ_CLASS: Application Read; READ_TYPE: Forward; BASE_COORD: 1 || READ_INDEX: 1; READ_CLASS: Application Read; READ_TYPE: Reverse; BASE_COORD: 301"	"ILLUMINA"	"Illumina MiSeq"	"INSTRUMENT_MODEL: Illumina MiSeq"	NA	4927025	"SAMD00166976"	"DRS100182"	96345	NA	NA	NA	"sample_name: Flavobacterium psychrophilum genomic DNA || collection_date: 2018-04-17 || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: Japan:Nahari River || host: Plecoglossus altivelis altivelis || isol_growth_condt: missing || lat_lon: missing || locus_tag_prefix: FPN187 || num_replicons: missing || project_name: Draft genome sequence of Flavobacterium psychrophilum strain NNS7-1804 || ref_biomaterial: missing || strain: NNS7-1804 || BioSampleModel: MIGS.ba"	201041	"DRP005163"	"DRP005163"	"Draft genome sequences of six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River, Kochi, Japan."	"Other"	"Six Flavobacterium psychrophilum isolates from dead juvenile ayu in Nahari River were analysed using multi locus sequence typing from whole genome sequence data."	"Flavobacterium psychrophilum"	NA	NA	NA	1109363	"DRA008554"	NA	"NAGASAKI"	"International Health, Institute of Tropical Medicine"	NA	"2020-09-03 11:01:35"
