ACCESION,HISTORY,MEROPS ID,NAME,Related EC entry
,,A01.002,pepsin B,EC 3.4.23.2
,,A01.014,candidapepsin SAP1,
,,A01.021,plasmepsin (Plasmodium sp.),
,,A01.026,peptidase F,
,,A01.027,trichodermapepsin,
,,A01.028,embryonic pepsin (Gallus gallus),
,,A01.035,yapsin-3,
,,A01.036,axp peptidase (Yarrowia lipolytica),
,,A01.038,candiparapsin,
,,A01.042,syncephapepsin,
,,A01.043,histoaspartic peptidase (Plasmodium falciparum),
,,A01.044,podosporapepsin,
,,A01.045,nothepsin,
,,A01.050,CND41 peptidase,
,,A01.051,pepsin F,
,,A01.052,Mername-AA045 peptidase,
,,A01.053,necepsin-1,
,,A01.054,tick heme-binding aspartic proteinase (Rhipicephalus microplus),
,,A01.055,Mername-AA047 peptidase,
,,A01.056,Yps1 protein (Schizosaccharomyces pombe),
,,A01.057,Mername-AA034 peptidase,
,,A01.058,eimepsin,
,,A01.059,plasmepsin-4,
,,A01.061,candidapepsin SAP3,
,,A01.062,candidapepsin SAP4,
,,A01.063,candidapepsin SAP5,
,,A01.064,candidapepsin SAP6,
,,A01.065,candidapepsin SAP7,
,,A01.066,candidapepsin SAP8,
,,A01.067,candidapepsin SAP9,
,,A01.068,necepsin-2,
,,A01.069,CDR1 peptidase (Arabidopsis-type),
,,A01.070,pepsin A4,
,,A01.071,pepsin A5 (Homo sapiens),
,,A01.073,nucellin,
,,A01.074,PCS1 peptidase,
,,A01.075,plasmepsin-5 (Plasmodium sp.),
,,A01.076,Sapp2p peptidase (Candida parapsilosis),
,,A01.077,CtsD peptidase (Aspergillus-type),
,,A01.078,CnAP1 peptidase,
,,A01.079,PepAa peptidase,
,,A01.080,PepAb peptidase,
,,A01.081,PepAc peptidase,
,,A01.082,SA76 peptidase (Trichoderma sp.),
,,A01.083,hCG1733572 (Homo sapiens)-type putative peptidase,
,,A01.084,yolk cathepsin (Boophilus sp.),
,,A01.085,candidapepsin SAP10,
,,A01.086,S5 peptidase (Oryza sativa),
,,A01.087,toxomepsin 1,
,,A01.088,pepsin (fish),
,,A01.089,pregnancy-associated glycoprotein 2,
,,A01.092,CAD2 peptidase (Musca domestica),
,,A01.093,CAD3 peptidase (Musca domestica),
,,A01.094,pregnancy-associated glycoprotein 12,
,,A01.095,shewasin A (Shewanella amazonensis),
,,A01.096,chlapsin,
,,A01.097,GPI-anchored aspartic peptidase (Saccharomyces-type),
,,A01.098,ASP5 g.p. (Toxoplasma gondii),
,,A01.950,cockroach allergen,
,,A01.971,pregnancy-associated glycoprotein 1,
,,A01.973,family A1 unassigned non-peptidase homologues,
,,A01.974,xylanase inhibitor precursor,
,,A01.A01,CG31926 g.p. (Drosophila melanogaster),
,,A01.A02,At1g62290 (Arabidopsis thaliana),
,,A01.A03,At4g04460 (Arabidopsis thaliana),
