,Merops orfs total
0,107
1,269
2,213
3,108
4,106
5,124
6,163
7,138
8,215
9,85
10,141
11,138
12,108
13,136
14,108
15,51
16,131
17,194
18,40
19,150
20,153
21,119
22,176
23,167
24,166
25,129
26,183
27,90
28,238
29,124
30,149
31,65
32,203
33,119
34,78
35,81
36,104
37,116
38,160
39,207
40,104
41,145
42,141
43,230
44,138
45,138
46,194
47,187
48,162
49,178
50,161
51,117
52,129
53,159
54,154
55,125
56,126
57,120
58,176
59,215
60,128
61,142
62,128
63,175
64,134
65,220
66,82
67,91
68,168
69,146
70,140
71,224
72,176
73,204
74,150
75,61
76,107
77,129
78,107
79,152
80,188
81,149
82,173
83,164
84,214
85,166
86,90
87,146
88,136
89,87
90,171
91,148
92,185
93,113
94,58
95,165
96,116
97,85
98,118
99,184
100,66
101,112
102,175
103,54
104,185
105,205
106,181
107,130
108,118
109,137
110,108
111,168
112,134
113,144
114,131
115,145
116,87
117,135
118,136
119,171
120,105
121,118
122,83
123,206
124,136
125,97
126,126
127,198
128,133
129,120
130,107
131,225
132,91
133,128
134,168
135,80
136,124
137,124
138,194
139,87
140,181
141,76
142,164
143,156
144,118
145,66
146,219
147,80
148,137
149,112
150,109
151,166
152,128
153,138
154,109
155,156
156,159
157,131
158,159
159,146
160,124
161,118
162,89
163,112
164,103
165,57
166,117
167,111
168,194
169,184
170,193
171,149
172,112
173,150
174,62
175,168
176,105
177,148
178,192
179,168
180,106
181,110
182,166
183,154
184,128
185,179
186,109
187,184
188,143
189,235
190,143
191,57
192,124
193,95
194,128
195,140
196,108
197,105
198,128
199,92
200,132
201,171
202,137
203,163
204,125
205,114
206,108
207,120
208,125
209,60
210,92
211,60
212,280
213,125
214,104
215,166
216,156
217,165
218,72
219,205
220,126
221,105
222,166
223,145
224,126
225,121
226,207
227,44
228,128
229,220
230,52
231,118
232,182
233,145
234,96
235,130
236,71
237,157
238,107
239,154
240,131
241,143
242,155
243,122
244,154
245,74
246,191
247,132
248,137
249,103
250,136
251,136
252,170
253,93
254,106
255,120
256,184
257,178
258,102
259,118
260,193
261,112
262,119
263,118
264,130
265,135
266,124
267,180
268,220
269,137
270,115
271,80
272,73
273,185
274,60
275,119
276,113
277,160
278,114
279,167
280,105
281,107
282,134
283,146
284,122
285,137
286,90
287,118
288,177
289,194
290,110
291,165
292,71
293,160
294,176
295,137
296,83
297,92
298,129
299,194
300,193
301,110
302,147
303,54
304,157
305,137
306,172
307,88
308,83
309,173
310,86
311,137
312,126
313,88
314,143
315,173
316,112
317,125
318,94
319,81
320,176
321,108
322,162
323,81
324,176
325,234
326,83
327,152
328,164
329,144
330,204
331,111
332,105
333,135
334,82
335,68
336,94
337,196
338,76
339,153
340,145
341,144
342,179
343,213
344,128
345,105
346,139
347,146
348,122
349,159
350,83
351,125
352,77
353,120
