,Marine,Non_marine,ID,name,subfamily_merops,family_merops
3778.0,0.11458333333333333,0.514344262295082,MER0034615,dipeptidyl-peptidase 5,,
1084.0,0.17708333333333334,0.5942622950819673,MER0003242,collagenase,,
3988.0,0.1328125,0.5081967213114754,MER0039993,BF9343_2924 g.p.,,
917.0,0.016927083333333332,0.2581967213114754,MER0002639,low osmolarity induced peptidase,M48,M
607.0,0.0546875,0.3422131147540984,MER0001521,subtilisin NAT,S08,S
2216.0,0.018229166666666668,0.25,MER0013876,collagenase,,
1500.0,0.04557291666666666,0.3155737704918033,MER0005196,prolyl tripeptidyl peptidase,S09,S
2298.0,0.036458333333333336,0.2520491803278688,MER0014366,dipeptidyl-peptidase 7,,
4251.0,0.09895833333333333,0.3360655737704918,MER0060647,dihydro-orotase,,
738.0,0.4140625,0.14754098360655735,MER0002007,carboxypeptidase Ss1,M20,M
,0.016927083333333332,0.1721311475409836,CBM77,,,
2228.0,0.0078125,0.1413934426229508,MER0013976,At3g16150,,
2302.0,0.24088541666666666,0.0430327868852459,MER0014418,HMRA peptidase,,
,0.03776041666666666,0.2151639344262295,PL10_1,,,
1101.0,0.4153645833333333,0.15778688524590165,MER0003338,isoaspartyl dipeptidase,,
512.0,0.20963541666666666,0.03483606557377049,MER0001266,glutamate carboxypeptidase,M20,M
4781.0,0.03125,0.18032786885245905,MER0209507,lysophospholipase II,,
,0.014322916666666666,0.12704918032786885,3.2.1.21,,,
,0.00390625,0.0942622950819672,GT35,,,
,0.7799479166666666,0.9426229508196722,GH23,,,
3698.0,0.2421875,0.07581967213114754,MER0031565,At3g47560,,
230.0,0.16927083333333334,0.036885245901639344,MER0000472,D-Ala-D-Ala peptidase C,S13,S
,0.00390625,0.07581967213114754,GH32,,,
2072.0,0.18098958333333331,0.05737704918032788,MER0011748,AtFtsH3 peptidase,M41,M
919.0,0.13411458333333334,0.030737704918032783,MER0002646,farnesylated-protein converting enzyme 1,M48,M
3968.0,0.026041666666666668,0.1168032786885246,MER0039263,vegetative specific protein h5,,
501.0,0.04947916666666666,0.15778688524590165,MER0001236,PepA aminopeptidase,M17,M
1333.0,0.010416666666666666,0.07991803278688525,MER0004321,aminopeptidase P1,M24,M
737.0,0.018229166666666668,0.07377049180327869,MER0002003,aminopeptidase H11,,
,0.018229166666666668,0.0,CBM22,,,
,0.016927083333333332,0.0,GH86,,,
1743.0,0.009114583333333334,0.0,MER0006087,TOP1 peptidase,,
4052.0,0.0078125,0.0,MER0044812,At3g27740,,
3973.0,0.005208333333333333,0.0,MER0039461,metacaspase Atmc6,,
