,Geographic location (country or region)
USA,326
China,215
South Korea,184
Antarctica,74
Australia,64
Pacific Ocean,59
Atlantic Ocean,57
Germany,56
Japan,52
United Kingdom,43
Sweden,42
Canada,35
Spain,33
Mediterranean Sea,28
North Sea,27
Indian Ocean,24
Taiwan,21
Baltic Sea,19
Israel,18
India,16
Slovenia,15
South Africa,15
Denmark,14
France,12
Arctic Ocean,11
Thailand,11
Malaysia,11
Netherlands,11
Russia,11
Norway,10
Portugal,8
Singapore,8
Saudi Arabia,7
Italy,6
Hong Kong,6
Chile,6
Belgium,5
Svalbard,5
"China, Qingdao",4
Switzerland,4
New Zealand,4
"Antarctica, Organic Lake",4
Finland,4
"USA, WA",3
"Austria, Vorarlberg",3
"Spain, Castelldefels Barcelona",3
"Denmark, Kattegat",3
Tanzania,3
Southern Ocean,2
"France, Bretagne",2
Brazil,2
Pakistan,2
"United Kingdom, Scotland",2
"China, Quanzhou",2
Fiji,2
Bahamas,2
Rwanda,2
"South Korea, Taean region",2
Greenland,1
Philippines,1
Croatia,1
"USA, California",1
Viet Nam,1
Hungary Members,1
Oregon,1
North Atlantic Ocean,1
Unknown,1
Tonga,1
Costa Rica,1
Nepal,1
Peru,1
"United Kingdom, River Wey",1
Mexico,1
"USA, Snake River Valley",1
Korea,1
Madagascar,1
Guyana,1
Algeria,1
Argentina,1
South Pacific Gyre,1
"Chile, Region Los Lagos",1
"South Korea, Buyeo",1
"Chile, Lake Chapo",1
Gulf of Maine,1
Namibia,1
Micronesia,1
Cameroon,1
"Germany, Trier",1
Antarctica; Penola Strait,1
North America,1
Austria,1
"Germany, Kiel",1
"Nabeta Bay, Shimoda, Shizuoka",1
"Newport, Oregon",1
"Germany, Helgoland",1
Iceland,1
Greece,1
