,Geographic location (country or region)
USA,309
China,215
South Korea,184
Antarctica,74
Australia,64
Pacific Ocean,59
Atlantic Ocean,57
Germany,56
Japan,52
United Kingdom,43
Sweden,42
Canada,35
Spain,33
Mediterranean Sea,28
North Sea,27
Indian Ocean,24
Taiwan,21
Baltic Sea,19
India,16
South Africa,15
Denmark,14
"Slovenia, Dogose",14
"Israel, northern part",12
France,12
Malaysia,11
Russia,11
Arctic Ocean,11
Netherlands,11
United States,11
Thailand,11
Norway,10
Singapore,8
Portugal,8
Saudi Arabia,7
"USA, WI",6
Hong Kong,6
Chile,6
Israel,6
Italy,6
Belgium,5
Svalbard,5
New Zealand,4
Finland,4
"Antarctica, Organic Lake",4
"China, Qingdao",4
Switzerland,4
"Austria, Vorarlberg",3
"USA, WA",3
"Denmark, Kattegat",3
"Spain, Castelldefels Barcelona",3
Tanzania,3
"South Korea, Taean region",2
"China, Quanzhou",2
Brazil,2
Bahamas,2
Fiji,2
Southern Ocean,2
Rwanda,2
Pakistan,2
"United Kingdom, Scotland",2
"France, Bretagne",2
Guyana,1
"United Kingdom, River Wey",1
Argentina,1
"Chile, Lake Chapo",1
Slovenia,1
Oregon,1
Greenland,1
Gulf of Maine,1
Austria,1
North America,1
Korea,1
Micronesia,1
Philippines,1
Croatia,1
"Nabeta Bay, Shimoda, Shizuoka",1
Cameroon,1
"Germany, Kiel",1
Peru,1
Namibia,1
Hungary Members,1
Unknown,1
Nepal,1
Viet Nam,1
North Atlantic Ocean,1
"Newport, Oregon",1
"Chile, Region Los Lagos",1
Costa Rica,1
Mexico,1
"Germany, Trier",1
"Germany, Helgoland",1
Madagascar,1
"USA, California",1
Greece,1
Antarctica; Penola Strait,1
South Pacific Gyre,1
Iceland,1
Tonga,1
"USA, Snake River Valley",1
Algeria,1
"South Korea, Buyeo",1
