,,index,%,Genus
0,,Flavobacterium,12.6,589
1,,Empedobacter,72.7,44
2,,MAG-120531,96.6,29
3,,Aequorivita,61.9,42
4,,Chryseobacterium,8.8,294
5,,Leeuwenhoekiella,65.8,38
6,,Kaistella,39.6,48
7,,MS024-2A,94.7,19
8,,Polaribacter,28.1,57
9,,BACL21,100,15
10,,Uncl. Flavobacteriaceae,66.7,21
11,,UBA8316,100,12
12,,UBA6231,92.3,13
13,,Winogradskyella,21.8,55
14,,Marinirhabdus,85.7,14
15,,MED-G14,100,12
16,,SHLJ01,100,12
17,,UBA7446,100,12
18,,Epilithonimonas,38.7,31
19,,Maribacter,24.4,45
20,,UBA3537,91.7,12
21,,Muricauda,20.8,53
22,,MAG-121220-bin8,100,11
23,,Zunongwangia,76.9,13
24,,Lutibacter,47.6,21
25,,UBA724,100,9
26,,MED-G11,100,8
27,,Mesonia,42.1,19
28,,CG2-30-34-30,100,8
29,,CG1-02-35-72,100,8
30,,Euzebyella,88.9,9
31,,UBA11891,100,8
32,,Xanthomarina,63.6,11
33,,Marixanthomonas,77.8,9
34,,Muriicola,75,8
35,,Tenacibaculum,4.4,68
36,,Elizabethkingia,1.6,193
37,,Arenibacter,13.6,22
38,,Psychroflexus,17.6,17
39,,Myroides,4,50
40,,Aquimarina,5.1,39
41,,Gelidibacter,16.7,12
42,,Capnocytophaga,2.7,75
43,,Planobacterium,18.2,11
44,,Kordia,12.5,8
45,,Salegentibacter,5.3,19
46,,Nonlabens,3.6,28
47,,Croceivirga,12.5,8
48,,Psychroserpens,8.3,12
49,,Dokdonia,9.1,11
50,,Gramella,6.2,16
51,,Jejuia,11.1,9
52,,Olleya,7.7,13
53,,Cellulophaga,4.8,21
54,,Gillisia,9.1,11
55,,Lacinutrix,11.1,9
