,index,Genus,Mags,%
0,Flavobacterium,589,74,12.6
1,Empedobacter,44,32,72.7
2,MAG-120531,29,28,96.6
3,Chryseobacterium,294,26,8.8
4,Aequorivita,42,26,61.9
5,Leeuwenhoekiella,38,25,65.8
6,Kaistella,48,19,39.6
7,MS024-2A,19,18,94.7
8,Polaribacter,57,16,28.1
9,BACL21,15,15,100.0
10,Uncl. Flavobacteriaceae,21,14,66.7
11,UBA7446,12,12,100.0
12,Winogradskyella,55,12,21.8
13,SHLJ01,12,12,100.0
14,Marinirhabdus,14,12,85.7
15,Epilithonimonas,31,12,38.7
16,UBA6231,13,12,92.3
17,UBA8316,12,12,100.0
18,MED-G14,12,12,100.0
19,UBA3537,12,11,91.7
20,Maribacter,45,11,24.4
21,Muricauda,53,11,20.8
22,MAG-121220-bin8,11,11,100.0
23,Zunongwangia,13,10,76.9
24,Lutibacter,21,10,47.6
25,UBA724,9,9,100.0
26,UBA11891,8,8,100.0
27,CG2-30-34-30,8,8,100.0
28,MED-G11,8,8,100.0
29,CG1-02-35-72,8,8,100.0
30,Euzebyella,9,8,88.9
31,Mesonia,19,8,42.1
32,Marixanthomonas,9,7,77.8
33,Xanthomarina,11,7,63.6
34,Muriicola,8,6,75.0
35,Elizabethkingia,193,3,1.6
36,Psychroflexus,17,3,17.6
37,Arenibacter,22,3,13.6
38,Tenacibaculum,68,3,4.4
39,Aquimarina,39,2,5.1
40,Myroides,50,2,4.0
41,Gelidibacter,12,2,16.7
42,Capnocytophaga,75,2,2.7
43,Planobacterium,11,2,18.2
44,Gillisia,11,1,9.1
45,Jejuia,9,1,11.1
46,Dokdonia,11,1,9.1
47,Croceivirga,8,1,12.5
48,Olleya,13,1,7.7
49,Salegentibacter,19,1,5.3
50,Psychroserpens,12,1,8.3
51,Cellulophaga,21,1,4.8
52,Kordia,8,1,12.5
53,Nonlabens,28,1,3.6
54,Gramella,16,1,6.2
55,Lacinutrix,9,1,11.1
