,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Nr_BGCs,PEP:GH,BGCs/genomesize,merops_perMb,bgc_perMb,cazymes_perMb,PEP:GH_permb
0,GCA_000016645.1,244,4.69953775,5192,GCA_000016645.1,183,158,3.524653313,GCA_000016645.1,Flavobacterium,Flavobacteriaceae,6096872,99.65,False,Non_marine,7,0.75,1.15E-06,30.0153915,1.148129729,40.020522,0.75
1,GCA_000023285.1,88,4.03299725,2182,GCA_000023285.1,77,55,3.528872594,GCA_000023285.1,Capnocytophaga,Flavobacteriaceae,2612925,100,False,Non_marine,4,0.875,1.53E-06,29.46889023,1.53085144,33.67873169,0.875
2,GCA_000023465.1,197,4.392419175,4485,GCA_000023465.1,168,128,3.745819398,GCA_000023465.1,Zunongwangia,Flavobacteriaceae,5128187,99.62,False,Unclassified,3,0.852791878,5.85E-07,32.76011581,0.585002068,38.4151358,0.852791878
3,GCA_000023725.1,91,3.624054162,2511,GCA_000023725.1,113,28,4.500199124,GCA_000023725.1,Kaistella,Weeksellaceae,2768102,100,False,Non_marine,1,1.241758242,3.61E-07,40.82219514,0.361258364,32.87451113,1.241758242
4,GCA_000024125.1,90,2.892960463,3111,GCA_000024125.1,160,37,5.143040823,GCA_000024125.1,Robiginitalea,Flavobacteriaceae,3530383,99.01,False,Unclassified,3,1.777777778,8.50E-07,45.32086179,0.849766159,25.49298476,1.777777778
5,GCA_000060345.1,114,3.308183401,3446,GCA_000060345.1,139,46,4.033662217,GCA_000060345.1,Gramella,Flavobacteriaceae,3798465,99.62,False,Unclassified,3,1.219298246,7.90E-07,36.59372931,0.789792719,30.01212332,1.219298246
6,GCA_000064305.2,56,2.235528942,2505,GCA_000064305.2,108,7,4.311377246,GCA_000064305.2,Flavobacterium,Flavobacteriaceae,2860382,99.29,False,Unclassified,3,1.928571429,1.05E-06,37.75719467,1.048810963,19.57780464,1.928571429
7,GCA_000143785.1,114,2.218330414,5139,GCA_000143785.1,215,63,4.183693326,GCA_000143785.1,Chryseobacterium,Weeksellaceae,5570640,100,False,Non_marine,9,1.885964912,1.62E-06,38.5952063,1.615613287,20.46443497,1.885964912
8,GCA_000152925.3,84,2.893558388,2903,GCA_000152925.3,129,23,4.443678953,GCA_000152925.3,Dokdonia,Flavobacteriaceae,3302548,99.62,False,Marine,3,1.535714286,9.08E-07,39.06074946,0.908389522,25.43490662,1.535714286
9,GCA_000152945.2,74,2.804092459,2639,GCA_000152945.2,118,32,4.471390678,GCA_000152945.2,Polaribacter,Flavobacteriaceae,2961474,99.61,False,Unclassified,2,1.594594595,6.75E-07,39.84502312,0.675339375,24.98755687,1.594594595
