Genome_ID,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality
GCA_000016645.1,GCA_000016645.1_ASM1664v1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.14,0.0,98.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium johnsoniae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,1,1,6096872,6096872,0.0,1,6096872,1,6096872,1,6096872,1,6096872,6096872,6096872,1,100.0,0.34113000000000004,0.0,Medium
GCA_000023285.1,GCA_000023285.1_ASM2328v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,1,1,2612925,2612925,0.0,1,2612925,1,2612925,1,2612925,1,2612925,2612925,2612925,1,100.0,0.39588,0.0,Medium
GCA_000023465.1,GCA_000023465.1_ASM2346v1_genomic,s__algicola (UID2847),99.62,0.57,0.0,96.77000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia;s__Zunongwangia profunda,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda,1,1,5128187,5128187,0.0,1,5128187,1,5128187,1,5128187,1,5128187,5128187,5128187,1,100.0,0.36218,0.0,Medium
GCA_000023725.1,GCA_000023725.1_ASM2372v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella sp000023725,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp000023725,1,1,2768102,2768102,0.0,1,2768102,1,2768102,1,2768102,1,2768102,2768102,2768102,1,100.0,0.42693000000000003,0.0,Medium
GCA_000024125.1,GCA_000024125.1_ASM2412v1_genomic,s__algicola (UID2846),99.01,0.11,0.0,98.46000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__Robiginitalea biformata,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata,1,1,3530383,3530383,0.0,1,3530383,1,3530383,1,3530383,1,3530383,3530383,3530383,1,100.0,0.55293,0.0,Medium
GCA_000060345.1,GCA_000060345.1_ASM6034v1_genomic,s__algicola (UID2847),99.62,0.19,0.0,98.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__Gramella forsetii,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gramella,Gramella forsetii,1,1,3798465,3798465,0.0,1,3798465,1,3798465,1,3798465,1,3798465,3798465,3798465,1,100.0,0.36611,0.0,Medium
GCA_000064305.2,GCA_000064305.2_ASM6430v2_genomic,f__Flavobacteriaceae (UID2817),99.29,0.44,0.0,97.09,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium psychrophilum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum,1,1,2860382,2860382,0.0,1,2860382,1,2860382,1,2860382,1,2860382,2860382,2860382,1,100.0,0.32533,0.0,Medium
GCA_000143785.1,GCA_000143785.1_ASM14378v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gleum,5,7,5570640,5569640,0.018000000000000002,1,3972748,1,3504888,3,402694,5,317043,3972748,3504888,5,100.0,0.36814,0.0025399999999999997,Medium
GCA_000152925.3,GCA_000152925.3_ASM15292v3_genomic,s__algicola (UID2847),99.62,0.0,0.0,99.62,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__Dokdonia donghaensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia donghaensis,1,1,3302548,3302548,0.0,1,3302548,1,3302548,1,3302548,1,3302548,3302548,3302548,1,100.0,0.38161,0.0,Medium
GCA_000152945.2,GCA_000152945.2_ASM15294v2_genomic,f__Flavobacteriaceae (UID2845),99.61,0.0,0.0,99.61,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter sp000152945,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp000152945,1,1,2961474,2961474,0.0,1,2961474,1,2961474,1,2961474,1,2961474,2961474,2961474,1,100.0,0.30588000000000004,0.0,Medium
