,Genome,BGC_full,Class,BiG-SCAPE class,Product Prediction,Clan,Family,Pfam_vector,Pfam_vector_length,Pfam_descriptor
5879,GCA_000060345.1,GCA_000060345.1_contig1.region001,PKSother,Others,T3PKS.arylpolyene,1848,10217,['PF00583.25 PF11396.8 PF12706.7 PF01625.21 PF11074.8 PF00872.18 PF00665.26 PF13276.6 PF01527.20 PF13280.6 PF14452.6 PF00899.21 PF14059.6 PF01226.17 PF00383.23 PF02482.19 PF00694.19 PF00330.20 PF01648.20 PF00550.25 PF02801.22 PF00109.26 PF07977.13 PF13561.6 PF02797.15 PF00195.19 PF13847.6 PF01494.19 PF00691.20 PF13488.6 PF13648.6 PF07043.13 PF02780.20 PF02779.24 PF00676.20 PF14226.6 PF03171.20 PF01253.22 PF08874.10 PF01048.20 PF13089.6 PF02503.17 PF17941.1 PF13090.6 PF09084.11 PF03167.19 PF00488.21 PF04134.12 PF00375.18 PF01264.21 PF00072.24'],51,Acetyltransf_1;PepSY_like;Lactamase_B_2;PMSR;DUF2779;Transposase_mut;rve;HTH_21;HTH_Tnp_1;WYL;Multi_ubiq;ThiF;DUF4251;Form_Nir_trans;dCMP_cyt_deam_1;Ribosomal_S30AE;Aconitase_C;Aconitase;ACPS;PP-binding;Ketoacyl-synt_C;ketoacyl-synt;FabA;adh_short_C2;Chal_sti_synt_C;Chal_sti_synt_N;Methyltransf_31;FAD_binding_3;OmpA;Gly-zipper_Omp;Lipocalin_4;DUF1328;Transketolase_C;Transket_pyr;E1_dh;DIOX_N;2OG-FeII_Oxy;SUI1;DUF1835;PNP_UDP_1;PP_kinase_N;PP_kinase;PP_kinase_C_1;PP_kinase_C;NMT1;UDG;MutS_V;DUF393;SDF;Chorismate_synt;Response_reg
6433,GCA_000060345.1,GCA_000060345.1_contig1.region001,Others,Others,T3PKS.arylpolyene,8095,8095,['PF00583.25 PF11396.8 PF12706.7 PF01625.21 PF11074.8 PF00872.18 PF00665.26 PF13276.6 PF01527.20 PF13280.6 PF14452.6 PF00899.21 PF14059.6 PF01226.17 PF00383.23 PF02482.19 PF00694.19 PF00330.20 PF01648.20 PF00550.25 PF02801.22 PF00109.26 PF07977.13 PF13561.6 PF02797.15 PF00195.19 PF13847.6 PF01494.19 PF00691.20 PF13488.6 PF13648.6 PF07043.13 PF02780.20 PF02779.24 PF00676.20 PF14226.6 PF03171.20 PF01253.22 PF08874.10 PF01048.20 PF13089.6 PF02503.17 PF17941.1 PF13090.6 PF09084.11 PF03167.19 PF00488.21 PF04134.12 PF00375.18 PF01264.21 PF00072.24'],51,Acetyltransf_1;PepSY_like;Lactamase_B_2;PMSR;DUF2779;Transposase_mut;rve;HTH_21;HTH_Tnp_1;WYL;Multi_ubiq;ThiF;DUF4251;Form_Nir_trans;dCMP_cyt_deam_1;Ribosomal_S30AE;Aconitase_C;Aconitase;ACPS;PP-binding;Ketoacyl-synt_C;ketoacyl-synt;FabA;adh_short_C2;Chal_sti_synt_C;Chal_sti_synt_N;Methyltransf_31;FAD_binding_3;OmpA;Gly-zipper_Omp;Lipocalin_4;DUF1328;Transketolase_C;Transket_pyr;E1_dh;DIOX_N;2OG-FeII_Oxy;SUI1;DUF1835;PNP_UDP_1;PP_kinase_N;PP_kinase;PP_kinase_C_1;PP_kinase_C;NMT1;UDG;MutS_V;DUF393;SDF;Chorismate_synt;Response_reg
5897,GCA_000152945.2,GCA_000152945.2_contig1.region002,PKSother,Others,T3PKS.arylpolyene,1848,10220,['PF09912.9 PF00764.19 PF01118.24 PF02774.18 PF03807.17 PF14748.6 PF00202.21 PF02729.21 PF00185.24 PF00696.28 PF01546.28 PF00206.20 PF05834.12 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF04542.14 PF08281.12 PF01212.21 PF16313.5 PF17148.4 PF03462.18 PF00472.20 PF03960.15'],26,Glyco_hydro_20b;Glyco_hydro_20;DUF2834;polyprenyl_synt;TetR_N;OEP;OEP;HlyD_D23;ACR_tran;RecX;SnoaL_3;Epimerase;Thioredoxin_9;ABC_tran;HTH_18;AraC_binding;ACPS;PP-binding;Ketoacyl-synt_C;ketoacyl-synt;FabA;adh_short_C2;Chal_sti_synt_C;Chal_sti_synt_N;Methyltransf_25;FAD_binding_3;F5_F8_type_C;Chondroitinas_B;DAO;Acetyltransf_1;IMS_C;IMS_HHH;IMS;Abhydrolase_1;LysE;ELFV_dehydrog;ELFV_dehydrog_N;Phe_tRNA-synt_N;tRNA-synt_2d;Na_H_antiporter;FGGY_N;FGGY_C;Putative_PNPOx;DAO;DAO_C;Glycos_transf_2;DUF547;MFS_3
8478,GCA_000152945.2,GCA_000152945.2_contig1.region002,Others,Others,T3PKS.arylpolyene,4095,9786,['PF09912.9 PF00764.19 PF01118.24 PF02774.18 PF03807.17 PF14748.6 PF00202.21 PF02729.21 PF00185.24 PF00696.28 PF01546.28 PF00206.20 PF05834.12 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF04542.14 PF08281.12 PF01212.21 PF16313.5 PF17148.4 PF03462.18 PF00472.20 PF03960.15'],26,Glyco_hydro_20b;Glyco_hydro_20;DUF2834;polyprenyl_synt;TetR_N;OEP;OEP;HlyD_D23;ACR_tran;RecX;SnoaL_3;Epimerase;Thioredoxin_9;ABC_tran;HTH_18;AraC_binding;ACPS;PP-binding;Ketoacyl-synt_C;ketoacyl-synt;FabA;adh_short_C2;Chal_sti_synt_C;Chal_sti_synt_N;Methyltransf_25;FAD_binding_3;F5_F8_type_C;Chondroitinas_B;DAO;Acetyltransf_1;IMS_C;IMS_HHH;IMS;Abhydrolase_1;LysE;ELFV_dehydrog;ELFV_dehydrog_N;Phe_tRNA-synt_N;tRNA-synt_2d;Na_H_antiporter;FGGY_N;FGGY_C;Putative_PNPOx;DAO;DAO_C;Glycos_transf_2;DUF547;MFS_3
1746,GCA_000153485.2,GCA_000153485.2_contig1.region004,Terpene,Others,T1PKS.terpene.PUFA.hglE-KS,6097,1848,['PF07980.11 PF14322.6 PF00593.24 PF07715.15 PF13715.6 PF00702.26 PF16884.5 PF00107.26 PF00571.28 PF00571.28 PF01979.20 PF01979.20 PF00664.23 PF00005.27 PF02826.19 PF13640.6 PF01242.19 PF00905.22 PF00912.22 PF14109.6 PF04468.12 PF00109.26 PF02801.22 PF04055.21 PF06968.13 PF13621.6 PF02631.16 PF10150.9 PF00216.21 PF00730.25 PF14815.6 PF00436.25 PF01595.20 PF00571.28 PF00571.28 PF03471.17 PF13483.6 PF00892.20 PF00892.20 PF12368.8 PF00581.20 PF17773.1 PF00742.19 PF03447.16 PF00561.20 PF02566.19 PF01053.20 PF00154.21 PF04542.14 PF08281.12'],50,Acetyltransf_9;Beta-lactamase;LytTR;Acyl_transf_3;DUF998;Cupin_2;Flavodoxin_2;DDE_Tnp_IS1595;Abhydrolase_1;Lycopene_cycl;YceI;EFG_C;EFG_IV;EFG_II;GTP_EFTU;AcetylCoA_hydro;AcetylCoA_hyd_C;PIN_3;HTH_17;Y2_Tnp;Y2_Tnp;Zn_Tnp_IS91;Phage_integrase;Transposase_20;DEDD_Tnp_IS110;TetR_N;adh_short_C2;Sacchrp_dh_NADP;Hist_deacetyl;DDE_3;HTH_33;HTH_23;DDE_Tnp_1_4;ACPS;TetR_N;ketoacyl-synt;Ketoacyl-synt_C;Acyl_transf_1;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;KR;PS-DH;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;FabA;FabA;PfaD_N;NMO;BAAT_C;Bile_Hydr_Trans;Hydrolase_4;Y1_Tnp;DUF1624;ACR_tran;HlyD_D23;OEP;OEP;LytTR;DDE_Tnp_IS1595;DUF4062;GIIM;RVT_1
4688,GCA_000153485.2,GCA_000153485.2_contig1.region004,PKSother,Others,T1PKS.terpene.PUFA.hglE-KS,1848,1848,['PF07980.11 PF14322.6 PF00593.24 PF07715.15 PF13715.6 PF00702.26 PF16884.5 PF00107.26 PF00571.28 PF00571.28 PF01979.20 PF01979.20 PF00664.23 PF00005.27 PF02826.19 PF13640.6 PF01242.19 PF00905.22 PF00912.22 PF14109.6 PF04468.12 PF00109.26 PF02801.22 PF04055.21 PF06968.13 PF13621.6 PF02631.16 PF10150.9 PF00216.21 PF00730.25 PF14815.6 PF00436.25 PF01595.20 PF00571.28 PF00571.28 PF03471.17 PF13483.6 PF00892.20 PF00892.20 PF12368.8 PF00581.20 PF17773.1 PF00742.19 PF03447.16 PF00561.20 PF02566.19 PF01053.20 PF00154.21 PF04542.14 PF08281.12'],50,Acetyltransf_9;Beta-lactamase;LytTR;Acyl_transf_3;DUF998;Cupin_2;Flavodoxin_2;DDE_Tnp_IS1595;Abhydrolase_1;Lycopene_cycl;YceI;EFG_C;EFG_IV;EFG_II;GTP_EFTU;AcetylCoA_hydro;AcetylCoA_hyd_C;PIN_3;HTH_17;Y2_Tnp;Y2_Tnp;Zn_Tnp_IS91;Phage_integrase;Transposase_20;DEDD_Tnp_IS110;TetR_N;adh_short_C2;Sacchrp_dh_NADP;Hist_deacetyl;DDE_3;HTH_33;HTH_23;DDE_Tnp_1_4;ACPS;TetR_N;ketoacyl-synt;Ketoacyl-synt_C;Acyl_transf_1;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;KR;PS-DH;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;FabA;FabA;PfaD_N;NMO;BAAT_C;Bile_Hydr_Trans;Hydrolase_4;Y1_Tnp;DUF1624;ACR_tran;HlyD_D23;OEP;OEP;LytTR;DDE_Tnp_IS1595;DUF4062;GIIM;RVT_1
7381,GCA_000153485.2,GCA_000153485.2_contig1.region004,Others,Others,T1PKS.terpene.PUFA.hglE-KS,4095,2332,['PF07980.11 PF14322.6 PF00593.24 PF07715.15 PF13715.6 PF00702.26 PF16884.5 PF00107.26 PF00571.28 PF00571.28 PF01979.20 PF01979.20 PF00664.23 PF00005.27 PF02826.19 PF13640.6 PF01242.19 PF00905.22 PF00912.22 PF14109.6 PF04468.12 PF00109.26 PF02801.22 PF04055.21 PF06968.13 PF13621.6 PF02631.16 PF10150.9 PF00216.21 PF00730.25 PF14815.6 PF00436.25 PF01595.20 PF00571.28 PF00571.28 PF03471.17 PF13483.6 PF00892.20 PF00892.20 PF12368.8 PF00581.20 PF17773.1 PF00742.19 PF03447.16 PF00561.20 PF02566.19 PF01053.20 PF00154.21 PF04542.14 PF08281.12'],50,Acetyltransf_9;Beta-lactamase;LytTR;Acyl_transf_3;DUF998;Cupin_2;Flavodoxin_2;DDE_Tnp_IS1595;Abhydrolase_1;Lycopene_cycl;YceI;EFG_C;EFG_IV;EFG_II;GTP_EFTU;AcetylCoA_hydro;AcetylCoA_hyd_C;PIN_3;HTH_17;Y2_Tnp;Y2_Tnp;Zn_Tnp_IS91;Phage_integrase;Transposase_20;DEDD_Tnp_IS110;TetR_N;adh_short_C2;Sacchrp_dh_NADP;Hist_deacetyl;DDE_3;HTH_33;HTH_23;DDE_Tnp_1_4;ACPS;TetR_N;ketoacyl-synt;Ketoacyl-synt_C;Acyl_transf_1;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;PP-binding;KR;PS-DH;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;FabA;FabA;PfaD_N;NMO;BAAT_C;Bile_Hydr_Trans;Hydrolase_4;Y1_Tnp;DUF1624;ACR_tran;HlyD_D23;OEP;OEP;LytTR;DDE_Tnp_IS1595;DUF4062;GIIM;RVT_1
4690,GCA_000171875.1,GCA_000171875.1_contig5.region002,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,1858,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF05724.11 PF00156.27 PF01202.22 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],21,Sigma70_r4_2;TRAM;tRNA_U5-meth_tr;DinB_2;Cupin_2;7TMR-DISM_7TM;HisKA;HATPase_c;Response_reg;HTH_18;SAICAR_synt;PhoH;SAM_adeno_trans;ABM;ABC2_membrane_3;ABC_transp_aux;DNA_pol3_beta;DNA_pol3_beta_2;DNA_pol3_beta_3;Peptidase_M57;DUF4870;ACPS;Thioesterase;PP-binding;AMP-binding;Condensation;Aminotran_3;PP-binding;Acyl_transf_1;KAsynt_C_assoc;Ketoacyl-synt_C;ketoacyl-synt;PP-binding;AMP-binding_C;AMP-binding;Methyltransf_25;Cupin_8;Cytochrom_C;MnmE_helical;TrmE_N;DUF4369;AhpC-TSA;Rhomboid;Lip_A_acyltrans;Aminotran_5;PGM_PMM_III;PGM_PMM_II;PGM_PMM_I;ACP_PD;G_glu_transpept;PD40;PD40;PD40;PD40;Tricorn_C1;Tricorn_PDZ;Peptidase_S41
3,GCA_000171875.1,GCA_000171875.1_contig5.region002,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,1858,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF05724.11 PF00156.27 PF01202.22 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],21,Sigma70_r4_2;TRAM;tRNA_U5-meth_tr;DinB_2;Cupin_2;7TMR-DISM_7TM;HisKA;HATPase_c;Response_reg;HTH_18;SAICAR_synt;PhoH;SAM_adeno_trans;ABM;ABC2_membrane_3;ABC_transp_aux;DNA_pol3_beta;DNA_pol3_beta_2;DNA_pol3_beta_3;Peptidase_M57;DUF4870;ACPS;Thioesterase;PP-binding;AMP-binding;Condensation;Aminotran_3;PP-binding;Acyl_transf_1;KAsynt_C_assoc;Ketoacyl-synt_C;ketoacyl-synt;PP-binding;AMP-binding_C;AMP-binding;Methyltransf_25;Cupin_8;Cytochrom_C;MnmE_helical;TrmE_N;DUF4369;AhpC-TSA;Rhomboid;Lip_A_acyltrans;Aminotran_5;PGM_PMM_III;PGM_PMM_II;PGM_PMM_I;ACP_PD;G_glu_transpept;PD40;PD40;PD40;PD40;Tricorn_C1;Tricorn_PDZ;Peptidase_S41
1162,GCA_000171875.1,GCA_000171875.1_contig5.region002,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,1858,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF05724.11 PF00156.27 PF01202.22 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],21,Sigma70_r4_2;TRAM;tRNA_U5-meth_tr;DinB_2;Cupin_2;7TMR-DISM_7TM;HisKA;HATPase_c;Response_reg;HTH_18;SAICAR_synt;PhoH;SAM_adeno_trans;ABM;ABC2_membrane_3;ABC_transp_aux;DNA_pol3_beta;DNA_pol3_beta_2;DNA_pol3_beta_3;Peptidase_M57;DUF4870;ACPS;Thioesterase;PP-binding;AMP-binding;Condensation;Aminotran_3;PP-binding;Acyl_transf_1;KAsynt_C_assoc;Ketoacyl-synt_C;ketoacyl-synt;PP-binding;AMP-binding_C;AMP-binding;Methyltransf_25;Cupin_8;Cytochrom_C;MnmE_helical;TrmE_N;DUF4369;AhpC-TSA;Rhomboid;Lip_A_acyltrans;Aminotran_5;PGM_PMM_III;PGM_PMM_II;PGM_PMM_I;ACP_PD;G_glu_transpept;PD40;PD40;PD40;PD40;Tricorn_C1;Tricorn_PDZ;Peptidase_S41
