,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_pfam%,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Assembly method resumed,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host resumed,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
0,GCA_000016645.1,GCA_000016645.1_ASM1664v1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.14,0.0,98.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium johnsoniae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,1,1,6096872,6096872,0.0,1,6096872,1,6096872,1,6096872,1,6096872,6096872,6096872,1,100.0,0.34113000000000004,0.0,High,5192,3948,1843,3127,244,76.04006163328198,35.496918335901384,60.22727272727273,4.6995377503852085,ASM1664v1,,,,,,Complete Genome,,,,PRJNA16082,SAMN02598357,,Sample from Flavobacterium johnsoniae UW101,,,Rod,,,Flavobacterium johnsoniae ATCC 17061. Flavobacterium johnsoniae ATCC 17061 was isolated from soil in England and is the type strain of this species. This organism will be used for comparative genomics. ,2007-05-01T00:00:00Z,,,1.0,,ATCC 17061,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/645/GCA_000016645.1_ASM1664v1,,GCF_000016645.1,CP000685,,Flavobacterium johnsoniae UW101,,Full,Complete,,United Kingdom: England,England,United Kingdom,,Multiple,,,,,,,,,,,,,,,,,,,,strain=UW101; ATCC 17061,,,,isolated from soil in England and is the type strain of this species,United Kingdom,,soil,,,,,,,,,,,Yes,NCBI,376686.0,,Flavobacterium johnsoniae UW101,Flavobacterium johnsoniae UW101,,,Aerobic,identical,,,,,,2014-01-28T00:00:00.000,,NC_009441,representative genome,5017.0,,assembly from type material,Major,,Non-halophilic,SAMN02598357,CP000685,,2007/05/01,DOE Joint Genome Institute,,,,,complete,,986.0,,No,ATCC 17061,,,Generic,Generic.1.0,US DOE Joint Genome Institute,,,376686.0,,20-30,Mesophilic,,,type strain of Flavobacterium johnsoniae,Yes,,latest,,,,False,Non_marine
3,GCA_000023725.1,GCA_000023725.1_ASM2372v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella sp000023725,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Kaistella,Kaistella sp000023725,1,1,2768102,2768102,0.0,1,2768102,1,2768102,1,2768102,1,2768102,2768102,2768102,1,100.0,0.42693,0.0,High,2511,1991,1056,1642,91,79.29111907606531,42.054958183990436,65.39227399442453,3.6240541616885698,ASM2372v1,,,,,,Complete Genome,,,,PRJNA38559,SAMN02604231,,Sample from Flavobacteriaceae bacterium 3519-10,,,,,,Flavobacteriaceae bacterium 3519-10.This strain will be used for comparative genome analysis.,2009-08-05T00:00:00Z,,,1.0,Antarctica: Vostok Station,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/725/GCA_000023725.1_ASM2372v1,,GCF_000023725.1,CP001673,,Flavobacteriaceae bacterium 3519-10,,Full,Complete,,Antarctica: Vostok Station,Vostok Station,Antarctica,,,,,,,,,,,,,,,,,,,,,,strain=3519-10,,,,,,,"glacial ice, 3519 m depth",,,,,,,,,,,,NCBI,531844.0,,Flavobacteriaceae bacterium 3519-10,Flavobacteriaceae bacterium 3519-10,,,,identical,,,,,18622572,2014-01-30T15:13:19.717,,NC_013062,,2534.0,,,Major,,,SAMN02604231,CP001673,,2009/08/05,University of Nevada Las Vegas,,,,,complete,,531844.0,,,3519,,,Generic,Generic.1.0,University of Nevada Las Vegas,,,531844.0,,,,,,,,,latest,,,,False,Non_marine
8,GCA_000152925.3,GCA_000152925.3_ASM15292v3_genomic,s__algicola (UID2847),99.62,0.0,0.0,99.62,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__Dokdonia donghaensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia donghaensis,1,1,3302548,3302548,0.0,1,3302548,1,3302548,1,3302548,1,3302548,3302548,3302548,1,100.0,0.38161,0.0,High,2903,2368,1192,1925,84,81.57078883913194,41.060971408887355,66.31071305545987,2.8935583878746125,ASM15292v3,,,,,,Complete Genome,Celera v. 1.4,Celera v. 1.4,,PRJNA13544,SAMN02436136,,Generic sample from Dokdonia donghaensis MED134,,,,,, Dokdonia donghaensis MED134. This marine bacterium was collected in the Mediterranean Sea at a depth of 1 meter. It was isolated by plating on solid media.,2014-09-12T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/925/GCA_000152925.3_ASM15292v3,,GCF_000152925.2,CP009301.1,,Dokdonia sp. MED134,,Full,Complete,,Mediterranean Sea,,Mediterranean Sea,,Aquatic,,,,,,,,,,,,,,,,,,,,strain=MED134,,,,isolated by plating on solid media,Mediterranean Sea,,collected at a depth of 1 meter;isolated by plating on solid media,,,,,,,,,,,,NCBI,313590.0,,Dokdonia sp. MED134,Dokdonia sp. MED134,,,,identical,,,,,"17215843,22003006,25136122",2013-12-04T14:26:16.620,,NZ_CP009301.1,,2886.0,,,Major,,,SAMN02436136,AAMZ,,2014/09/12,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,9x,,Sanger,Sanger,,,313590.0,,,MED134,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313590.0,,,,,,,,,latest,,,,False,Marine
14,GCA_000153485.2,GCA_000153485.2_ASM15348v2_genomic,s__algicola (UID2847),98.73,2.28,44.44,87.33000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__Psychroflexus torquis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis,1,1,4321832,4321832,0.0,1,4321832,1,4321832,1,4321832,1,4321832,4321832,4321832,1,100.0,0.34525,0.0,Medium,3741,2793,1319,2200,77,74.65918203688851,35.257952419139265,58.80780539962578,2.058273188986902,ASM15348v2,,,,,,Complete Genome,,,,PRJNA13542,SAMN02603919,,Sample from Psychroflexus torquis ATCC 700755,,,"Rod, Coccus",,,"Psychroflexus torquis strain ATCC 700755. This strain (ATCC 700755; ACAM 623) is the type strain for the species and was isolated from Prydz Bay, Antarctica from a sea-ice algal assemblage by enrichment on marine agar. ",2006-04-06T00:00:00Z,,,1.0,,ATCC 700755,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/485/GCA_000153485.2_ASM15348v2,,GCF_000153485.2,AAPR00000000,,Psychroflexus torquis ATCC 700755,,Full,WGS,,Antarctica: Prydz Bay,Prydz Bay,Antarctica,,,,,,,,,,,,,,,,,,,,,,strain=ATCC 700755,,,,"isolated from Prydz Bay, Antarctica from a sea-ice algal assemblage by enrichment on marine agar",Antarctica,,sea-ice algal assemblage,,,,,,,,,,,Yes,NCBI,313595.0,,Psychroflexus torquis ATCC 700755,Psychroflexus torquis ATCC 700755,,,Aerobic,identical,,,,,,2014-01-30T00:00:00.000,,NZ_AAPR00000000,representative genome,4032.0,,assembly from type material,Major,,,SAMN02603919,CP003879,,2012/10/09,J. Craig Venter Institute,,,,,assembly,,57029.0,,,ATCC700755,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313595.0,,<0-15,Psychrophilic,,,type strain of Psychroflexus torquis,Yes,,latest,,,,False,Unclassified
18,GCA_000173095.1,GCA_000173095.1_ASM17309v1_genomic,k__Bacteria (UID2566),91.18,0.0,0.0,91.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp000173095,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp000173095,17,17,1905484,1905483,0.0,2,371257,2,371257,7,52249,7,52249,684032,684032,7,90.444,0.35706,0.02474,High,1748,1481,835,1259,37,84.72540045766591,47.76887871853547,72.02517162471395,2.1167048054919912,ASM17309v1,,,,,,Contig,,,,PRJNA28049,SAMN02441803,,,,,,,2005,Flavobacteria bacterium MS024-2A. The DNA for sequencing was obtained by whole-genome multiple displacement amplification. This organism will be used for comparative analysis.,2009-03-16T00:00:00Z,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/095/GCA_000173095.1_ASM17309v1,,GCF_000173095.1,ABVV00000000,,Flavobacteria bacterium MS024-2A,,Full,WGS,,USA: Maine,Maine,USA,,Aquatic,,,,,,,,,,,,,,,,,,,,strain=MS024-2A,,,,,United States,,"Boothbay harbor, 1m depth",,,,,,,,,,,,,487796.0,,,Flavobacteria bacterium MS024-2A,,,,identical,,,,,,,,NZ_ABVV00000000,,1772.0,,,Major,"SRR3923699,SRR3923700",,,,,2009/03/16,DOE Joint Genome Institute,,,,,assembly,,487796.0,,,MS024-2A,,,,,US DOE Joint Genome Institute (JGI-PGF),,,487796.0,,,Mesophilic,,,,,,latest,ABVV00000000.1,,,False,Unclassified
19,GCA_000173115.1,GCA_000173115.1_ASM17311v1_genomic,s__algicola (UID2846),72.67,0.18,33.33,71.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp000173115,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-120531,MAG-120531 sp000173115,21,21,1515248,1515248,0.0,3,102182,3,102182,12,27722,12,27722,549383,549383,7,76.764,0.38707,0.02096,Low,1361,1179,652,1004,28,86.62747979426891,47.9059515062454,73.76928728875826,2.0573108008817047,ASM17311v1,,,,,,Contig,,,,PRJNA28051,SAMN02441804,,,,,,,2005,Flavobacteria bacterium MS024-3C. The DNA for sequencing was obtained by whole-genome multiple displacement amplification. This organism will be used for comparative analysis.,2009-03-16T00:00:00Z,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/115/GCA_000173115.1_ASM17311v1,,GCF_000173115.1,ABVW00000000,,Flavobacteria bacterium MS024-3C,,Full,WGS,,USA: Maine,Maine,USA,,Aquatic,,,,,,,,,,,,,,,,,,,,strain=MS024-3C,,,,,United States,,"Boothbay harbor, 1m depth",,,,,,,,,,,,,487797.0,,,Flavobacteria bacterium MS024-3C,,,,identical,,,,,,,,NZ_ABVW00000000,,1384.0,,,Major,,,,,,2009/03/16,DOE Joint Genome Institute,,,,,assembly,,487797.0,,,MS024-3C,,,,,US DOE Joint Genome Institute (JGI-PGF),,,487797.0,,,Mesophilic,,,,,,latest,ABVW00000000.1,,,False,Unclassified
22,GCA_000183155.1,GCA_000183155.1_ASM18315v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2155121,2155121,0.0,1,2155121,1,2155121,1,2155121,1,2155121,2155121,2155121,1,100.0,0.3501,0.0,High,2008,1592,852,1300,38,79.2828685258964,42.430278884462155,64.7410358565737,1.8924302788844625,ASM18315v1,,,,,,Complete Genome,,,,PRJNA41989,SAMN00138930,,,symbiont,Blood,Rod-shaped,,1954,Riemerella anatipestifer DSM 15868.This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project,2010-11-23T00:00:00Z,,,1.0,USA,DSM 15868,,,,Polyserositis;Septcemia,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/155/GCA_000183155.1_ASM18315v1,Gi04613,GCF_000183155.1,CP002346,,Riemerella anatipestifer ATCC 11845 = DSM 15868,,Full,Complete,,USA,,USA,,Host-associated,Anas platyrhynchos (duck),,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,,,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,Anas platyrhynchos (duck),Duck,,,,,,,,,,,,strain=DSM 15868,bacteria_archaea,8240957.0,,isolated by Bruner and Fabricant,,Duck blood,blood,,,,,MLST.Riemerella_anatipestifer.15,,,,,,Nonmotile,,693978.0,,,Riemerella anatipestifer DSM 15868,,,Facultative,identical,,,Riemerella anatipestifer A350/72,,,,DSM 15868,NC_014738,,1972.0,microaerophilic,assembly from type material,Major,,,,,,2010/11/23,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,34085.0,,Nonsporulating,DSM 15868,,,,,US DOE Joint Genome Institute (JGI-PGF),,,693978.0,,37C,Mesophile,,,,Yes,,latest,,,,False,Non_marine
24,GCA_000184135.2,GCA_000184135.2_ASM18413v2_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,29,29,2130198,2130195,0.0,5,185462,5,185462,12,47800,12,47800,371415,371415,10,85.68799999999997,0.34968,0.04234,High,1985,1584,854,1293,38,79.79848866498742,43.02267002518892,65.13853904282117,1.914357682619648,ASM18413v2,,,,,,Contig,Soapdenovo v. 1.1.2 2009,Soapdenovo v. 1.1.2 2009,,PRJNA59761,SAMN02469905,,Sample from Riemerella anatipestifer RA-YM,,,Rod-shaped,,,no project description provided.,2010-12-14T00:00:00Z,,,29.0,,,,,,Riemerella anatipestifer is a Gram-negative;rod-shaped bacterium associated with epizootic infections in poultry.,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/135/GCA_000184135.2_ASM18413v2,,GCF_000184135.1,AENH00000000,,Riemerella anatipestifer RA-YM,,Full,WGS,,China: Hubei,Hubei,China,gram -,,,,,,,,,,,,,,,,,,,,,strain=RA-YM,,,,,China,,,,,,,MLST.Riemerella_anatipestifer.38,,,,,,,NCBI,913239.0,,Riemerella anatipestifer RA-YM,Riemerella anatipestifer RA-YM,,,,identical,,,,,21183670,2013-12-19T13:15:59.273,,,,2006.0,,,Major,,,SAMN02469905,AENH,,2010/12/14,Huazhong Agricultural University,119x,,Illumina Solexa Genome Analyzer IIx,Illumina,assembly,,34085.0,,,RA-YM,,,Generic,Generic.1.0,Huazhong Agricultural University,,,913239.0,,,,,,,,,latest,AENH00000000.1,,,False,Unclassified
26,GCA_000189415.1,GCA_000189415.1_ASM18941v1_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella;s__Weeksella virosa,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella virosa,1,1,2272954,2272954,0.0,1,2272954,1,2272954,1,2272954,1,2272954,2272954,2272954,1,100.0,0.35922,0.0,High,2116,1701,947,1431,48,80.38752362948959,44.75425330812855,67.62759924385631,2.2684310018903595,ASM18941v1,,,,,,Complete Genome,,,,PRJNA50581,SAMN00713585,,"Weeksella virosa DSM 16922, complete genome.",free living,Urogenital tract,Rod,,,Keywords: GSC:MIGS:2.1,2011-02-15T00:00:00Z,,,1.0,USA,DSM 16922,,,,,,,,,,,,,,,Host,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/415/GCA_000189415.1_ASM18941v1,Gi04366,GCF_000189415.1,CP002455,"Prodigal 1.4, GenePRIMP",Weeksella virosa DSM 16922,,Full,Complete,,USA,,USA,Gram-,,Homo sapiens,,,,,,Homo sapiens,Homo sapiens,,,,,,,,,,,,strain=DSM 16922,bacteria_archaea,,,,,"Human urine; USA, North Carolina",urine,,,,,,,,,,,,NCBI,865938.0,,Weeksella virosa DSM 16922,Weeksella virosa DSM 16922,,,,identical,,,"Weeksella virosa CL345/78, DSM 16922",,21475590,2011-08-24T00:00:00.000,"DSM 16922, ATCC 43766, CDC 9751, CIP 103040, NCTC 11634",NC_015144,representative genome,2049.0,aerobe,assembly from type material,Major,SRR3926800,,SAMN00713585,,,2011/02/15,JGI|JGI-PGF,,,,,complete,,1014.0,,,DSM 16922,,,Generic,Generic.1.0,JGI,,,865938.0,,,Mesophilic,,,type strain of Weeksella virosa,Yes,,latest,,,,False,Non_marine
28,GCA_000191565.1,GCA_000191565.1_ASM19156v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2166384,2166384,0.0,1,2166384,1,2166384,1,2166384,1,2166384,2166384,2166384,1,100.0,0.35007,0.0,High,2083,1633,875,1330,36,78.39654344695151,42.00672107537206,63.850216034565534,1.7282765242438791,ASM19156v1,,,,,,Complete Genome,,,,PRJNA49039,SAMN02603017,,Sample from Riemerella anatipestifer RA-GD,,,,,,Riemerella anatipestifer.This species was isolated from an infected duck.,2011-03-07T00:00:00Z,,,1.0,China: Guangzhou,,,,,,,,,,,,,,,,,,,many frameshifted proteins,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/565/GCA_000191565.1_ASM19156v1,,GCF_000191565.1,CP002562,,Riemerella anatipestifer RA-GD,,Full,Complete,,China: Guangzhou,Guangzhou,China,,,Duck,,,,,,,Duck,,,,,,,,,,,,strain=RA-GD,,,,isolated from an infected duck,,,infected duck,,,,,MLST.Riemerella_anatipestifer.16,,,,,,,NCBI,992406.0,,Riemerella anatipestifer RA-GD,Riemerella anatipestifer RA-GD,,,,identical,,,,,21441509,2014-01-30T11:19:26.053,,NC_017569.1,,1985.0,,,Major,,,SAMN02603017,CP002562,,2011/03/07,"Beijing Institute of Genomics, Chinese Academy of Sciences|Institute of Veterinary Medicine Guangdong Academy of Agricultural Sciences",,,,,complete,,34085.0,,,RA-GD,,,Generic,Generic.1.0,"Beijing Institute of Genomics, Chinese Academy of Sciences",,,992406.0,,,,,,,,,latest,,,,False,Non_marine
