n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
1	1	6096872	6096872	0.000	1	6096872	1	6096872	1	6096872	1	6096872	6096872	6096872	1	100.000	0.34113	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000016645.1_ASM1664v1_genomic.fna
1	1	245530	245530	0.000	1	245530	1	245530	1	245530	1	245530	245530	245530	1	100.000	0.22441	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000017525.1_ASM1752v1_genomic.fna
2	2	640935	640935	0.000	1	636850	1	636850	1	636850	1	636850	636850	636850	1	99.363	0.27159	0.01350	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000022605.2_ASM2260v1_genomic.fna
1	1	276984	276984	0.000	1	276984	1	276984	1	276984	1	276984	276984	276984	1	100.000	0.22595	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000022945.1_ASM2294v1_genomic.fna
1	1	2612925	2612925	0.000	1	2612925	1	2612925	1	2612925	1	2612925	2612925	2612925	1	100.000	0.39588	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000023285.1_ASM2328v1_genomic.fna
1	1	5128187	5128187	0.000	1	5128187	1	5128187	1	5128187	1	5128187	5128187	5128187	1	100.000	0.36218	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000023465.1_ASM2346v1_genomic.fna
1	1	2768102	2768102	0.000	1	2768102	1	2768102	1	2768102	1	2768102	2768102	2768102	1	100.000	0.42693	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000023725.1_ASM2372v1_genomic.fna
1	1	3530383	3530383	0.000	1	3530383	1	3530383	1	3530383	1	3530383	3530383	3530383	1	100.000	0.55293	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000024125.1_ASM2412v1_genomic.fna
1	1	243933	243933	0.000	1	243933	1	243933	1	243933	1	243933	243933	243933	1	100.000	0.22493	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000025785.1_ASM2578v1_genomic.fna
1	1	3798465	3798465	0.000	1	3798465	1	3798465	1	3798465	1	3798465	3798465	3798465	1	100.000	0.36611	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000060345.1_ASM6034v1_genomic.fna
1	1	2860382	2860382	0.000	1	2860382	1	2860382	1	2860382	1	2860382	2860382	2860382	1	100.000	0.32533	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000064305.2_ASM6430v2_genomic.fna
2	2	640442	640442	0.000	1	636994	1	636994	1	636994	1	636994	636994	636994	1	99.462	0.28212	0.00125	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000093165.1_ASM9316v1_genomic.fna
5	7	5570640	5569640	0.018	1	3972748	1	3504888	3	402694	5	317043	3972748	3504888	5	100.000	0.36814	0.00254	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000143785.1_ASM14378v1_genomic.fna
1	1	276511	276511	0.000	1	276511	1	276511	1	276511	1	276511	276511	276511	1	100.000	0.21133	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000147035.1_ASM14703v1_genomic.fna
1	1	3302548	3302548	0.000	1	3302548	1	3302548	1	3302548	1	3302548	3302548	3302548	1	100.000	0.38161	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000152925.3_ASM15292v3_genomic.fna
1	1	2961474	2961474	0.000	1	2961474	1	2961474	1	2961474	1	2961474	2961474	2961474	1	100.000	0.30588	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000152945.2_ASM15294v2_genomic.fna
1	15	4244565	4238065	0.153	1	4244565	4	392634	1	4244565	9	227748	4244565	881118	1	100.000	0.39758	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000152985.1_ASM15298v1_genomic.fna
