Assembly accession,T3PKS,"terpene,bacteriocin",terpene,LAP,bacteriocin,siderophore,"hglE-KS,T1PKS",microviridin,"resorcinol,arylpolyene",NRPS-like,lanthipeptide,betalactone,"arylpolyene,resorcinol",arylpolyene,"NRPS,T1PKS","T3PKS,betalactone","T3PKS,arylpolyene","T3PKS,NRPS,T1PKS",ladderane,"transAT-PKS-like,transAT-PKS","arylpolyene,T3PKS",NRPS,"NRPS,T1PKS,T3PKS","ladderane,terpene","hglE-KS,T1PKS,lanthipeptide","NRPS-like,T3PKS","betalactone,T3PKS","T1PKS,NRPS","bacteriocin,lanthipeptide","T1PKS,hglE-KS",transAT-PKS-like,"transAT-PKS,PKS-like",resorcinol,thiopeptide,"NRPS,ladderane","NRPS-like,terpene","transAT-PKS,PKS-like,transAT-PKS-like","transAT-PKS,NRPS,PKS-like",linaridin,"NRPS,terpene","transAT-PKS,transAT-PKS-like","T3PKS,NRPS","arylpolyene,resorcinol,T3PKS","thiopeptide,LAP",indole,lassopeptide,"PUFA,T1PKS,hglE-KS",T1PKS,"terpene,NRPS-like,betalactone","NRPS,indole","NRPS-like,bacteriocin","NRPS-like,T1PKS","NRPS-like,betalactone","PKS-like,transAT-PKS,NRPS","terpene,lanthipeptide","proteusin,LAP,bacteriocin","NRPS,hglE-KS,T1PKS","hglE-KS,T1PKS,NRPS,betalactone","lanthipeptide,terpene","LAP,proteusin,bacteriocin","NRPS,LAP,proteusin","T3PKS,terpene","ladderane,transAT-PKS,PKS-like","siderophore,bacteriocin","terpene,bacteriocin,siderophore","NRPS,T1PKS,lanthipeptide","NRPS,T3PKS","transAT-PKS-like,transAT-PKS,PKS-like","bacteriocin,arylpolyene,resorcinol","T1PKS,hglE-KS,terpene","terpene,T1PKS,hglE-KS","terpene,arylpolyene,resorcinol","T1PKS,NRPS-like","NRPS,T1PKS,betalactone","transAT-PKS-like,transAT-PKS,PKS-like,ladderane","arylpolyene,bacteriocin","NRPS-like,siderophore",transAT-PKS,"T3PKS,hglE-KS,siderophore,NRPS,T1PKS","NRPS-like,lanthipeptide","NRPS,lanthipeptide","arylpolyene,resorcinol,NRPS",hglE-KS,"PUFA,T1PKS",hserlactone,"acyl_amino_acids,bacteriocin","NRPS,siderophore","betalactone,NRPS-like","bacteriocin,siderophore","NRPS,T1PKS,bacteriocin",CDPS,"transAT-PKS,NRPS","T1PKS,hglE-KS,NRPS,siderophore","T3PKS,NRPS-like","NRPS,transAT-PKS","ladderane,NRPS","transAT-PKS,transAT-PKS-like,NRPS-like,PKS-like,T3PKS","terpene,ladderane","lanthipeptide,siderophore","NRPS,T1PKS,siderophore","terpene,arylpolyene","lanthipeptide,bacteriocin","proteusin,LAP","terpene,hglE-KS,PUFA,T1PKS","LAP,proteusin","hglE-KS,T1PKS,terpene","T3PKS,resorcinol","bacteriocin,acyl_amino_acids","NRPS,betalactone","NRPS-like,NRPS,siderophore","terpene,T3PKS",acyl_amino_acids,"hglE-KS,PUFA,T1PKS",other,"lanthipeptide,T1PKS,hglE-KS",nucleoside,"terpene,hglE-KS,T1PKS","terpene,siderophore","transAT-PKS-like,transAT-PKS,PKS-like,NRPS,T1PKS","T3PKS,arylpolyene,resorcinol","transAT-PKS,bacteriocin","NRPS,bacteriocin","NRPS,T1PKS,siderophore,hglE-KS,T3PKS","arylpolyene,resorcinol,bacteriocin","NRPS-like,hglE-KS,T1PKS","arylpolyene,lanthipeptide,resorcinol","NRPS,proteusin,LAP","siderophore,terpene","lanthipeptide,T3PKS,bacteriocin","hglE-KS,terpene,T1PKS","terpene,betalactone","ladderane,transAT-PKS,PKS-like,transAT-PKS-like","transAT-PKS,NRPS-like",cyanobactin,"siderophore,NRPS","lanthipeptide,hglE-KS,T1PKS","transAT-PKS-like,transAT-PKS,T3PKS,PKS-like,NRPS-like","hglE-KS,T1PKS,PUFA","transAT-PKS,PKS-like,ladderane",Genus,Family,Origin,MAG,Completeness,Contamination,Strain_heterogeneity,Quality_score
GCA_002831645.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olleya,Flavobacteriaceae,Marine,False,99.67,0.33,0.0,98.02
GCA_001971785.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seonamhaeicola,Flavobacteriaceae,Unclassified,False,98.35,1.25,0.0,92.1
GCA_002951395.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elizabethkingia,Weeksellaceae,Non_marine,False,99.46,0.0,0.0,99.46
GCA_903969135.1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chryseobacterium,Weeksellaceae,Non_marine,False,100.0,0.0,0.0,100.0
GCA_009664855.1,1,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavobacterium,Flavobacteriaceae,Non_marine,False,97.0,0.42,0.0,94.9
GCA_001693415.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tenacibaculum,Flavobacteriaceae,Unclassified,False,99.66,0.5,0.0,97.16
GCA_008692195.1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mesonia,Flavobacteriaceae,Marine,False,99.62,0.57,0.0,96.77
GCA_004341805.1,1,0,2,0,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavobacterium,Flavobacteriaceae,Unclassified,False,99.65,0.42,0.0,97.55
GCA_003688495.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavobacterium,Flavobacteriaceae,Unclassified,False,98.94,0.0,0.0,98.94
GCA_000764795.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jejuia,Flavobacteriaceae,Unclassified,False,95.14,1.04,0.0,89.94
