assembly_accession,strain,finishing strategy (depth of coverage),biotic_relationship,geo_loc_name,host,collected_by,host_disease,isolation_source,sample_name,isolation-source,sample_type,FDA CVM ID,culture_collection,assembly_method,collection_date,env_feature,synonym,Strain,SUBJECT_ID,Alias,type-material,misc_param,collection date,Isolation Site,Isolation source,country,note,GOLD Stamp ID,investigation_type,culture-collection,lat_lon,alt_elev,locus_tag_prefix,nat-host,assembly_method_version,env_material,model,sample_description,Sample Description,ArrayExpress-STRAIN_OR_LINE,ENA checklist,project_type,estimated_size,Temperature Optimum,isol_growth_condt,Motility,feature,project_name,assembly,num_replicons,isolate,depth,env_biome,altitude,ref_biomaterial,package,geographic location,ArrayExpress-StrainOrLine,ArrayExpress-Phenotype,ArrayExpress-SPECIES,INSDC center alias,geo-loc-name,environment,host_sex,elev,PublicAccession,completeness_estimated,geographic location (country and/or sea),latitude and longitude,specific_host,ArrayExpress-Species,ENA-FIRST-PUBLIC,INSDC center name,specific host,Body Sample Site,pH,biome,biomaterial_provider,isolate_name_alias,contamination_estimated,host scientific name,anonymized_name,ENA-LAST-UPDATE,INSDC first public,Cell Shape,BioSampleModel,environmental_sample,material,identified_by,host health state,INSDC last update,Diseases,strain_name_alias,genome_coverage,INSDC status,host taxid,isolation source,Gram Staining,Temperature Range,Sporulation,sequencing_meth,Historical Monobactam Produced,identification method,supplier_name,SRA accession,host_disease_outcome,Unique Monobactam Clusters Identified,ProjectAccession,Sample Name,Type Strain,Phenotypes,Gene Calling Method,temp,Title,investigation type,Host,rel_to_oxygen,host_age,Species,mapping_method,serovar,sop,Isolation Comments,finishing_strategy,Genus,mapping_method_version,environment (biome),attribute_package,metagenome_source,environment (feature),trophic_level,metagenomic,environment (material),Funding Program,quality_assessment_method,quality_assessment_method_version,geographic location (latitude),source_mat_id,host_tissue_sampled,geographic location (longitude),Host Name,subsrc_note,Host Health,value,plant-associated environmental package,project name,sequencing method,Body Sample SubSite
GCA_000023285.1,DSM 7271,,,,,,,,,,,,,,,,,,,,type strain of Capnocytophaga ochracea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000143785.1,ATCC 35910,"Level 6, Finished33.84x;7",,,,,,,,,,,,,,,,,,,type strain of Chryseobacterium gleum,"HMP body site, Vaginal",,,,,,,,ATCC:35910,,,,,,,,,,,,Reference Genome,5562000,,,,Homo sapiens-associated habitat ENVO:00009003,Chryseobacterium gleum F93,Newbler v. 2.0.0-Eclipse,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,ATCC 35910,,,,,,,,,454-GS-FLX,
GCA_000173675.1,Capno,"Level 2, High-Quality Draft19x;65",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,,,,,,,,,,,,Reference Genome,2998000,,,,human-associated habitat ENVO:00009003,Capnocytophaga sputigena Capno,Newbler v. 1.1.03.24-64-7,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,ATCC 33612,,,,,,,,,454-GS-FLX,
GCA_000174755.1,ATCC 33624,"Level 2, High-Quality Draft37x;37",,,,,,,,,,,,,,,,,,,type strain of Capnocytophaga gingivalis,"HMP supersite, oral",,,,,,,,ATCC:33624,,,,,,,,,,,,Reference Genome,2667000,,,,human-associated habitat ENVO:00009003,Capnocytophaga gingivalis ATCC 33624,Newbler v. 1.1.03.24-64-7,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,ATCC 33624,,,,,,,,,454,
GCA_000183155.1,DSM 15868,,symbiont,,,,,,,blood,,,,,1954,,,,,,,,,Duck blood,,USA,,Gi04613,bacteria_archaea,,,,,,,,,,,,,,,37C,8240957,Nonmotile,,Riemerella anatipestifer A350/72,,1,,,,,DSM 15868,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,Rod-shaped,,,,,,,Septicemia,,,,,,,Mesophile,Nonsporulating,,,,,,,,,,Yes,,,,,,,microaerophilic,,,,,,isolated by Bruner and Fabricant,,,,,,,,,,,DOE-GEBA 2007,,,,,,,Anas platyrhynchos (duck),,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,,,,,
GCA_000183985.1,F0287,"Level 2, High-Quality Draft34.5x;61",,,,,,,,oral cavity,,,,,,,,,,,,"HMP supersite, oral",,,,,,,bacteria_archaea,,,,,,,,,,,,,Reference Genome,2635000,,8240957,,Homo sapiens-associated habitat ENVO:00009003,Capnocytophaga ochracea F0287,Newbler v. 2.3-04192010,1,,,,,DSM 15868,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-15,,,,,,,,,454-Paired-end,
GCA_000186265.1,DSM 14237,,free living,,,,,,,surfaces of algal species from Antarctic marine coast and sea ice,,,,,,,,,,,,,,surfaces of algal species from the Antarctic marine coast and sea ice,,,,Gi04009,bacteria_archaea,,,,,,,,,,,,,,,,11034497,Motile,,Cellulophaga algicola IC166,,1,,,,,DSM 14237,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,,,,,,,,,,,Yes,,Prodigal 1.4,,,,,aerobe,,,,,,,,,,,,,,chemoheterotroph,,,DOE-GEBA 2009,,,,,,,,,,,,,,
GCA_000189415.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000190595.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000192225.1,F0234,"Level 2, High-Quality Draft37.97x;74",,,,,,,,,,,,,,,,,,,,"HMP supersite, oral",,,,,,,,,,,,,,,,,,,,Reference Genome,2479000,,,,Homo sapiens-associated habitat ENVO:00009003,Capnocytophaga sp. oral taxon 338 F0234,Newbler v. 2.3-04192010,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,terrestrial biome ENVO:00000446,,,,,,,,,MIGS.ba,,biological product ENVO:02000043,,,,,,,,9606,,,,,,,,,,,,,,,,,,,,,,,,,,http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf,,,,,,,,,,,,,,,,BEI HM-265,,,,,,,,,454-Paired-end,
