Genome,BGC_full,Similarity2
GCA_900141855.1,GCA_900141855.1_contig16.region001,0.01
GCA_002294525.1,GCA_002294525.1_contig08.region001,0.01
GCA_002699205.1,GCA_002699205.1_contig51.region001,0.02
GCA_013394655.1,GCA_013394655.1_contig1.region004,0.02
GCA_011752975.1,GCA_011752975.1_contig11.region001,0.02
GCA_900176315.1,GCA_900176315.1_contig06.region004,0.02
GCA_002699205.1,GCA_002699205.1_contig51.region001,0.02
GCA_002699205.1,GCA_002699205.1_contig51.region001,0.02
GCA_008367235.1,GCA_008367235.1_contig10.region001,0.03
GCA_008367275.1,GCA_008367275.1_contig12.region001,0.03
GCA_009901525.1,GCA_009901525.1_contig1.region001,0.03
GCA_009901525.1,GCA_009901525.1_contig1.region001,0.03
GCA_009901525.1,GCA_009901525.1_contig1.region001,0.03
GCA_000293175.1,GCA_000293175.1_contig25.region001,0.03
GCA_000411115.1,GCA_000411115.1_contig12.region001,0.03
GCA_900106575.1,GCA_900106575.1_contig29.region002,0.03
GCA_900446675.1,GCA_900446675.1_contig3.region002,0.03
GCA_003709475.1,GCA_003709475.1_contig14.region004,0.04
GCA_004368785.1,GCA_004368785.1_contig11.region001,0.04
GCA_010671605.1,GCA_010671605.1_contig2.region001,0.04
GCA_000282115.1,GCA_000282115.1_contig050.region001,0.04
GCA_000744495.1,GCA_000744495.1_contig07.region001,0.04
GCA_000746315.1,GCA_000746315.1_contig08.region001,0.04
GCA_000429125.1,GCA_000429125.1_contig03.region001,0.04
GCA_003449615.1,GCA_003449615.1_contig357.region001,0.04
GCA_003484045.1,GCA_003484045.1_contig054.region001,0.04
GCA_000745535.1,GCA_000745535.1_contig26.region001,0.05
GCA_002025665.1,GCA_002025665.1_contig1.region003,0.05
GCA_900101815.1,GCA_900101815.1_contig44.region001,0.05
GCA_013213975.1,GCA_013213975.1_contig104.region001,0.05
GCA_000264055.1,GCA_000264055.1_contig014.region001,0.05
GCA_002836475.1,GCA_002836475.1_contig26.region001,0.05
GCA_004349145.1,GCA_004349145.1_contig30.region001,0.05
GCA_008033395.2,GCA_008033395.2_contig21.region001,0.05
GCA_900107635.1,GCA_900107635.1_contig11.region001,0.05
GCA_000174755.1,GCA_000174755.1_contig35.region001,0.05
GCA_002302415.1,GCA_002302415.1_contig1.region005,0.05
GCA_000192225.1,GCA_000192225.1_contig01.region005,0.05
GCA_000293175.1,GCA_000293175.1_contig14.region001,0.05
GCA_013333305.2,GCA_013333305.2_contig052.region001,0.05
GCA_000293175.1,GCA_000293175.1_contig52.region001,0.05
GCA_000411115.1,GCA_000411115.1_contig14.region001,0.05
GCA_900106575.1,GCA_900106575.1_contig38.region001,0.05
GCA_900446675.1,GCA_900446675.1_contig3.region005,0.05
GCA_000455605.1,GCA_000455605.1_contig1.region001,0.05
GCA_000271925.1,GCA_000271925.1_contig24.region001,0.05
GCA_001057035.1,GCA_001057035.1_contig69.region001,0.05
GCA_002025665.1,GCA_002025665.1_contig1.region003,0.05
GCA_003061345.1,GCA_003061345.1_contig0286.region001,0.05
GCA_000196315.1,GCA_000196315.1_contig1.region003,0.05
GCA_002354475.1,GCA_002354475.1_contig02.region001,0.05
GCA_003506685.1,GCA_003506685.1_contig335.region001,0.05
GCA_004799385.1,GCA_004799385.1_contig25.region001,0.05
GCA_000333355.1,GCA_000333355.1_contig600.region001,0.05
GCA_013002355.1,GCA_013002355.1_contig0573.region001,0.05
GCA_013042715.1,GCA_013042715.1_contig059.region001,0.05
GCA_001563495.1,GCA_001563495.1_contig19.region002,0.05
GCA_900169075.1,GCA_900169075.1_contig4.region001,0.05
GCA_002025665.1,GCA_002025665.1_contig1.region003,0.05
GCA_000943555.1,GCA_000943555.1_contig19.region001,0.06
GCA_002296255.1,GCA_002296255.1_contig306.region001,0.06
GCA_002711455.1,GCA_002711455.1_contig08.region001,0.06
GCA_003258355.1,GCA_003258355.1_contig076.region001,0.06
GCA_003633785.1,GCA_003633785.1_contig1.region006,0.06
GCA_004341235.1,GCA_004341235.1_contig03.region001,0.06
GCA_010993815.1,GCA_010993815.1_contig2.region002,0.06
GCA_001865655.1,GCA_001865655.1_contig1.region002,0.06
GCA_002295505.1,GCA_002295505.1_contig078.region001,0.06
GCA_002362375.1,GCA_002362375.1_contig18.region001,0.06
GCA_002388445.1,GCA_002388445.1_contig27.region001,0.06
GCA_002435115.1,GCA_002435115.1_contig02.region001,0.06
