Assembly accession,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
GCA_000016645.1,ASM1664v1,,,,,,Complete Genome,,,PRJNA16082,SAMN02598357,,Sample from Flavobacterium johnsoniae UW101,,,Rod,,,Flavobacterium johnsoniae ATCC 17061. Flavobacterium johnsoniae ATCC 17061 was isolated from soil in England and is the type strain of this species. This organism will be used for comparative genomics. ,2007-05-01T00:00:00Z,,,1.0,,ATCC 17061,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/645/GCA_000016645.1_ASM1664v1,,GCF_000016645.1,CP000685,,Flavobacterium johnsoniae UW101,,Full,Complete,,United Kingdom: England,England,United Kingdom,,Multiple,,,,,,,,,,,,,,,,,,,strain=UW101; ATCC 17061,,,,isolated from soil in England and is the type strain of this species,United Kingdom,,soil,,,,,,,,,,,Yes,NCBI,376686.0,,Flavobacterium johnsoniae UW101,Flavobacterium johnsoniae UW101,,,Aerobic,identical,,,,,,2014-01-28T00:00:00.000,,NC_009441,representative genome,5017.0,,assembly from type material,Major,,Non-halophilic,SAMN02598357,CP000685,,2007/05/01,DOE Joint Genome Institute,,,,,complete,,986.0,,No,ATCC 17061,,,Generic,Generic.1.0,US DOE Joint Genome Institute,,,376686.0,,20-30,Mesophilic,,,type strain of Flavobacterium johnsoniae,Yes,,latest,,,,False,Non_marine
GCA_000023285.1,ASM2328v1,,,,,,Complete Genome,,,PRJNA29403,SAMN00001911,,Generic sample from Capnocytophaga ochracea DSM 7271,,,Rod,,,Capnocytophaga ochracea DSM 7271,2009-04-30T00:00:00Z,,,1.0,,DSM 7271,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1,,GCF_000023285.1,CP001632,,Capnocytophaga ochracea DSM 7271,,Full,Complete,,,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,,,,,,,,,,strain=DSM 7271,,,,isolated from the human oral cavity,,,the human oral cavity,,,,,,,,,,,Yes,"Joint Genome Institute, U.S. Department of Energy",521097.0,,Capnocytophaga ochracea DSM 7271,Capnocytophaga ochracea DSM 7271,,,Facultative,identical,,,,,21304645,2009-02-19T00:00:00.000,,NC_013162,representative genome,2171.0,,assembly from type material,Major,"SRR013476,SRR013477",,SAMN00001911,FWCB,,2009/08/26,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,1018.0,,No,DSM 7271,,,Generic,Generic.1.0,US DOE Joint Genome Institute (JGI-PGF),,,521097.0,,35-37,Mesophilic,,,type strain of Capnocytophaga ochracea,Yes,,latest,,,,False,Non_marine
GCA_000023465.1,ASM2346v1,,,,,,Complete Genome,,,PRJNA38641,SAMN02603855,,Sample from Zunongwangia profunda SM-A87,,,Rod,,,Zunongwangia profunda SM-A87.This strain will be used for comparative genome analysis.,2010-04-21T00:00:00Z,,,1.0,,DSM:18752,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/465/GCA_000023465.1_ASM2346v1,,GCF_000023465.1,CP001650,,Zunongwangia profunda SM-A87,,Full,Complete,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=SMA-87,,,,,,,,,,,,,,,,,,No,NCBI,655815.0,type strain of Zunongwangia profunda,Zunongwangia profunda SM-A87,Zunongwangia profunda SM-A87,,,Aerobic,identical,,,,,20398413,2014-01-30T00:00:00.000,,NC_014041,representative genome,4653.0,,assembly from type material,Major,,,SAMN02603855,CP001650,,2010/04/21,ShanDong University|Beijing Institute of Genomics Chinese Academy of Sciences,,,,,complete,,398743.0,,No,SM-A87,,,Generic,Generic.1.0,ShanDong University,,,655815.0,,,Mesophilic,,,type strain of Zunongwangia profunda,,,latest,,,,False,Unclassified
GCA_000023725.1,ASM2372v1,,,,,,Complete Genome,,,PRJNA38559,SAMN02604231,,Sample from Flavobacteriaceae bacterium 3519-10,,,,,,Flavobacteriaceae bacterium 3519-10.This strain will be used for comparative genome analysis.,2009-08-05T00:00:00Z,,,1.0,Antarctica: Vostok Station,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/725/GCA_000023725.1_ASM2372v1,,GCF_000023725.1,CP001673,,Flavobacteriaceae bacterium 3519-10,,Full,Complete,,Antarctica: Vostok Station,Vostok Station,Antarctica,,,,,,,,,,,,,,,,,,,,,strain=3519-10,,,,,,,"glacial ice, 3519 m depth",,,,,,,,,,,,NCBI,531844.0,,Flavobacteriaceae bacterium 3519-10,Flavobacteriaceae bacterium 3519-10,,,,identical,,,,,18622572,2014-01-30T15:13:19.717,,NC_013062,,2534.0,,,Major,,,SAMN02604231,CP001673,,2009/08/05,University of Nevada Las Vegas,,,,,complete,,531844.0,,,3519,,,Generic,Generic.1.0,University of Nevada Las Vegas,,,531844.0,,,,,,,,,latest,,,,False,Non_marine
GCA_000024125.1,ASM2412v1,,,,,,Complete Genome,,,PRJNA13461,SAMN02603916,,Sample from Robiginitalea biformata HTCC2501,,,Rod,,,Robiginitalea biformata strain HTCC2501. Strain HTCC2501 is the type strain and will be used in comparative genomics with other marine microorganisms.,2006-02-24T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/125/GCA_000024125.1_ASM2412v1,,GCF_000024125.1,CP001712,,Robiginitalea biformata HTCC2501,,Full,Complete,,,,,,Aquatic,,,,,,,,,,,,,,,,,,,strain=HTCC2501,,,,,,,,,,,,,,,,,,,NCBI,313596.0,,Robiginitalea biformata HTCC2501,Robiginitalea biformata HTCC2501,,,Aerobic,identical,,,,,19767438,2014-01-30T00:00:00.000,,NC_013222,representative genome,3211.0,,assembly from type material,Major,,Mesophilic,SAMN02603916,CP001712,,2009/09/11,J. Craig Venter Institute,,,,,complete,,252307.0,,,HTCC2501,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313596.0,,30,Mesophilic,,,type strain of Robiginitalea biformata,Yes,,latest,,,,False,Unclassified
GCA_000060345.1,ASM6034v1,GCA_000060345,,,,,Complete Genome,,,PRJNA19061,SAMEA2272667,,GCA_000060345,,,Rod,,,Gramella forsetii KT0803.This strain is being sequenced for comparative genome analysis.,2006-11-06T00:00:00Z,,,1.0,,,,,,,ERC000011,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/060/345/GCA_000060345.1_ASM6034v1,,GCF_000060345.1,CU207366,,Gramella forsetii KT0803,,Full,Complete,,,,,,Multiple,,,,,,,,,,,,EBI,European Bioinformatics Institute,2013-12-19T12:09:21Z,2013-12-09T15:24:10Z,public,,,strain=KT0803,,,,,,,,,,,,,,,,,,,EBI,411154.0,,Gramella forsetii KT0803,Gramella forsetii KT0803,,,Aerobic,identical,,,,,17107561,2013-12-19T00:00:00.000,,NC_008571,representative genome,3584.0,,assembly from type material,Major,ERS380074,Non-halophilic,SAMEA2272667,ERS380074,,2006/11/06,Max Planck Institute for Molecular Genetics|MPI for Molecular Genetics,,,,,complete,,411153.0,,,KT0803,,,Generic,Generic.1.0,Max Planck Institute for Molecular Genetics,,,411154.0,,,Mesophilic,BioSample entry for genome collection GCA_000060345,,type strain of Gramella forsetii,,,latest,,,,False,Unclassified
GCA_000064305.2,ASM6430v2,GCA_000064305,,,,,Complete Genome,,,PRJNA19979,SAMEA3138269,,GCA_000064305,,,Rod,,,Flavobacterium psychrophilum JIP02/86. Flavobacterium psychrophilum JIP02/86 (ATCC 49511) is a virulent strain and will provide information on the pathogenic mechanisms of this organism.,2007-06-25T00:00:00Z,,,1.0,,ATCC 49511,,,,Bacterial cold water disease;Rainbow trout fry syndrome,ERC000011,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/064/305/GCA_000064305.2_ASM6430v2,,GCF_000064305.2,AM398681,,Flavobacterium psychrophilum JIP02/86,,Full,Complete,,,,,,Aquatic,,,,,,,,,,,,EBI,European Bioinformatics Institute,2014-11-20T12:20:15Z,2014-11-20T11:47:19Z,public,,,strain=JIP02/86,,,,,,,,,,,,MLST.Flavobacterium_psychrophilum.20,,,,,,Yes,EBI,402612.0,,Flavobacterium psychrophilum JIP02/86,Flavobacterium psychrophilum JIP02/86,,,Aerobic,identical,,,,,17592475,2014-11-20T00:00:00.000,,NC_009613,,2412.0,,,Major,ERS610204,,SAMEA3138269,ERS610204,,2013/05/30,Institut National de la Recherche Agronomique (INRA),,,,,complete,,96345.0,,No,JIP02/86,,,Generic,Generic.1.0,"I.N.R.A., FRANCE",,,402612.0,,,Psychrophilic,BioSample entry for genome collection GCA_000064305,,,,,latest,,,,False,Unclassified
GCA_000143785.1,ASM14378v1,,,,,,Scaffold,Newbler Assembler v. 2.3.10192009,,PRJNA30953,SAMN00000627,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Chryseobacterium gleum ATCC 35910,,Urogenital tract; Vaginal,Rod,,,Chryseobacterium gleum ATCC 35910,2009-04-20T00:00:00Z,,,30.0,,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",,,,,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,5562000,,,Level 6: Finished33.84x;7,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/785/GCA_000143785.1_ASM14378v1,,GCF_000143785.1,ACKQ00000000,,Chryseobacterium gleum ATCC 35910,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=ATCC 35910,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP body site, Vaginal",urogenital_tract,,Baylor College of Medicine,525257.0,,Chryseobacterium gleum ATCC 35910,Chryseobacterium gleum ATCC 35910,,,Aerobic,identical,,,"Chryseobacterium gleum F93, ATCC 35910",Reference Genome,,2008-09-08T00:00:00.000,,NZ_ACKQ00000000,,5296.0,,assembly from type material,Major,,,SAMN00000627,BCM-HMP0003,,2010/07/22,Baylor College of Medicine,31.57x,"454-GS-FLX, Illumina","454-GS-FLX, Illumina",454; Illumina,assembly,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",250.0,Homo sapiens,No,ATCC 35910,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,525257.0,,30,Mesophilic,,,type strain of Chryseobacterium gleum,,,latest,ACKQ00000000.2,,,False,Non_marine
GCA_000152925.3,ASM15292v3,,,,,,Complete Genome,Celera v. 1.4,,PRJNA13544,SAMN02436136,,Generic sample from Dokdonia donghaensis MED134,,,,,, Dokdonia donghaensis MED134. This marine bacterium was collected in the Mediterranean Sea at a depth of 1 meter. It was isolated by plating on solid media.,2014-09-12T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/925/GCA_000152925.3_ASM15292v3,,GCF_000152925.2,CP009301.1,,Dokdonia sp. MED134,,Full,Complete,,Mediterranean Sea,,Mediterranean Sea,,Aquatic,,,,,,,,,,,,,,,,,,,strain=MED134,,,,isolated by plating on solid media,Mediterranean Sea,,collected at a depth of 1 meter;isolated by plating on solid media,,,,,,,,,,,,NCBI,313590.0,,Dokdonia sp. MED134,Dokdonia sp. MED134,,,,identical,,,,,"17215843,22003006,25136122",2013-12-04T14:26:16.620,,NZ_CP009301.1,,2886.0,,,Major,,,SAMN02436136,AAMZ,,2014/09/12,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,9x,,Sanger,Sanger,,,313590.0,,,MED134,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313590.0,,,,,,,,,latest,,,,False,Marine
GCA_000152945.2,ASM15294v2,,,,,,Complete Genome,,,PRJNA13543,SAMN02603920,,Sample from Polaribacter sp. MED152,,,Rod,,,Polaribacter dokdonensis MED152.This organism will be used for comparative analysis.,2006-01-27T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/945/GCA_000152945.2_ASM15294v2,,GCF_000152945.2,AANA00000000,,Polaribacter sp. MED152,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=MED152,,,,,,,,,,,,,,,,,,Yes,NCBI,313598.0,,Polaribacter sp. MED152,Polaribacter sp. MED152,,,Aerobic,identical,,,,,,2014-01-30T14:54:07.287,,NZ_AANA00000000,,2611.0,,,Major,,,SAMN02603920,CP004349,,2013/03/29,J. Craig Venter Institute,,,,,assembly,,313598.0,,No,MED152,,,Generic,Generic.1.0,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,,,313598.0,,,,,,,,,latest,,,,False,Unclassified
