,BGC,Total_BGCs,Flavobacteriaceae,Weeksellaceae,Marine,Non_marine,Unclassified
0,carotenoid,2117,1584.0,533.0,603.0,706.0,808.0
1,flexirubin,1234,828.0,406.0,248.0,507.0,479.0
2,putrebactin / avaroferrin,392,53.0,339.0,17.0,190.0,185.0
3,bisucaberin B,180,143.0,37.0,33.0,66.0,81.0
4,bacillomycin D,64,62.0,2.0,3.0,32.0,29.0
5,pinensins,53,4.0,49.0,4.0,17.0,32.0
6,colanic acid,33,33.0,0.0,2.0,16.0,15.0
7,ET-743,29,29.0,0.0,8.0,4.0,17.0
8,polysaccharide B,22,22.0,0.0,16.0,3.0,3.0
9,berninamycin A,13,4.0,9.0,2.0,5.0,6.0
10,desferrioxamine E,13,7.0,6.0,0.0,7.0,6.0
11,bacillaene,12,12.0,0.0,2.0,6.0,4.0
12,zwittermicin A,12,12.0,0.0,4.0,3.0,5.0
13,WLIP,9,9.0,0.0,9.0,0.0,0.0
14,phormidolide,9,9.0,0.0,7.0,0.0,2.0
15,anabaenopeptin NZ857 / nostamide A,8,8.0,0.0,2.0,2.0,4.0
16,eicosapentaenoic acid-like compound,8,8.0,0.0,4.0,0.0,4.0
