Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCA_000016645.1_ASM1664v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	508	2	0	0	0	99.65	0.14	0.00
GCA_000017525.1_ASM1752v1_genomic	k__Bacteria (UID2565)	2921	152	93	64	88	0	0	0	0	44.01	0.00	0.00
GCA_000022605.2_ASM2260v1_genomic	k__Bacteria (UID2565)	2921	143	85	1	142	0	0	0	0	98.82	0.00	0.00
GCA_000022945.1_ASM2294v1_genomic	k__Bacteria (UID2565)	2921	152	93	55	97	0	0	0	0	49.30	0.00	0.00
GCA_000023285.1_ASM2328v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000023465.1_ASM2346v1_genomic	s__algicola (UID2847)	33	496	263	1	493	2	0	0	0	99.62	0.57	0.00
GCA_000023725.1_ASM2372v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000024125.1_ASM2412v1_genomic	s__algicola (UID2846)	47	571	303	3	567	1	0	0	0	99.01	0.11	0.00
GCA_000025785.1_ASM2578v1_genomic	k__Bacteria (UID2565)	2921	152	93	64	88	0	0	0	0	44.01	0.00	0.00
GCA_000060345.1_ASM6034v1_genomic	s__algicola (UID2847)	33	496	263	1	494	1	0	0	0	99.62	0.19	0.00
GCA_000064305.2_ASM6430v2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	507	2	0	0	0	99.29	0.44	0.00
GCA_000093165.1_ASM9316v1_genomic	k__Bacteria (UID2565)	2921	143	84	2	141	0	0	0	0	97.62	0.00	0.00
GCA_000143785.1_ASM14378v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000147035.1_ASM14703v1_genomic	k__Bacteria (UID2565)	2921	152	93	52	100	0	0	0	0	52.05	0.00	0.00
GCA_000152925.3_ASM15292v3_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000152945.2_ASM15294v2_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	2	546	0	0	0	0	99.61	0.00	0.00
GCA_000152985.1_ASM15298v1_genomic	s__algicola (UID2847)	33	496	263	3	493	0	0	0	0	99.05	0.00	0.00
GCA_000153165.2_ASM15316v2_genomic	s__algicola (UID2846)	47	571	303	2	566	3	0	0	0	99.50	0.38	0.00
GCA_000153225.1_ASM15322v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	2	545	1	0	0	0	99.33	0.34	0.00
GCA_000153385.1_ASM15338v1_genomic	s__algicola (UID2847)	33	496	263	7	488	1	0	0	0	98.16	0.19	0.00
GCA_000153485.2_ASM15348v2_genomic	s__algicola (UID2847)	33	496	263	5	487	3	0	1	0	98.73	2.28	44.44
GCA_000154725.1_ASM15472v1_genomic	s__algicola (UID2846)	47	571	303	3	564	4	0	0	0	99.48	0.61	0.00
GCA_000168155.1_ASM16815v1_genomic	k__Bacteria (UID2565)	2921	152	93	82	66	4	0	0	0	30.75	1.50	25.00
GCA_000169355.1_ASM16935v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	508	1	0	0	0	99.62	0.18	0.00
GCA_000171875.1_ASM17187v1_genomic	s__algicola (UID2846)	47	571	303	4	558	9	0	0	0	98.84	1.76	88.89
GCA_000173095.1_ASM17309v1_genomic	k__Bacteria (UID2566)	525	208	136	14	194	0	0	0	0	91.18	0.00	0.00
GCA_000173115.1_ASM17311v1_genomic	s__algicola (UID2846)	47	571	303	164	404	3	0	0	0	72.67	0.18	33.33
GCA_000173675.1_ASM17367v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	1	315	0	0	0	0	99.52	0.00	0.00
GCA_000174755.1_ASM17475v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	1	313	2	0	0	0	99.76	0.48	0.00
GCA_000183155.1_ASM18315v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000183985.1_ASM18398v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000184135.2_ASM18413v2_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000186265.1_ASM18626v1_genomic	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.71	0.00
GCA_000189415.1_ASM18941v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000190595.1_ASM19059v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000191565.1_ASM19156v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000192225.1_ASM19222v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000194605.1_ASM19460v1_genomic	k__Bacteria (UID2569)	434	277	185	0	277	0	0	0	0	100.00	0.00	0.00
GCA_000196315.1_ASM19631v1_genomic	s__algicola (UID2847)	33	496	263	1	494	1	0	0	0	99.62	0.19	0.00
GCA_000211855.3_ASM21185v3_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
