,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
7,GCA_000143785.1,GCA_000143785.1_ASM14378v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gleum,5,7,5570640,5569640,0.018000000000000002,1,3972748,1,3504888,3,402694,5,317043,3972748,3504888,5,100.0,0.36814,0.00254,Medium,5139,7771,1717,2998,114,33.41116948822728,58.33819809301421,2.2183304144775247,ASM14378v1,,,,,,Scaffold,Newbler Assembler v. 2.3.10192009,,PRJNA30953,SAMN00000627,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Chryseobacterium gleum ATCC 35910,,Urogenital tract; Vaginal,Rod,,,Chryseobacterium gleum ATCC 35910,2009-04-20T00:00:00Z,,,30.0,,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",,,,,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,5562000,,,Level 6: Finished33.84x;7,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/785/GCA_000143785.1_ASM14378v1,,GCF_000143785.1,ACKQ00000000,,Chryseobacterium gleum ATCC 35910,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=ATCC 35910,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP body site, Vaginal",urogenital_tract,,Baylor College of Medicine,525257.0,,Chryseobacterium gleum ATCC 35910,Chryseobacterium gleum ATCC 35910,,,Aerobic,identical,,,"Chryseobacterium gleum F93, ATCC 35910",Reference Genome,,2008-09-08T00:00:00.000,,NZ_ACKQ00000000,,5296.0,,assembly from type material,Major,,,SAMN00000627,BCM-HMP0003,,2010/07/22,Baylor College of Medicine,31.57x,"454-GS-FLX, Illumina","454-GS-FLX, Illumina",454; Illumina,assembly,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",250.0,Homo sapiens,No,ATCC 35910,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,525257.0,,30,Mesophilic,,,type strain of Chryseobacterium gleum,,,latest,ACKQ00000000.2,,,False,Non_marine
20,GCA_000173675.1,GCA_000173675.1_ASM17367v1_genomic,p__Bacteroidetes (UID2605),99.52,0.0,0.0,99.52,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sputigena,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,65,65,2997845,2997836,0.0,8,154533,8,154533,28,27071,28,27071,286724,286724,19,80.751,0.38426,0.04218,Medium,2701,4214,955,1464,81,35.357275083302476,54.20214735283229,2.9988893002591634,ASM17367v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,,PRJNA30997,SAMN00000681,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sputigena ATCC 33612,,Oral; Gingival crevices,,,,"Capnocytophaga sputigena is a gram-negative, rod-shaped bacterium located in the gingival crevice and associated with periodontal disease.",2008-11-21T00:00:00Z,,,65.0,,ATCC 33612,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2998000,,,Level 2: High-Quality Draft19x;65,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/675/GCA_000173675.1_ASM17367v1,,GCF_000173675.1,ABZV00000000,,Capnocytophaga sputigena ATCC 33612,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=Capno,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553177.0,,Capnocytophaga sputigena ATCC 33612,Capnocytophaga sputigena ATCC 33612,,,,identical,,,"Capnocytophaga sputigena Capno, ATCC 33612",Reference Genome,,2008-10-01T13:43:02.250,,NZ_ABZV00000000,,2672.0,,,Major,SRR005028,,SAMN00000681,HMP015-454 Sample,,2008/11/21,J. Craig Venter Institute,19x,454-GS-FLX,454-GS-FLX,454,assembly,ATCC 33612,1019.0,Homo sapiens,,ATCC 33612,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553177.0,,,,,,,,,latest,ABZV00000000.1,,,False,Non_marine
21,GCA_000174755.1,GCA_000174755.1_ASM17475v1_genomic,p__Bacteroidetes (UID2605),99.76,0.48,0.0,97.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga gingivalis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis,37,37,2667138,2667138,0.0,6,152766,6,152766,18,42682,18,42682,337980,337980,16,87.429,0.40489,0.03074,Medium,2467,3728,873,1346,44,35.387109850020266,54.56019456830158,1.7835427644912847,ASM17475v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,,PRJNA31387,SAMN00001917,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga gingivalis ATCC 33624,,Oral,,,,"Capnocytophaga gingivalis is a gram-negative, microaerophilic, CO2 requiring gliding bacterium. It is an opportunistic pathogen associated with periodontitis. The bacterium forms coaggregates with A. israelii that are involved in plaque formation on the surface of teeth. The coaggregates are formed by aminogalactoside- or neuraminlactose-sensitive molecules. ",2009-04-29T00:00:00Z,,,37.0,,ATCC 33624,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2667000,,,Level 2: High-Quality Draft37x;37,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/755/GCA_000174755.1_ASM17475v1,,GCF_000174755.1,ACLQ00000000,,Capnocytophaga gingivalis ATCC 33624,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=ATCC 33624,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553178.0,,Capnocytophaga gingivalis ATCC 33624,Capnocytophaga gingivalis ATCC 33624,,,Microaerophilic,identical,,,Capnocytophaga gingivalis ATCC 33624,Reference Genome,,2009-02-24T00:00:00.000,,NZ_ACLQ00000000,,2588.0,,assembly from type material,Major,SRR013509,,SAMN00001917,HMP016-454 Sample,,2009/04/29,J. Craig Venter Institute,37x,454,454,454,assembly,ATCC 33624,1017.0,Homo sapiens,,ATCC 33624,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553178.0,,,,,,type strain of Capnocytophaga gingivalis,,,latest,ACLQ00000000.1,,,False,Non_marine
23,GCA_000183985.1,GCA_000183985.1_ASM18398v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,9,61,2663545,2635317,1.06,1,2652826,10,84309,1,2652826,29,31602,2652826,289625,1,99.598,0.39459,0.06569,Medium,2202,3915,904,1368,86,41.053587647593105,62.12534059945504,3.905540417801998,ASM18398v1,,,,,,Scaffold,Newbler Assembler v. 2.3-04192010,,PRJNA51493,SAMN00215988,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga ochracea F0287,,Oral,Rod,,,Capnocytophaga ochracea strain F0287,2010-12-13T00:00:00Z,,,9.0,,BEI HM-15,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,2635000,,,Level 2: High-Quality Draft34.5x;61,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/985/GCA_000183985.1_ASM18398v1,,GCF_000183985.1,AEOH00000000,,Capnocytophaga ochracea F0287,,Full,WGS,,9606.0,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=F0287,bacteria_archaea,8240957.0,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,"Yes, gliding",Baylor College of Medicine,873517.0,,Capnocytophaga ochracea F0287,Capnocytophaga ochracea F0287,,,Facultative,identical,,,Capnocytophaga ochracea F0287,Reference Genome,,2011-02-15T14:26:03.917,DSM 15868,NZ_AEOH00000000,,2333.0,,,Major,SRR101435,,SAMN00215988,,,2010/12/13,Baylor College of Medicine,34.5x,454-Paired-end,454-Paired-end,454,assembly,BEI HM-15,1018.0,Homo sapiens,No,F0287,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,873517.0,,,Mesophilic,,,,,,latest,AEOH00000000.1,,,False,Non_marine
24,GCA_000184135.2,GCA_000184135.2_ASM18413v2_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,29,29,2130198,2130195,0.0,5,185462,5,185462,12,47800,12,47800,371415,371415,10,85.68799999999997,0.34968,0.04234,Medium,1985,3412,854,1293,38,43.02267002518892,65.13853904282117,1.914357682619648,ASM18413v2,,,,,,Contig,SOAPdenovo v. 1.1.2 2009,,PRJNA59761,SAMN02469905,,Sample from Riemerella anatipestifer RA-YM,,,Rod-shaped,,,no project description provided.,2010-12-14T00:00:00Z,,,29.0,,,,,,Riemerella anatipestifer is a Gram-negative;rod-shaped bacterium associated with epizootic infections in poultry.,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/135/GCA_000184135.2_ASM18413v2,,GCF_000184135.1,AENH00000000,,Riemerella anatipestifer RA-YM,,Full,WGS,,China: Hubei,Hubei,China,gram -,,,,,,,,,,,,,,,,,,,,strain=RA-YM,,,,,China,,,,,,,MLST.Riemerella_anatipestifer.38,,,,,,,NCBI,913239.0,,Riemerella anatipestifer RA-YM,Riemerella anatipestifer RA-YM,,,,identical,,,,,21183670,2013-12-19T13:15:59.273,,,,2006.0,,,Major,,,SAMN02469905,AENH,,2010/12/14,Huazhong Agricultural University,119x,,Illumina Solexa Genome Analyzer IIx,Illumina,assembly,,34085.0,,,RA-YM,,,Generic,Generic.1.0,Huazhong Agricultural University,,,913239.0,,,,,,,,,latest,AENH00000000.1,,,False,Unclassified
29,GCA_000192225.1,GCA_000192225.1_ASM19222v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sp000192225,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp000192225,29,74,2548422,2478610,2.739,1,2360944,8,113645,1,2360944,23,34967,2360944,290453,2,97.855,0.36665,0.06176,Medium,2335,3560,846,1308,44,36.23126338329765,56.017130620985014,1.8843683083511775,ASM19222v1,,,,,,Scaffold,Newbler Assembler v. 2.3-04192010,,PRJNA53023,SAMN00253971,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sp. oral taxon 338 str. F0234,,Oral,,,,Capnocytophaga sp. oral taxon 338 str. F0234,2011-03-10T00:00:00Z,,,29.0,,BEI HM-265,,,,,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,2479000,,,Level 2: High-Quality Draft37.97x;74,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/225/GCA_000192225.1_ASM19222v1,,GCF_000192225.1,AEXX00000000,,Capnocytophaga sp. oral taxon 338 str. F0234,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,9606.0,,,,,,,,,strain=F0234,,,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,Baylor College of Medicine,888059.0,,Capnocytophaga sp. oral taxon 338 str. F0234,Capnocytophaga sp. oral taxon 338 str. F0234,,,,identical,,,Capnocytophaga sp. oral taxon 338 F0234,Reference Genome,,2011-03-29T15:32:56.073,,NZ_AEXX00000000,,2445.0,,,Major,SRR155583,,SAMN00253971,,,2011/03/16,Baylor College of Medicine,37.975x,454-Paired-end,454-Paired-end,454,assembly,BEI HM-265,710239.0,Homo sapiens,,F0234,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,888059.0,,,,,,,,,latest,AEXX00000000.1,,,False,Non_marine
34,GCA_000218485.2,GCA_000218485.2_ASM21848v2_genomic,s__algicola (UID2847),99.62,0.57,0.0,96.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina agarivorans,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina agarivorans,183,183,4073879,4073878,0.0,20,57084,20,57084,67,18943,67,18943,211929,211929,27,59.82100000000001,0.33238,0.08175,High,3566,5539,1282,2031,117,35.950644980370164,56.95457094784072,3.2809871003925966,ASM21848v2,,,,,,Contig,Newbler v. 2.3,,PRJNA67451,SAMN02470930,,Sample from Aquimarina agarivorans,,,,,,Strain HQM9 was isolated from the surface of seaweed.,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/485/GCA_000218485.2_ASM21848v2,,GCF_000218485.1,AFPB00000000,,Flavobacteriaceae bacterium HQM9,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=HQM9,,,,surface of red algae,,,surface of red algae,,,,,,,,,,,,NCBI,980584.0,,Aquimarina agarivorans,Flavobacteriaceae bacterium HQM9,,,,identical,,,,,21725015,2013-12-19T00:00:00.000,,,representative genome,,,assembly from type material,Major,,,SAMN02470930,AFPB,,2011/06/14,Shandong University at Weihai,21x,,454 GS FLX Titanium,454,assembly,,980584.0,,,HQM9,,,Generic,Generic.1.0,Shandong University at Weihai,,,980584.0,,,,,,type strain of Aquimarina agarivorans,,,latest,AFPB00000000.1,,,False,Unclassified
35,GCA_000220525.2,GCA_000220525.2_ASM22052v2_genomic,f__Flavobacteriaceae (UID2845),96.81,0.84,0.0,92.61,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ochrovirga;s__Ochrovirga pacifica,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ochrovirga,Ochrovirga pacifica,77,77,3384629,3384610,0.001,12,105634,12,105634,36,31089,36,31089,246784,246782,25,77.265,0.33934000000000003,0.02636,High,2842,5186,1250,1911,155,43.98311048557354,67.24137931034483,5.45390570021112,ASM22052v2,,,,,,Contig,GS De Novo v. 2.3,,PRJNA67841,SAMN02470154,,Sample from Ochrovirga pacifica,,,,,,,2011-07-12T00:00:00Z,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/525/GCA_000220525.2_ASM22052v2,,GCF_000220525.1,AFPK01000000,,Ochrovirga pacifica strain S85,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=S85,,,,,,,,,,,,,,,,,,,NCBI,1042376.0,,Ochrovirga pacifica,Ochrovirga pacifica,,,,identical,,,,,21994933,2013-12-19T00:00:00.000,,,representative genome,,,assembly from type material,Major,,,SAMN02470154,AFPK,,2011/07/12,Korea Ocean Research and Development Institute,31x,,454 GS FLX,454,,,1042376.0,,,S85,,,Generic,Generic.1.0,Korea Ocean Research and Development Institute,,,1042376.0,,,,,,type strain of Ochrovirga pacifica,,,latest,AFPK00000000.1,,,False,Unclassified
36,GCA_000220585.2,GCA_000220585.2_ASM22058v2_genomic,s__algicola (UID2846),98.68,0.66,0.0,95.38,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceivirga;s__Croceivirga radicis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceivirga,Croceivirga radicis,61,61,3704661,3704659,0.0,10,131549,10,131549,26,51882,26,51881,387696,387695,26,90.845,0.37062,0.05152,Medium,3219,5702,1335,2147,134,41.47250698974837,66.6977322149736,4.162783473128301,ASM22058v2,,,,,,Contig,GS De Novo Assembler v. 2.3,,PRJNA65289,SAMN02470158,,Sample from Croceivirga radicis,,,,,,Mesoflavibacter zeaxanthinifaciens S86. This strain will be used for comparative genome analysis.,2018-10-26T00:00:00Z,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/585/GCA_000220585.2_ASM22058v2,,GCF_000220585.1,AFOE01000000,,Croceivirga radicis strain S86,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=S86,,,,,,,,,,,,,,,,,,,NCBI,1929488.0,Originally submitted as Mesoflavibacter zeaxanthinifaciens S86 but changed in October 2018 because of ANI results to Croceivirga radicis,Croceivirga radicis,Croceivirga radicis,,,,identical,,,,,21914876,2013-12-19T00:00:00.000,,,,,,,Major,,,SAMN02470158,AFOE,,2011/07/13,Korea Ocean Research and Development Institute,33x,,454 GS FLX,454,,,1929488.0,,,S86,,,Generic,Generic.1.0,Korea Ocean Research and Development Institute,,,1929488.0,,,,,,,,,latest,AFOE00000000.1,,,False,Unclassified
47,GCA_000246945.2,GCA_000246945.2_ASM24694v2_genomic,f__Flavobacteriaceae (UID2817),99.65,0.47,100.0,97.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides injenensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides injenensis,226,226,3458160,3458157,0.0,35,31771,35,31771,105,10476,105,10476,116642,116642,12,24.136,0.3135,0.03891,Low,2983,5096,1254,1987,33,42.03821656050955,66.61079450217902,1.1062688568555146,ASM24694v2,,,,,,Contig,,,PRJDA171989,SAMD00036610,,Generic sample from Myroides injenensis M09-0166,,,,,,"The Myroides strains are not normal human microflora. They have been consistently isolated, nevertheless, from clinical specimens such as human urine, feces, infected wounds, sputum and blood.",2012-02-04T00:00:00Z,,,226.0,, ,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/945/GCA_000246945.2_ASM24694v2,,GCF_000246945.1,BAEX00000000,,Myroides injenensis M09-0166,,Full,WGS,,,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",,,,,,,,,,,,strain=M09-0166,,,,,,,urine of a patient with fever,,,,,,,,,,,,DDBJ,1008457.0,,Myroides injenensis M09-0166,Myroides injenensis M09-0166,,,,identical,,,,,22535932,2015-09-18T00:00:00.000,,,representative genome,,,assembly from type material,Major,,,SAMD00036610,BAEX,,2012/02/07,Korea Research Institute of Bioscience and Biotechnology,36x,,454,454,WGS,,1183151.0,,,M09-0166,,,Generic,Generic.1.0,Korea Research Institute of Bioscience and Biotechnology,,,1008457.0,,,,,,type strain of Myroides injenensis,,,latest,BAEX00000000.1,,,False,Non_marine
