,Assembly accession,ORFs,CAZymes,Peptidases,index,Merops orfs total
0,GCA_002431085.1,2758,47,,GCA_002431085.1,132
1,GCA_002302445.1,2226,65,,GCA_002302445.1,83
2,GCA_014075215.1,4465,52,,GCA_014075215.1,102
3,GCA_900186555.1,2294,56,,GCA_900186555.1,103
4,GCA_001670625.1,1980,38,,GCA_001670625.1,88
5,GCA_002441475.1,2202,29,,GCA_002441475.1,98
6,GCA_004843725.1,3814,75,,GCA_004843725.1,140
7,GCA_002964965.1,2297,34,,GCA_002964965.1,101
8,GCA_000511935.2,3274,120,,GCA_000511935.2,153
9,GCA_000688335.1,3644,129,,GCA_000688335.1,149
10,GCA_000260835.1,2709,70,,GCA_000260835.1,126
11,GCA_902804475.1,4884,214,,GCA_902804475.1,185
12,GCA_002954665.1,3467,99,,GCA_002954665.1,156
13,GCA_000801695.1,2225,53,,GCA_000801695.1,102
14,GCA_900447295.1,3474,61,,GCA_900447295.1,144
15,GCA_001420285.1,3443,92,,GCA_001420285.1,145
16,GCA_000496035.1,3838,110,,GCA_000496035.1,159
17,GCA_000943565.1,3383,145,,GCA_000943565.1,137
18,GCA_000981625.1,2085,52,,GCA_000981625.1,105
19,GCA_003813905.1,3102,113,,GCA_003813905.1,142
20,GCA_003860565.1,2541,62,,GCA_003860565.1,108
21,GCA_007097385.1,4172,91,,GCA_007097385.1,170
22,GCA_002846575.1,3295,62,,GCA_002846575.1,141
23,GCA_013394735.1,2453,92,,GCA_013394735.1,89
24,GCA_003610695.1,3348,114,,GCA_003610695.1,149
25,GCA_007991415.1,4603,104,,GCA_007991415.1,234
26,GCA_001677395.1,2709,61,,GCA_001677395.1,117
27,GCA_013404085.1,3928,110,,GCA_013404085.1,162
28,GCA_008244555.1,3551,111,,GCA_008244555.1,168
29,GCA_003386275.1,3723,112,,GCA_003386275.1,150
30,GCA_002163675.1,3440,163,,GCA_002163675.1,117
31,GCA_003449615.1,2651,60,,GCA_003449615.1,84
32,GCA_002843175.1,3591,185,,GCA_002843175.1,124
33,GCA_000568425.1,3471,98,,GCA_000568425.1,130
34,GCA_900110615.1,2545,54,,GCA_900110615.1,113
35,GCA_002733915.1,3015,56,,GCA_002733915.1,129
36,GCA_003385415.1,3953,85,,GCA_003385415.1,166
37,GCA_014219495.1,3442,66,,GCA_014219495.1,148
38,GCA_000425485.1,3401,51,,GCA_000425485.1,118
39,GCA_000383355.1,2318,53,,GCA_000383355.1,116
40,GCA_004119455.1,4750,87,,GCA_004119455.1,210
41,GCA_014219145.1,3863,108,,GCA_014219145.1,157
42,GCA_004010055.1,2802,50,,GCA_004010055.1,104
43,GCA_001280515.1,3120,116,,GCA_001280515.1,142
44,GCA_002909255.1,4544,155,,GCA_002909255.1,158
45,GCA_000611675.1,3161,97,,GCA_000611675.1,138
46,GCA_001027945.1,3159,30,,GCA_001027945.1,124
47,GCA_009796865.1,3325,106,,GCA_009796865.1,140
48,GCA_002346855.1,1658,36,,GCA_002346855.1,82
49,GCA_002747695.1,1250,18,,GCA_002747695.1,56
50,GCA_002379965.1,3740,138,,GCA_002379965.1,142
51,GCA_002895005.1,2777,62,,GCA_002895005.1,134
52,GCA_002770945.1,2773,52,,GCA_002770945.1,118
53,GCA_009886265.1,1332,37,,GCA_009886265.1,56
54,GCA_900489835.1,3497,66,,GCA_900489835.1,150
55,GCA_001898245.1,3550,49,,GCA_001898245.1,134
56,GCA_900168265.1,3015,83,,GCA_900168265.1,125
57,GCA_013204145.1,1691,39,,GCA_013204145.1,95
58,GCA_011762485.1,3767,126,,GCA_011762485.1,166
59,GCA_002340745.1,1571,37,,GCA_002340745.1,84
60,GCA_014220445.1,4338,94,,GCA_014220445.1,193
61,GCA_001421435.1,3964,119,,GCA_001421435.1,151
62,GCA_011525065.1,1313,23,,GCA_011525065.1,62
63,GCA_013284035.1,3768,159,,GCA_013284035.1,154
64,GCA_014220655.1,4403,94,,GCA_014220655.1,193
65,GCA_004122145.1,2962,75,,GCA_004122145.1,133
66,GCA_013426055.1,2737,52,,GCA_013426055.1,120
67,GCA_000827575.1,2538,66,,GCA_000827575.1,83
68,GCA_008040165.1,3558,102,,GCA_008040165.1,152
69,GCA_005885635.1,4454,126,,GCA_005885635.1,220
70,GCA_013978575.1,2419,42,,GCA_013978575.1,114
71,GCA_002796265.1,1800,37,,GCA_002796265.1,83
72,GCA_004959765.1,3071,56,,GCA_004959765.1,154
73,GCA_006265225.1,3352,198,,GCA_006265225.1,111
74,GCA_001529295.1,3324,99,,GCA_001529295.1,127
75,GCA_013393195.1,5149,279,,GCA_013393195.1,196
76,GCA_000745185.1,4015,112,,GCA_000745185.1,165
77,GCA_902499555.1,3854,111,,GCA_902499555.1,127
78,GCA_900610185.1,2392,56,,GCA_900610185.1,109
79,GCA_009799805.1,2614,31,,GCA_009799805.1,108
80,GCA_002333005.1,2851,50,,GCA_002333005.1,132
81,GCA_004345565.1,4857,236,,GCA_004345565.1,192
82,GCA_000422705.1,3471,107,,GCA_000422705.1,134
83,GCA_007050985.1,2864,77,,GCA_007050985.1,128
84,GCA_001510875.1,2549,56,,GCA_001510875.1,110
85,GCA_002023665.2,3748,107,,GCA_002023665.2,164
86,GCA_002296255.1,2887,66,,GCA_002296255.1,97
87,GCA_000799375.1,4515,115,,GCA_000799375.1,213
88,GCA_003413745.1,3004,46,,GCA_003413745.1,138
89,GCA_000769935.1,4048,139,,GCA_000769935.1,151
90,GCA_001761365.1,3296,149,,GCA_001761365.1,129
91,GCA_000764795.1,4138,143,,GCA_000764795.1,132
92,GCA_003201365.1,4042,90,,GCA_003201365.1,188
93,GCA_002780665.1,2251,47,,GCA_002780665.1,109
94,GCA_002364135.1,3042,48,,GCA_002364135.1,113
95,GCA_006777745.1,2423,57,,GCA_006777745.1,103
96,GCA_000764815.1,3624,67,,GCA_000764815.1,114
97,GCA_000335775.1,4282,104,,GCA_000335775.1,191
98,GCA_009789235.1,4312,219,,GCA_009789235.1,161
99,GCA_011524915.1,1812,44,,GCA_011524915.1,75
100,GCA_002430455.1,1192,22,,GCA_002430455.1,55
101,GCA_009830375.1,3849,192,,GCA_009830375.1,131
102,GCA_000297875.1,3739,34,,GCA_000297875.1,132
103,GCA_001483385.1,2482,28,,GCA_001483385.1,109
104,GCA_001670765.2,2445,35,,GCA_001670765.2,85
105,GCA_002338705.1,3096,56,,GCA_002338705.1,129
106,GCA_001507325.1,3713,94,,GCA_001507325.1,145
107,GCA_014204385.1,4728,231,,GCA_014204385.1,171
108,GCA_000971645.2,2500,56,,GCA_000971645.2,108
109,GCA_006159205.1,3934,107,,GCA_006159205.1,162
110,GCA_902526805.1,1498,51,,GCA_902526805.1,67
111,GCA_002695265.1,1582,33,,GCA_002695265.1,79
112,GCA_011601185.1,3956,100,,GCA_011601185.1,181
113,GCA_003634825.1,2526,88,,GCA_003634825.1,102
114,GCA_003241955.1,3622,61,,GCA_003241955.1,136
115,GCA_003867015.1,3175,36,,GCA_003867015.1,144
116,GCA_900099915.1,3278,81,,GCA_900099915.1,146
117,GCA_003008435.1,2834,69,,GCA_003008435.1,123
118,GCA_003384725.1,4260,87,,GCA_003384725.1,194
119,GCA_009495755.1,2496,65,,GCA_009495755.1,104
120,GCA_002378465.1,2846,53,,GCA_002378465.1,136
121,GCA_009670965.1,1929,37,,GCA_009670965.1,81
122,GCA_014219235.1,3745,107,,GCA_014219235.1,153
123,GCA_000498515.1,2691,51,,GCA_000498515.1,110
124,GCA_002363835.1,2844,47,,GCA_002363835.1,124
125,GCA_004364175.1,3759,108,,GCA_004364175.1,176
126,GCA_003447455.1,3529,44,,GCA_003447455.1,129
127,GCA_002211465.1,4523,203,,GCA_002211465.1,142
128,GCA_001648155.1,4368,114,,GCA_001648155.1,179
129,GCA_000278705.1,4612,224,,GCA_000278705.1,174
130,GCA_002477625.1,1393,18,,GCA_002477625.1,65
131,GCA_000626715.1,4965,87,,GCA_000626715.1,246
132,GCA_013002065.1,2584,59,,GCA_013002065.1,108
133,GCA_000827655.1,2294,80,,GCA_000827655.1,87
134,GCA_900109375.1,4680,130,,GCA_900109375.1,228
135,GCA_900129755.1,4298,110,,GCA_900129755.1,188
136,GCA_014303495.1,3137,88,,GCA_014303495.1,111
137,GCA_001678675.1,3997,103,,GCA_001678675.1,170
138,GCA_900446705.1,2612,96,,GCA_900446705.1,88
139,GCA_001596175.2,3561,104,,GCA_001596175.2,160
140,GCA_013391805.1,3245,89,,GCA_013391805.1,136
141,GCA_001544435.1,4495,92,,GCA_001544435.1,189
142,GCA_003129485.1,2980,121,,GCA_003129485.1,116
143,GCA_002302395.1,2766,82,,GCA_002302395.1,86
144,GCA_009697265.1,3890,103,,GCA_009697265.1,173
145,GCA_003385395.1,3575,92,,GCA_003385395.1,129
146,GCA_900108955.1,2846,52,,GCA_900108955.1,123
147,GCA_008629655.1,3203,32,,GCA_008629655.1,114
148,GCA_902705425.1,3007,42,,GCA_902705425.1,119
149,GCA_003634455.1,3345,71,,GCA_003634455.1,141
150,GCA_009932355.1,2020,35,,GCA_009932355.1,81
151,GCA_002023385.1,3871,115,,GCA_002023385.1,175
152,GCA_900299465.1,1334,29,,GCA_900299465.1,59
153,GCA_014220895.1,5031,92,,GCA_014220895.1,213
154,GCA_900610045.1,2416,56,,GCA_900610045.1,108
155,GCA_010671595.1,2998,70,,GCA_010671595.1,141
156,GCA_902705395.1,3045,37,,GCA_902705395.1,119
