Marine,Non_marine,ID,name,organism,desc,source,subfamily_merops,family_merops
0.2578125,0.8278688524590164,MER0003242,collagenase,Porphyromonas-type,,,,
0.18880208333333334,0.6885245901639344,MER0039993,BF9343_2924 g.p.,Bacteroides sp.,,,,
0.21484375,0.7110655737704918,MER0034615,dipeptidyl-peptidase 5,Porphyromonas sp.,,,,
0.01953125,0.3483606557377049,MER0002639,low osmolarity induced peptidase,Escherichia coli,[M48.022]#M48C#{peptidase unit: 76-251},YGGG_ECOLI,M48,M
0.024739583333333332,0.33811475409836067,MER0013876,collagenase,Salmonella-type,,,,
0.08333333333333333,0.4610655737704918,MER0001521,subtilisin NAT,Bacillus subtilis,[S08.044]#S08A#{peptidase unit: 107-381},SUBN_BACNA,S08,S
0.07421875,0.4323770491803279,MER0005196,prolyl tripeptidyl peptidase,Porphyromonas gingivalis,[S09.017]#S09B#{peptidase unit: 478-727},NP_905526,S09,S
0.5690104166666666,0.20081967213114754,MER0002007,carboxypeptidase Ss1,Sulfolobus solfataricus,[M20.008]#M20D#{peptidase unit: 1-393},CBP1_SULSO,M20,M
0.4309895833333333,0.7930327868852459,MER0001299,signal peptide peptidase A,Pseudomonas aeruginosa,,,,
0.5872395833333334,0.22540983606557377,MER0003338,isoaspartyl dipeptidase,threonine type,,,,
0.6432291666666666,0.9385245901639344,MER0002251,alpha-aspartyl dipeptidase,eukaryote,,,,
0.3776041666666667,0.7274590163934426,MER0001158,peptidyl-dipeptidase Dcp,Escherichia coli,[M03.005]#M03A#{peptidase unit: 2-681},DCP_ECOLI,M03,M
0.7669270833333334,0.985655737704918,MER0001421,peptidase T,Escherichia coli,[M20.003]#M20B#{peptidase unit: 13-408},PEPT_ECOLI,M20,M
0.13802083333333334,0.4323770491803279,MER0060647,dihydro-orotase,N-terminal unit,,,,
0.0078125,0.17418032786885246,MER0013976,At3g16150,Arabidopsis thaliana,,,,
0.73046875,0.9405737704918032,MER0192051,HflK,Escherichia coli,[I87.002]#I87#{inhibitor unit: 1-419},CAQ34520,I87,I
0.25,0.04918032786885246,MER0000472,D-Ala-D-Ala peptidase C,Escherichia coli,[S13.001]#S13#{peptidase unit: 21-477},ABE09059,S13,S
0.05859375,0.22131147540983606,MER0001236,PepA aminopeptidase,Escherichia coli,[M17.003]#M17#{peptidase unit: 15-501},AMPA_ECOLI,M17,M
0.20182291666666666,0.0430327868852459,MER0002646,farnesylated-protein converting enzyme 1,Homo sapiens,[M48.003]#M48A#{peptidase unit: 164-475},FAC1_HUMAN,M48,M
0.08984375,0.004098360655737705,MER0036617,NcPI-S protein,Neospora caninum,,,,
0.006510416666666667,0.08401639344262295,MER0006293,HtpX-2 peptidase,Streptomyces coelicolor,[M48.004]#M48B#{peptidase unit: 79-297},HTX1_STRCO,M48,M
0.026041666666666668,0.0020491803278688526,MER0003972,nas-14 g.p.,Caenorhabditis elegans,,,,
0.015625,0.0,MER0061081,YeiG protein,Escherichi coli,,,,
0.014322916666666666,0.0,MER0001396,prohead peptidase,bacteriophage HK97,,,,
0.00390625,0.02459016393442623,MER0015631,At1g52580,Arabidopsis thaliana,,,,
0.013020833333333334,0.0,MER0364556,,,[C01.172]#C01A#{peptidase unit: 87-301},AFS60644,C01,C
0.010416666666666666,0.0,MER0043540,"carbamoyl-phosphate synthase, small",Pyrococcus furiosus,,,,
0.0078125,0.0,MER0011413,DPF-3 peptidase,Drosophila melanogaster,[S09.016]#S09B#{peptidase unit: 873-1111},Q9VC19_DROME,S09,S
0.006510416666666667,0.0,MER0321345,BSn5_05605 g.p.,Bacillus subtilis,,,,
