,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Assembly accession2,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
2052,GCA_001404975.1,245,7.890499194847021,3105,GCA_001404975.1,1,173,0.032206119162640906,GCA_001404975.1,Flavobacterium,Flavobacteriaceae,3755556.0,99.65,False,GCA_001404975.1_merops.txt,4.0,GCA_001404975.1,254,8.18035426731079,0.008130081300813009,1.065088631350458e-06,0.00026627215783761447,0.06763312809075407,0.0010650886313504579
195,GCA_001686925.1,232,4.64185674269708,4998,GCA_001686925.1,1,165,0.020008003201280513,GCA_001686925.1,Flavobacterium,Flavobacteriaceae,5904555.0,99.65,False,GCA_001686925.1_merops.txt,6.0,GCA_001686925.1,423,8.463385354141657,0.008583690987124463,1.0161646389948099e-06,0.00016936077316580164,0.07163960704913411,0.00101616463899481
897,GCA_003105115.1,207,4.6885617214043025,4415,GCA_003105115.1,1,144,0.022650056625141562,GCA_003105115.1,Flavobacterium,Flavobacteriaceae,5140580.0,99.65,False,GCA_003105115.1_merops.txt,7.0,GCA_003105115.1,404,9.150622876557192,0.009615384615384616,1.3617140478311787e-06,0.00019453057826159694,0.07859035361768515,0.0013617140478311787
1299,GCA_004791695.1,169,4.071308118525656,4151,GCA_004791695.1,1,102,0.02409058058299205,GCA_004791695.1,Flavivirga,Flavobacteriaceae,4911176.0,99.67,False,GCA_004791695.1_merops.txt,3.0,GCA_004791695.1,348,8.383522042881234,0.011764705882352941,6.10851657525611e-07,0.00020361721917520363,0.07085879227297087,0.0006108516575256109
2285,GCA_002427935.1,153,5.232558139534883,2924,GCA_002427935.1,1,100,0.03419972640218878,GCA_002427935.1,Flavobacterium,Flavobacteriaceae,3307512.0,91.54,True,GCA_002427935.1_merops.txt,2.0,GCA_002427935.1,222,7.59233926128591,0.012987012987012988,6.046841251067267e-07,0.00030234206255336335,0.06711993788684667,0.0006046841251067267
961,GCA_013249065.1,123,3.632604843473125,3386,GCA_013249065.1,1,53,0.029533372711163616,GCA_013249065.1,Winogradskyella,Flavobacteriaceae,3888081.0,99.34,False,GCA_013249065.1_merops.txt,1.0,GCA_013249065.1,275,8.121677495569994,0.016129032258064516,2.5719628783453845e-07,0.00025719628783453844,0.07072897915449808,0.00025719628783453844
1065,GCA_002221975.1,244,4.695016355589764,5197,GCA_002221975.1,2,158,0.03848374061958822,GCA_002221975.1,Flavobacterium,Flavobacteriaceae,6041815.0,99.65,False,GCA_002221975.1_merops.txt,6.0,GCA_002221975.1,438,8.42793919568982,0.016260162601626018,9.930790664725749e-07,0.00033102635549085827,0.07249477185249796,0.0009930790664725749
1427,GCA_002217365.1,237,5.082564872399742,4663,GCA_002217365.1,2,166,0.04289084280506112,GCA_002217365.1,Flavobacterium,Flavobacteriaceae,5607986.0,99.65,False,GCA_002217365.1_merops.txt,8.0,GCA_002217365.1,436,9.350203731503324,0.016736401673640166,1.4265370847930078e-06,0.00035663427119825194,0.07774627112121893,0.0014265370847930078
1750,GCA_003633785.1,229,4.076909382232508,5617,GCA_003633785.1,2,166,0.03560619547801318,GCA_003633785.1,Flavobacterium,Flavobacteriaceae,6651739.0,99.29,False,GCA_003633785.1_merops.txt,10.0,GCA_003633785.1,440,7.833363005162898,0.017316017316017316,1.5033662625668265e-06,0.00030067325251336525,0.06614811555294037,0.0015033662625668265
527,GCA_002023425.1,108,3.062960862166761,3526,GCA_002023425.1,1,63,0.02836074872376631,GCA_002023425.1,Elizabethkingia,Weeksellaceae,3871164.0,100.0,False,GCA_002023425.1_merops.txt,3.0,GCA_002023425.1,274,7.770845150311969,0.01834862385321101,7.749607094920287e-07,0.0002583202364973429,0.07077974480027197,0.0007749607094920287
436,GCA_000333355.1,107,2.8157894736842106,3800,GCA_000333355.1,1,69,0.02631578947368421,GCA_000333355.1,Chryseobacterium,Weeksellaceae,4165754.0,94.59,False,GCA_000333355.1_merops.txt,6.0,GCA_000333355.1,281,7.394736842105264,0.018518518518518517,1.4403154867042078e-06,0.00024005258111736794,0.06745477529398039,0.0014403154867042077
1073,GCA_001521745.1,106,2.688990360223237,3942,GCA_001521745.1,1,63,0.025367833587011668,GCA_001521745.1,Elizabethkingia,Weeksellaceae,4247713.0,100.0,False,GCA_001521745.1_merops.txt,4.0,GCA_001521745.1,293,7.4327752409944186,0.018691588785046728,9.416832069398286e-07,0.00023542080173495714,0.06897829490834245,0.0009416832069398286
1369,GCA_900143665.1,104,2.9528676888131744,3522,GCA_900143665.1,1,58,0.028392958546280524,GCA_900143665.1,Elizabethkingia,Weeksellaceae,3935024.0,100.0,False,GCA_900143665.1_merops.txt,3.0,GCA_900143665.1,270,7.666098807495741,0.01904761904761905,7.623841684320095e-07,0.0002541280561440032,0.06861457515888086,0.0007623841684320095
1644,GCA_002754195.1,202,3.8192474948005297,5289,GCA_002754195.1,2,134,0.03781433163168841,GCA_002754195.1,Flavobacterium,Flavobacteriaceae,6328714.0,99.65,False,GCA_002754195.1_merops.txt,11.0,GCA_002754195.1,424,8.016638305917944,0.0196078431372549,1.7381098276837916e-06,0.0003160199686697803,0.06699623335799343,0.0017381098276837916
444,GCA_013401995.1,100,2.797202797202797,3575,GCA_013401995.1,1,52,0.027972027972027972,GCA_013401995.1,Flavobacterium,Flavobacteriaceae,3976830.0,99.64,False,GCA_013401995.1_merops.txt,4.0,GCA_013401995.1,307,8.587412587412588,0.019801980198019802,1.0058262485446952e-06,0.0002514565621361738,0.07719716457580535,0.0010058262485446953
271,GCA_001602525.1,197,3.9126117179741806,5035,GCA_001602525.1,2,128,0.039721946375372394,GCA_001602525.1,Flavobacterium,Flavobacteriaceae,5924510.0,99.65,False,GCA_001602525.1_merops.txt,11.0,GCA_001602525.1,408,8.103277060575968,0.020100502512562814,1.8566936337351105e-06,0.000337580660679111,0.06886645477853864,0.0018566936337351106
2146,GCA_003347605.1,98,2.258584927402627,4339,GCA_003347605.1,1,45,0.023046784973496198,GCA_003347605.1,Chryseobacterium,Weeksellaceae,4862476.0,100.0,False,GCA_003347605.1_merops.txt,9.0,GCA_003347605.1,359,8.273795805485134,0.020202020202020204,1.850908878521971e-06,0.0002056565420579968,0.07383069859882084,0.0018509088785219712
1095,GCA_002017945.1,98,2.809633027522936,3488,GCA_002017945.1,1,47,0.028669724770642203,GCA_002017945.1,Flavobacterium,Flavobacteriaceae,3980312.0,98.76,False,GCA_002017945.1_merops.txt,3.0,GCA_002017945.1,252,7.224770642201834,0.020202020202020204,7.537097594359437e-07,0.00025123658647864793,0.06331161979261928,0.0007537097594359437
1876,GCA_001680875.1,192,5.501432664756447,3490,GCA_001680875.1,2,129,0.05730659025787965,GCA_001680875.1,Polaribacter,Flavobacteriaceae,4104437.0,98.99,False,GCA_001680875.1_merops.txt,1.0,GCA_001680875.1,265,7.593123209169055,0.020618556701030927,2.4363877433129076e-07,0.0004872775486625815,0.06456427519779205,0.00024363877433129075
973,GCA_900115055.1,95,1.9987376393856509,4753,GCA_900115055.1,1,46,0.021039343572480537,GCA_900115055.1,Chryseobacterium,Weeksellaceae,5284689.0,99.93,False,GCA_900115055.1_merops.txt,10.0,GCA_900115055.1,364,7.658321060382916,0.020833333333333332,1.8922589389839213e-06,0.00018922589389839213,0.06887822537901474,0.0018922589389839214
1625,GCA_001187685.1,94,2.591673559415495,3627,GCA_001187685.1,1,47,0.027570995312930797,GCA_001187685.1,Chryseobacterium,Weeksellaceae,3894049.0,100.0,False,GCA_001187685.1_merops.txt,3.0,GCA_001187685.1,262,7.2236007719878685,0.021052631578947368,7.704063302747346e-07,0.0002568021100915782,0.0672821528439935,0.0007704063302747346
803,GCA_003076455.1,186,4.8806087641039095,3811,GCA_003076455.1,2,102,0.05247966413014957,GCA_003076455.1,Flavobacterium,Flavobacteriaceae,4621116.0,99.29,False,GCA_003076455.1_merops.txt,3.0,GCA_003076455.1,328,8.60666491734453,0.02127659574468085,6.491938311005393e-07,0.00043279588740035955,0.07097852553365898,0.0006491938311005394
1809,GCA_001553545.1,89,3.671617161716172,2424,GCA_001553545.1,1,55,0.041254125412541254,GCA_001553545.1,Capnocytophaga,Flavobacteriaceae,2688484.0,100.0,False,GCA_001553545.1_merops.txt,3.0,GCA_001553545.1,150,6.188118811881188,0.022222222222222223,1.1158705054595825e-06,0.0003719568351531941,0.05579352527297912,0.0011158705054595825
