Genome,Region_Type,antiSMASH_classif,new_classif,From,To,Size(bp),Most_similar_known_ cluster,Most_similar_classif,Similarity,Correct_name
GCA_002831645.1,Region&nbsp1,T3PKS,PKSIII,582350.0,623402,41052.0,,,,GCA_002831645_contig1.region001
GCA_002831645.1,Region&nbsp2,"terpene,bacteriocin",Others,1879449.0,1909353,29904.0,,,,GCA_002831645_contig1.region002
GCA_002831645.1,Region&nbsp3,terpene,terpene,2137564.0,2160010,22446.0,carotenoid,Terpene,28%,GCA_002831645_contig1.region003
GCA_002831645.1,Region&nbsp4,LAP,RiPPs,2236187.0,2258361,22174.0,,,,GCA_002831645_contig1.region004
GCA_001971785.1,Region&nbsp1,bacteriocin,RiPPs,1547629.0,1559785,12156.0,,,,GCA_001971785_contig1.region001
GCA_001971785.1,Region&nbsp2,terpene,terpene,2834169.0,2855008,20839.0,carotenoid,Terpene,28%,GCA_001971785_contig1.region002
GCA_002951395.1,Region&nbsp1,terpene,terpene,2132761.0,2153597,20836.0,carotenoid,Terpene,28%,GCA_002951395_contig1.region001
GCA_002951395.1,Region&nbsp2,siderophore,Siderophore,2778174.0,2789988,11814.0,putrebactin / avaroferrin,Other,40%,GCA_002951395_contig1.region002
GCA_903969135.1,Region&nbsp1,siderophore,Siderophore,459827.0,475357,15530.0,putrebactin / avaroferrin,Other,20%,GCA_903969135_contig1.region001
GCA_903969135.1,Region&nbsp2,terpene,terpene,949486.0,970499,21013.0,,,,GCA_903969135_contig1.region002
GCA_903969135.1,Region&nbsp3,"hglE-KS,T1PKS",PKS_other,1456208.0,1507509,51301.0,,,,GCA_903969135_contig1.region003
GCA_903969135.1,Region&nbsp4,microviridin,RiPPs,1656115.0,1676628,20513.0,,,,GCA_903969135_contig1.region004
GCA_903969135.1,Region&nbsp5,"resorcinol,arylpolyene",Others,2636995.0,2700108,63113.0,flexirubin,Polyketide,75%,GCA_903969135_contig1.region005
GCA_903969135.1,Region&nbsp6,NRPS-like,NRPS,3117973.0,3161080,43107.0,,,,GCA_903969135_contig1.region006
GCA_903969135.1,Region&nbsp7,lanthipeptide,RiPPs,3332018.0,3356342,24324.0,,,,GCA_903969135_contig1.region007
GCA_903969135.1,Region&nbsp8,bacteriocin,RiPPs,5170009.0,5181079,11070.0,,,,GCA_903969135_contig1.region008
GCA_009664855.1,Region&nbsp1,T3PKS,PKSIII,1651354.0,1692406,41052.0,,,,GCA_009664855_contig1.region001
GCA_009664855.1,Region&nbsp2,betalactone,Others,2113475.0,2144226,30751.0,,,,GCA_009664855_contig1.region002
GCA_009664855.1,Region&nbsp3,lanthipeptide,RiPPs,2222426.0,2248661,26235.0,,,,GCA_009664855_contig1.region003
