,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
458,GCA_002793215.1,49,2.238465053,2189,GCA_002793215.1,0,23,0,GCA_002793215.1,CG1-02-35-72,Flavobacteriaceae,2519122,90.36,True,1,GCA_002793215.1,170,7.766103243,0,3.97E-07,0,0.06748383,0.000396964
2052,GCA_001404975.1,245,7.890499195,3105,GCA_001404975.1,1,173,0.032206119,GCA_001404975.1,Flavobacterium,Flavobacteriaceae,3755556,99.65,False,4,GCA_001404975.1,254,8.180354267,0.008130081,1.07E-06,0.000266272,0.067633128,0.001065089
195,GCA_001686925.1,232,4.641856743,4998,GCA_001686925.1,1,165,0.020008003,GCA_001686925.1,Flavobacterium,Flavobacteriaceae,5904555,99.65,False,6,GCA_001686925.1,423,8.463385354,0.008583691,1.02E-06,0.000169361,0.071639607,0.001016165
897,GCA_003105115.1,207,4.688561721,4415,GCA_003105115.1,1,144,0.022650057,GCA_003105115.1,Flavobacterium,Flavobacteriaceae,5140580,99.65,False,7,GCA_003105115.1,404,9.150622877,0.009615385,1.36E-06,0.000194531,0.078590354,0.001361714
1299,GCA_004791695.1,169,4.071308119,4151,GCA_004791695.1,1,102,0.024090581,GCA_004791695.1,Flavivirga,Flavobacteriaceae,4911176,99.67,False,3,GCA_004791695.1,348,8.383522043,0.011764706,6.11E-07,0.000203617,0.070858792,0.000610852
2285,GCA_002427935.1,153,5.23255814,2924,GCA_002427935.1,1,100,0.034199726,GCA_002427935.1,Flavobacterium,Flavobacteriaceae,3307512,91.54,True,2,GCA_002427935.1,222,7.592339261,0.012987013,6.05E-07,0.000302342,0.067119938,0.000604684
1661,GCA_900141765.1,130,3.506878878,3707,GCA_900141765.1,1,72,0.026975991,GCA_900141765.1,Epilithonimonas,Weeksellaceae,4079566,100,False,2,GCA_900141765.1,321,8.659293229,0.015267176,4.90E-07,0.000245124,0.07868484,0.000490248
961,GCA_013249065.1,123,3.632604843,3386,GCA_013249065.1,1,53,0.029533373,GCA_013249065.1,Winogradskyella,Flavobacteriaceae,3888081,99.34,False,1,GCA_013249065.1,275,8.121677496,0.016129032,2.57E-07,0.000257196,0.070728979,0.000257196
527,GCA_002023425.1,108,3.062960862,3526,GCA_002023425.1,1,63,0.028360749,GCA_002023425.1,Elizabethkingia,Weeksellaceae,3871164,100,False,3,GCA_002023425.1,274,7.77084515,0.018348624,7.75E-07,0.00025832,0.070779745,0.000774961
436,GCA_000333355.1,107,2.815789474,3800,GCA_000333355.1,1,69,0.026315789,GCA_000333355.1,Chryseobacterium,Weeksellaceae,4165754,94.59,False,6,GCA_000333355.1,281,7.394736842,0.018518519,1.44E-06,0.000240053,0.067454775,0.001440315
1073,GCA_001521745.1,106,2.68899036,3942,GCA_001521745.1,1,63,0.025367834,GCA_001521745.1,Elizabethkingia,Weeksellaceae,4247713,100,False,4,GCA_001521745.1,293,7.432775241,0.018691589,9.42E-07,0.000235421,0.068978295,0.000941683
304,GCA_003076475.1,105,2.752293578,3815,GCA_003076475.1,1,42,0.02621232,GCA_003076475.1,Flavobacterium,Flavobacteriaceae,4224053,99.29,False,5,GCA_003076475.1,297,7.785058978,0.018867925,1.18E-06,0.000236739,0.070311618,0.001183697
1369,GCA_900143665.1,104,2.952867689,3522,GCA_900143665.1,1,58,0.028392959,GCA_900143665.1,Elizabethkingia,Weeksellaceae,3935024,100,False,3,GCA_900143665.1,270,7.666098807,0.019047619,7.62E-07,0.000254128,0.068614575,0.000762384
444,GCA_013401995.1,100,2.797202797,3575,GCA_013401995.1,1,52,0.027972028,GCA_013401995.1,Flavobacterium,Flavobacteriaceae,3976830,99.64,False,4,GCA_013401995.1,307,8.587412587,0.01980198,1.01E-06,0.000251457,0.077197165,0.001005826
2146,GCA_003347605.1,98,2.258584927,4339,GCA_003347605.1,1,45,0.023046785,GCA_003347605.1,Chryseobacterium,Weeksellaceae,4862476,100,False,9,GCA_003347605.1,359,8.273795805,0.02020202,1.85E-06,0.000205657,0.073830699,0.001850909
1095,GCA_002017945.1,98,2.809633028,3488,GCA_002017945.1,1,47,0.028669725,GCA_002017945.1,Flavobacterium,Flavobacteriaceae,3980312,98.76,False,3,GCA_002017945.1,252,7.224770642,0.02020202,7.54E-07,0.000251237,0.06331162,0.00075371
973,GCA_900115055.1,95,1.998737639,4753,GCA_900115055.1,1,46,0.021039344,GCA_900115055.1,Chryseobacterium,Weeksellaceae,5284689,99.93,False,10,GCA_900115055.1,364,7.65832106,0.020833333,1.89E-06,0.000189226,0.068878225,0.001892259
1625,GCA_001187685.1,94,2.591673559,3627,GCA_001187685.1,1,47,0.027570995,GCA_001187685.1,Chryseobacterium,Weeksellaceae,3894049,100,False,3,GCA_001187685.1,262,7.223600772,0.021052632,7.70E-07,0.000256802,0.067282153,0.000770406
1809,GCA_001553545.1,89,3.671617162,2424,GCA_001553545.1,1,55,0.041254125,GCA_001553545.1,Capnocytophaga,Flavobacteriaceae,2688484,100,False,3,GCA_001553545.1,150,6.188118812,0.022222222,1.12E-06,0.000371957,0.055793525,0.001115871
290,GCA_000520995.1,88,1.628122109,5405,GCA_000520995.1,1,47,0.018501388,GCA_000520995.1,Aquimarina,Flavobacteriaceae,6056208,99.62,False,10,GCA_000520995.1,473,8.751156337,0.02247191,1.65E-06,0.00016512,0.078101677,0.001651198
1753,GCA_006491645.1,88,2.396514161,3672,GCA_006491645.1,1,35,0.027233115,GCA_006491645.1,Flavobacterium,Flavobacteriaceae,4013996,99.29,False,4,GCA_006491645.1,291,7.924836601,0.02247191,9.97E-07,0.000249128,0.072496335,0.000996513
1713,GCA_013407935.1,86,2.659245516,3234,GCA_013407935.1,1,41,0.030921459,GCA_013407935.1,Muricauda,Flavobacteriaceae,3525743,99.34,False,3,GCA_013407935.1,247,7.637600495,0.022988506,8.51E-07,0.000283628,0.070056156,0.000850884
2037,GCA_003815675.1,84,1.848998459,4543,GCA_003815675.1,1,33,0.022011886,GCA_003815675.1,Chryseobacterium,Weeksellaceae,5038771,100,False,7,GCA_003815675.1,349,7.68214836,0.023529412,1.39E-06,0.000198461,0.069262921,0.001389228
2196,GCA_003581615.1,80,2.361972247,3387,GCA_003581615.1,1,44,0.029524653,GCA_003581615.1,Muricauda,Flavobacteriaceae,3721101,99.34,False,3,GCA_003581615.1,281,8.296427517,0.024691358,8.06E-07,0.000268738,0.075515284,0.000806213
964,GCA_007827365.1,80,2.483700714,3221,GCA_007827365.1,1,24,0.031046259,GCA_007827365.1,Olleya,Flavobacteriaceae,3564561,99.67,False,1,GCA_007827365.1,241,7.482148401,0.024691358,2.81E-07,0.000280539,0.067610009,0.000280539
1346,GCA_003984855.1,75,2.510040161,2988,GCA_003984855.1,1,35,0.033467202,GCA_003984855.1,Flavobacterium,Flavobacteriaceae,3374143,98.94,False,3,GCA_003984855.1,230,7.697456493,0.026315789,8.89E-07,0.000296372,0.068165457,0.000889115
1997,GCA_001423985.1,65,1.905041032,3412,GCA_001423985.1,1,24,0.029308324,GCA_001423985.1,Flavobacterium,Flavobacteriaceae,3801380,99.65,False,3,GCA_001423985.1,289,8.47010551,0.03030303,7.89E-07,0.000263062,0.076025022,0.000789187
2204,GCA_004293805.1,64,2.605863192,2456,GCA_004293805.1,1,34,0.040716612,GCA_004293805.1,Flavobacterium,Flavobacteriaceae,2789381,88.49,True,2,GCA_004293805.1,170,6.921824104,0.030769231,7.17E-07,0.000358502,0.060945421,0.000717005
2511,GCA_003626815.1,53,1.747444774,3033,GCA_003626815.1,1,15,0.032970656,GCA_003626815.1,AU392,Flavobacteriaceae,3319912,99.1,False,2,GCA_003626815.1,293,9.660402242,0.037037037,6.02E-07,0.000301213,0.088255351,0.000602426
1126,GCA_002384895.1,52,1.74789916,2975,GCA_002384895.1,1,7,0.033613445,GCA_002384895.1,Aequorivita,Flavobacteriaceae,3195334,91.42,True,3,GCA_002384895.1,228,7.663865546,0.037735849,9.39E-07,0.000312956,0.071354043,0.000938869
1145,GCA_000378765.1,52,1.874549387,2774,GCA_000378765.1,1,20,0.036049027,GCA_000378765.1,Psychroflexus,Flavobacteriaceae,3001811,99.62,False,3,GCA_000378765.1,204,7.354001442,0.037735849,9.99E-07,0.000333132,0.067958975,0.000999397
1445,GCA_000746845.1,50,1.699524133,2942,GCA_000746845.1,1,8,0.033990483,GCA_000746845.1,Altibacter,Flavobacteriaceae,3160033,98.86,False,3,GCA_000746845.1,238,8.089734874,0.039215686,9.49E-07,0.000316452,0.075315669,0.000949357
1017,GCA_001686945.1,50,2.023472278,2471,GCA_001686945.1,1,10,0.040469446,GCA_001686945.1,Flavobacterium,Flavobacteriaceae,2762845,94.35,False,5,GCA_001686945.1,193,7.810602995,0.039215686,1.81E-06,0.000361946,0.069855529,0.001809729
75,GCA_002333005.1,50,1.753770607,2851,GCA_002333005.1,1,19,0.035075412,GCA_002333005.1,Empedobacter,Weeksellaceae,3039024,100,True,2,GCA_002333005.1,200,7.015082427,0.039215686,6.58E-07,0.000329053,0.065810602,0.000658106
850,GCA_002631855.1,49,1.557038449,3147,GCA_002631855.1,1,5,0.031776295,GCA_002631855.1,Marixanthomonas,Flavobacteriaceae,3332541,98.48,True,3,GCA_002631855.1,248,7.880521131,0.04,9.00E-07,0.000300071,0.074417689,0.000900214
488,GCA_001809725.1,46,2.178030303,2112,GCA_001809725.1,1,3,0.047348485,GCA_001809725.1,Weeksella,Weeksellaceae,2275272,100,False,1,GCA_001809725.1,166,7.859848485,0.042553191,4.40E-07,0.000439508,0.07295831,0.000439508
2507,GCA_002430925.1,45,1.622791201,2773,GCA_002430925.1,1,13,0.036062027,GCA_002430925.1,Chishuiella,Weeksellaceae,3068612,97.85,True,1,GCA_002430925.1,208,7.500901551,0.043478261,3.26E-07,0.00032588,0.067783089,0.00032588
