Query	Hit	Score
CHEEHJKD_00007	MER0192051	58.9
CHEEHJKD_00027	MER0001297	132.0
CHEEHJKD_00029	MER0001009	65.5
CHEEHJKD_00030	MER0004690	111.0
CHEEHJKD_00032	MER0042387	111.0
CHEEHJKD_00050	MER0000576	113.0
CHEEHJKD_00053	MER0281397	77.4
CHEEHJKD_00059	MER0004775	508.0
CHEEHJKD_00095	MER0001009	72.4
CHEEHJKD_00096	MER0897124	69.3
CHEEHJKD_00149	MER0001313	47.4
CHEEHJKD_00192	MER0015424	156.0
CHEEHJKD_00194	MER0026471	236.0
CHEEHJKD_00199	MER0002031	74.7
CHEEHJKD_00221	MER0066178	58.2
CHEEHJKD_00243	MER0030935	51.2
CHEEHJKD_00267	MER0056022	43.9
CHEEHJKD_00304	MER0001423	354.0
CHEEHJKD_00311	MER0005964	124.0
CHEEHJKD_00389	MER0031610	166.0
CHEEHJKD_00394	MER0000474	227.0
CHEEHJKD_00402	MER0034541	252.0
CHEEHJKD_00437	MER0195774	135.0
CHEEHJKD_00438	MER0237414	71.6
CHEEHJKD_00446	MER0001295	160.0
CHEEHJKD_00456	MER0034539	98.2
CHEEHJKD_00464	MER0003336	238.0
CHEEHJKD_00489	MER0044357	63.5
CHEEHJKD_00536	MER0001025	213.0
CHEEHJKD_00537	MER0001161	520.0
CHEEHJKD_00545	MER0039993	506.0
CHEEHJKD_00556	MER0015475	57.8
CHEEHJKD_00593	MER0078640	226.0
CHEEHJKD_00638	MER0034582	118.0
CHEEHJKD_00643	MER0100667	76.6
CHEEHJKD_00685	MER0034539	103.0
CHEEHJKD_00775	MER0005169	176.0
CHEEHJKD_00790	MER0001421	446.0
CHEEHJKD_00834	MER0005196	340.0
CHEEHJKD_00837	MER0033186	202.0
CHEEHJKD_01040	MER0026262	122.0
CHEEHJKD_01054	MER0026545	117.0
CHEEHJKD_01057	MER0000485	233.0
CHEEHJKD_01067	MER0003537	159.0
CHEEHJKD_01071	MER0015166	85.1
CHEEHJKD_01085	MER0047723	430.0
CHEEHJKD_01104	MER0168983	69.3
CHEEHJKD_01132	MER0100667	83.6
CHEEHJKD_01144	MER0001425	46.6
CHEEHJKD_01192	MER0066178	47.0
CHEEHJKD_01238	MER0001322	71.2
CHEEHJKD_01251	MER1143079	120.0
CHEEHJKD_01298	MER0045886	181.0
CHEEHJKD_01302	MER0065554	258.0
CHEEHJKD_01307	MER0019280	99.0
CHEEHJKD_01324	MER0025086	140.0
CHEEHJKD_01348	MER0107602	52.0
CHEEHJKD_01371	MER0011900	58.2
CHEEHJKD_01393	MER0065588	188.0
CHEEHJKD_01423	MER0004090	140.0
CHEEHJKD_01454	MER0044622	149.0
CHEEHJKD_01543	MER0002031	89.0
CHEEHJKD_01659	MER0029657	46.6
CHEEHJKD_01754	MER0014140	58.9
CHEEHJKD_01765	MER0004923	129.0
CHEEHJKD_01801	MER0015472	65.5
CHEEHJKD_01844	MER0034539	150.0
CHEEHJKD_01857	MER0069741	62.4
CHEEHJKD_01915	MER0045479	44.7
CHEEHJKD_01979	MER0042827	112.0
CHEEHJKD_01994	MER0005767	59.7
CHEEHJKD_01996	MER0209507	47.4
CHEEHJKD_02009	MER0066178	62.4
CHEEHJKD_02017	MER0056525	263.0
CHEEHJKD_02045	MER0013623	179.0
CHEEHJKD_02050	MER0004035	94.7
CHEEHJKD_02104	MER0073084	116.0
CHEEHJKD_02117	MER0000589	91.7
CHEEHJKD_02120	MER0047976	47.8
CHEEHJKD_02121	MER0015473	52.8
CHEEHJKD_02180	MER0005139	75.5
CHEEHJKD_02183	MER0000410	364.0
CHEEHJKD_02220	MER0069741	106.0
CHEEHJKD_02325	MER0037236	91.7
CHEEHJKD_02344	MER0002251	213.0
CHEEHJKD_02347	MER0001009	52.0
CHEEHJKD_02353	MER0004086	103.0
CHEEHJKD_02371	MER0001243	207.0
CHEEHJKD_02397	MER0013541	41.2
CHEEHJKD_02404	MER0014366	488.0
CHEEHJKD_02414	MER0001299	291.0
CHEEHJKD_02416	MER0001400	153.0
CHEEHJKD_02427	MER0004196	124.0
CHEEHJKD_02443	MER0025086	95.1
CHEEHJKD_02478	MER0034615	343.0
CHEEHJKD_02488	MER0015621	306.0
CHEEHJKD_02519	MER0012158	205.0
CHEEHJKD_02526	MER0014135	235.0
CHEEHJKD_02585	MER0016191	113.0
CHEEHJKD_02644	MER0005767	137.0
CHEEHJKD_02697	MER0001244	182.0
CHEEHJKD_02698	MER0036053	81.3
CHEEHJKD_02707	MER0011781	52.4
CHEEHJKD_02736	MER0003380	141.0
CHEEHJKD_02751	MER0003242	324.0
CHEEHJKD_02752	MER0003242	66.2
CHEEHJKD_02792	MER0003376	63.9
