,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_pfam%,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Assembly method resumed,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host resumed,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
1,GCA_000023285.1,GCA_000023285.1_ASM2328v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,1,1,2612925,2612925,0.0,1,2612925,1,2612925,1,2612925,1,2612925,2612925,2612925,1,100.0,0.39588,0.0,High,2182,1720,907,1353,88,78.82676443629697,41.56736938588451,62.00733272227315,4.032997250229148,ASM2328v1,,,,,,Complete Genome,,,,PRJNA29403,SAMN00001911,,Generic sample from Capnocytophaga ochracea DSM 7271,,,Rod,,,Capnocytophaga ochracea DSM 7271,2009-04-30T00:00:00Z,,,1.0,,DSM 7271,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1,,GCF_000023285.1,CP001632,,Capnocytophaga ochracea DSM 7271,,Full,Complete,,,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,,,,,,,,,,strain=DSM 7271,,,,isolated from the human oral cavity,,,the human oral cavity,,,,,,,,,,,Yes,"Joint Genome Institute, U.S. Department of Energy",521097.0,,Capnocytophaga ochracea DSM 7271,Capnocytophaga ochracea DSM 7271,,,Facultative,identical,,,,,21304645,2009-02-19T00:00:00.000,,NC_013162,representative genome,2171.0,,assembly from type material,Major,"SRR013476,SRR013477",,SAMN00001911,FWCB,,2009/08/26,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,1018.0,,No,DSM 7271,,,Generic,Generic.1.0,US DOE Joint Genome Institute (JGI-PGF),,,521097.0,,35-37,Mesophilic,,,type strain of Capnocytophaga ochracea,Yes,,latest,,,,False,Non_marine
7,GCA_000143785.1,GCA_000143785.1_ASM14378v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium gleum,5,7,5570640,5569640,0.018000000000000002,1,3972748,1,3504888,3,402694,5,317043,3972748,3504888,5,100.0,0.36814,0.00254,High,5139,3811,1717,2998,114,74.15839657520918,33.41116948822728,58.33819809301421,2.2183304144775247,ASM14378v1,,,,,,Scaffold,Newbler assembler v. 2.3.10192009,Newbler assembler v. 2.3.10192009,,PRJNA30953,SAMN00000627,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Chryseobacterium gleum ATCC 35910,,Urogenital tract; Vaginal,Rod,,,Chryseobacterium gleum ATCC 35910,2009-04-20T00:00:00Z,,,30.0,,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",,,,,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,5562000,,,Level 6: Finished33.84x;7,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/785/GCA_000143785.1_ASM14378v1,,GCF_000143785.1,ACKQ00000000,,Chryseobacterium gleum ATCC 35910,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=ATCC 35910,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP body site, Vaginal",urogenital_tract,,Baylor College of Medicine,525257.0,,Chryseobacterium gleum ATCC 35910,Chryseobacterium gleum ATCC 35910,,,Aerobic,identical,,,"Chryseobacterium gleum F93, ATCC 35910",Reference Genome,,2008-09-08T00:00:00.000,,NZ_ACKQ00000000,,5296.0,,assembly from type material,Major,,,SAMN00000627,BCM-HMP0003,,2010/07/22,Baylor College of Medicine,31.57x,"454-GS-FLX, Illumina","454-GS-FLX, Illumina",454; Illumina,assembly,"ATCC 35910, CL4/79, IFO 15054, JCM 2410, NCTC 11432",250.0,Homo sapiens,No,ATCC 35910,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,525257.0,,30,Mesophilic,,,type strain of Chryseobacterium gleum,,,latest,ACKQ00000000.2,,,False,Non_marine
20,GCA_000173675.1,GCA_000173675.1_ASM17367v1_genomic,p__Bacteroidetes (UID2605),99.52,0.0,0.0,99.52,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sputigena,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,65,65,2997845,2997836,0.0,8,154533,8,154533,28,27071,28,27071,286724,286724,19,80.751,0.38426,0.04218,High,2701,1969,955,1464,81,72.89892632358384,35.357275083302476,54.20214735283229,2.9988893002591634,ASM17367v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,Newbler,,PRJNA30997,SAMN00000681,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sputigena ATCC 33612,,Oral; Gingival crevices,,,,"Capnocytophaga sputigena is a gram-negative, rod-shaped bacterium located in the gingival crevice and associated with periodontal disease.",2008-11-21T00:00:00Z,,,65.0,,ATCC 33612,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2998000,,,Level 2: High-Quality Draft19x;65,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/675/GCA_000173675.1_ASM17367v1,,GCF_000173675.1,ABZV00000000,,Capnocytophaga sputigena ATCC 33612,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=Capno,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553177.0,,Capnocytophaga sputigena ATCC 33612,Capnocytophaga sputigena ATCC 33612,,,,identical,,,"Capnocytophaga sputigena Capno, ATCC 33612",Reference Genome,,2008-10-01T13:43:02.250,,NZ_ABZV00000000,,2672.0,,,Major,SRR005028,,SAMN00000681,HMP015-454 Sample,,2008/11/21,J. Craig Venter Institute,19x,454-GS-FLX,454-GS-FLX,454,assembly,ATCC 33612,1019.0,Homo sapiens,,ATCC 33612,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553177.0,,,,,,,,,latest,ABZV00000000.1,,,False,Non_marine
21,GCA_000174755.1,GCA_000174755.1_ASM17475v1_genomic,p__Bacteroidetes (UID2605),99.76,0.48,0.0,97.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga gingivalis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis,37,37,2667138,2667138,0.0,6,152766,6,152766,18,42682,18,42682,337980,337980,16,87.429,0.40489,0.03074,High,2467,1776,873,1346,44,71.99027158492095,35.387109850020266,54.56019456830158,1.7835427644912847,ASM17475v1,,,,,,Contig,Newbler v. 1.1.03.24-64-7,Newbler,,PRJNA31387,SAMN00001917,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga gingivalis ATCC 33624,,Oral,,,,"Capnocytophaga gingivalis is a gram-negative, microaerophilic, CO2 requiring gliding bacterium. It is an opportunistic pathogen associated with periodontitis. The bacterium forms coaggregates with A. israelii that are involved in plaque formation on the surface of teeth. The coaggregates are formed by aminogalactoside- or neuraminlactose-sensitive molecules. ",2009-04-29T00:00:00Z,,,37.0,,ATCC 33624,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,2667000,,,Level 2: High-Quality Draft37x;37,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/755/GCA_000174755.1_ASM17475v1,,GCF_000174755.1,ACLQ00000000,,Capnocytophaga gingivalis ATCC 33624,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=ATCC 33624,,,,,,,,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,J. Craig Venter Institute,553178.0,,Capnocytophaga gingivalis ATCC 33624,Capnocytophaga gingivalis ATCC 33624,,,Microaerophilic,identical,,,Capnocytophaga gingivalis ATCC 33624,Reference Genome,,2009-02-24T00:00:00.000,,NZ_ACLQ00000000,,2588.0,,assembly from type material,Major,SRR013509,,SAMN00001917,HMP016-454 Sample,,2009/04/29,J. Craig Venter Institute,37x,454,454,454,assembly,ATCC 33624,1017.0,Homo sapiens,,ATCC 33624,,,MIGS.ba,MIGS.ba.5.0,J. Craig Venter Institute,,,553178.0,,,,,,type strain of Capnocytophaga gingivalis,,,latest,ACLQ00000000.1,,,False,Non_marine
22,GCA_000183155.1,GCA_000183155.1_ASM18315v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2155121,2155121,0.0,1,2155121,1,2155121,1,2155121,1,2155121,2155121,2155121,1,100.0,0.3501,0.0,High,2008,1592,852,1300,38,79.2828685258964,42.430278884462155,64.7410358565737,1.8924302788844625,ASM18315v1,,,,,,Complete Genome,,,,PRJNA41989,SAMN00138930,,,symbiont,Blood,Rod-shaped,,1954,Riemerella anatipestifer DSM 15868.This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project,2010-11-23T00:00:00Z,,,1.0,USA,DSM 15868,,,,Polyserositis;Septcemia,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/155/GCA_000183155.1_ASM18315v1,Gi04613,GCF_000183155.1,CP002346,,Riemerella anatipestifer ATCC 11845 = DSM 15868,,Full,Complete,,USA,,USA,,Host-associated,Anas platyrhynchos (duck),,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,,,Septicemic disease in waterfowls. Septicemia anserum exsudativa. Epizootic infectious disease of domestic birds.,Anas platyrhynchos (duck),Duck,,,,,,,,,,,,strain=DSM 15868,bacteria_archaea,8240957.0,,isolated by Bruner and Fabricant,,Duck blood,blood,,,,,MLST.Riemerella_anatipestifer.15,,,,,,Nonmotile,,693978.0,,,Riemerella anatipestifer DSM 15868,,,Facultative,identical,,,Riemerella anatipestifer A350/72,,,,DSM 15868,NC_014738,,1972.0,microaerophilic,assembly from type material,Major,,,,,,2010/11/23,US DOE Joint Genome Institute (JGI-PGF)|DOE Joint Genome Institute|JGI-PGF,,,,,complete,,34085.0,,Nonsporulating,DSM 15868,,,,,US DOE Joint Genome Institute (JGI-PGF),,,693978.0,,37C,Mesophile,,,,Yes,,latest,,,,False,Non_marine
23,GCA_000183985.1,GCA_000183985.1_ASM18398v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,9,61,2663545,2635317,1.06,1,2652826,10,84309,1,2652826,29,31602,2652826,289625,1,99.598,0.39459,0.06569,High,2202,1748,904,1368,86,79.38237965485922,41.053587647593105,62.12534059945504,3.905540417801998,ASM18398v1,,,,,,Scaffold,Newbler assembler v. 2.3-04192010,Newbler assembler v. 2.3-04192010,,PRJNA51493,SAMN00215988,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga ochracea F0287,,Oral,Rod,,,Capnocytophaga ochracea strain F0287,2010-12-13T00:00:00Z,,,9.0,,BEI HM-15,,,,Periodontitis,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,2635000,,,Level 2: High-Quality Draft34.5x;61,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/985/GCA_000183985.1_ASM18398v1,,GCF_000183985.1,AEOH00000000,,Capnocytophaga ochracea F0287,,Full,WGS,,9606.0,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=F0287,bacteria_archaea,8240957.0,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,"Yes, gliding",Baylor College of Medicine,873517.0,,Capnocytophaga ochracea F0287,Capnocytophaga ochracea F0287,,,Facultative,identical,,,Capnocytophaga ochracea F0287,Reference Genome,,2011-02-15T14:26:03.917,DSM 15868,NZ_AEOH00000000,,2333.0,,,Major,SRR101435,,SAMN00215988,,,2010/12/13,Baylor College of Medicine,34.5x,454-Paired-end,454-Paired-end,454,assembly,BEI HM-15,1018.0,Homo sapiens,No,F0287,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,873517.0,,,Mesophilic,,,,,,latest,AEOH00000000.1,,,False,Non_marine
26,GCA_000189415.1,GCA_000189415.1_ASM18941v1_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella;s__Weeksella virosa,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella virosa,1,1,2272954,2272954,0.0,1,2272954,1,2272954,1,2272954,1,2272954,2272954,2272954,1,100.0,0.35922,0.0,High,2116,1701,947,1431,48,80.38752362948959,44.75425330812855,67.62759924385631,2.2684310018903595,ASM18941v1,,,,,,Complete Genome,,,,PRJNA50581,SAMN00713585,,"Weeksella virosa DSM 16922, complete genome.",free living,Urogenital tract,Rod,,,Keywords: GSC:MIGS:2.1,2011-02-15T00:00:00Z,,,1.0,USA,DSM 16922,,,,,,,,,,,,,,,Host,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/415/GCA_000189415.1_ASM18941v1,Gi04366,GCF_000189415.1,CP002455,"Prodigal 1.4, GenePRIMP",Weeksella virosa DSM 16922,,Full,Complete,,USA,,USA,Gram-,,Homo sapiens,,,,,,Homo sapiens,Homo sapiens,,,,,,,,,,,,strain=DSM 16922,bacteria_archaea,,,,,"Human urine; USA, North Carolina",urine,,,,,,,,,,,,NCBI,865938.0,,Weeksella virosa DSM 16922,Weeksella virosa DSM 16922,,,,identical,,,"Weeksella virosa CL345/78, DSM 16922",,21475590,2011-08-24T00:00:00.000,"DSM 16922, ATCC 43766, CDC 9751, CIP 103040, NCTC 11634",NC_015144,representative genome,2049.0,aerobe,assembly from type material,Major,SRR3926800,,SAMN00713585,,,2011/02/15,JGI|JGI-PGF,,,,,complete,,1014.0,,,DSM 16922,,,Generic,Generic.1.0,JGI,,,865938.0,,,Mesophilic,,,type strain of Weeksella virosa,Yes,,latest,,,,False,Non_marine
28,GCA_000191565.1,GCA_000191565.1_ASM19156v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2166384,2166384,0.0,1,2166384,1,2166384,1,2166384,1,2166384,2166384,2166384,1,100.0,0.35007,0.0,High,2083,1633,875,1330,36,78.39654344695151,42.00672107537206,63.850216034565534,1.7282765242438791,ASM19156v1,,,,,,Complete Genome,,,,PRJNA49039,SAMN02603017,,Sample from Riemerella anatipestifer RA-GD,,,,,,Riemerella anatipestifer.This species was isolated from an infected duck.,2011-03-07T00:00:00Z,,,1.0,China: Guangzhou,,,,,,,,,,,,,,,,,,,many frameshifted proteins,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/565/GCA_000191565.1_ASM19156v1,,GCF_000191565.1,CP002562,,Riemerella anatipestifer RA-GD,,Full,Complete,,China: Guangzhou,Guangzhou,China,,,Duck,,,,,,,Duck,,,,,,,,,,,,strain=RA-GD,,,,isolated from an infected duck,,,infected duck,,,,,MLST.Riemerella_anatipestifer.16,,,,,,,NCBI,992406.0,,Riemerella anatipestifer RA-GD,Riemerella anatipestifer RA-GD,,,,identical,,,,,21441509,2014-01-30T11:19:26.053,,NC_017569.1,,1985.0,,,Major,,,SAMN02603017,CP002562,,2011/03/07,"Beijing Institute of Genomics, Chinese Academy of Sciences|Institute of Veterinary Medicine Guangdong Academy of Agricultural Sciences",,,,,complete,,34085.0,,,RA-GD,,,Generic,Generic.1.0,"Beijing Institute of Genomics, Chinese Academy of Sciences",,,992406.0,,,,,,,,,latest,,,,False,Non_marine
29,GCA_000192225.1,GCA_000192225.1_ASM19222v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sp000192225,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp000192225,29,74,2548422,2478610,2.739,1,2360944,8,113645,1,2360944,23,34967,2360944,290453,2,97.855,0.36665,0.06176,High,2335,1687,846,1308,44,72.24839400428266,36.23126338329765,56.017130620985014,1.8843683083511775,ASM19222v1,,,,,,Scaffold,Newbler assembler v. 2.3-04192010,Newbler assembler v. 2.3-04192010,,PRJNA53023,SAMN00253971,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sp. oral taxon 338 str. F0234,,Oral,,,,Capnocytophaga sp. oral taxon 338 str. F0234,2011-03-10T00:00:00Z,,,29.0,,BEI HM-265,,,,,,,,,terrestrial biome [ENVO:00000446],,Homo sapiens-associated habitat [ENVO:00009003],,,,,,2479000,,,Level 2: High-Quality Draft37.97x;74,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/225/GCA_000192225.1_ASM19222v1,,GCF_000192225.1,AEXX00000000,,Capnocytophaga sp. oral taxon 338 str. F0234,,Full,WGS,,9606.0,,,,,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=F0234,,,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,,Baylor College of Medicine,888059.0,,Capnocytophaga sp. oral taxon 338 str. F0234,Capnocytophaga sp. oral taxon 338 str. F0234,,,,identical,,,Capnocytophaga sp. oral taxon 338 F0234,Reference Genome,,2011-03-29T15:32:56.073,,NZ_AEXX00000000,,2445.0,,,Major,SRR155583,,SAMN00253971,,,2011/03/16,Baylor College of Medicine,37.975x,454-Paired-end,454-Paired-end,454,assembly,BEI HM-265,710239.0,Homo sapiens,,F0234,,,MIGS.ba,MIGS.ba.5.0,Baylor College of Medicine,,,888059.0,,,,,,,,,latest,AEXX00000000.1,,,False,Non_marine
33,GCA_000213295.2,GCA_000213295.2_ASM21329v2_genomic,p__Bacteroidetes (UID2605),94.34,0.24,0.0,93.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga leadbetteri,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri,141,287,2536778,2456193,3.177,20,40450,47,15650,68,10915,155,4264,113873,66274,13,38.562,0.40036,0.03802,High,2152,1658,862,1286,62,77.04460966542752,40.055762081784394,59.758364312267645,2.8810408921933086,ASM21329v2,,,,,,Scaffold,Velvet v. 0.7.57,Velvet v. 0.7.57,,PRJNA43127,SAMN00189097,MIGS.ba,MIGS Cultured Bacterial/Archaeal sample from Capnocytophaga sp. oral taxon 329 str. F0087,,Oral,Rod,,, Sample Type       : genomic dna  ,2011-05-11T00:00:00Z,lims@genome.wustl.edu,,157.0,,BEI HM-267,,,,,,,,,terrestrial biome [ENVO:00000446],,human-associated habitat [ENVO:00009003],,,,,,6749000,,,Level 2: High-Quality Draft157,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/295/GCA_000213295.2_ASM21329v2,,GCF_000213295.2,AFHP00000000,,Capnocytophaga sp. oral taxon 329 str. F0087,,Full,WGS,,9606.0,,,,Host-associated,"Human, homo sapiens",,,,,,"Human, Homo sapiens",Homo sapiens,,,9606.0,,,,,,,,,strain=F0087,,,,,,,oral cavity,,,,,,,biological product [ENVO:02000043],,"HMP supersite, oral",oral,Yes,"Washington University, Genome Sequencing Center",706436.0,,Capnocytophaga sp. oral taxon 329 str. F0087,Capnocytophaga sp. oral taxon 329 str. F0087,,,Facultative,identical,,,Capnocytophaga sp. oral taxon 329 F0087,Reference Genome,,2010-12-23T11:26:04.077,,NZ_AFHP00000000,,6275.0,,,Major,SRR089412,,SAMN00189097,70787,,2014/11/25,Washington University Genome Center,29.9x,"454, Sanger","454, Sanger",454; Sanger,assembly,BEI HM-267,706435.0,Homo sapiens,No,F0087,,,MIGS.ba,MIGS.ba.5.0,Washington University Genome Center,,,706436.0,,,Mesophilic,,,,,,latest,AFHP00000000.2,,,False,Non_marine
