Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1005926.4","Muricauda taeanensis strain JCM 17757",,1005926,"WGS","JCM 17757",,,,,,,,"2018-09-20T00:00:00Z",,"PRJNA437398","SAMN09939642","GCA_003584105.1",,"QXFO01000000",,"Second Institute of Oceanography, State Oceanic Administration",,"Illumina HiSeq X-Ten","308x","ABySS v. 1.9.0",,,28,4101660,45.60536,3853,3644,,"tidal mudflat",,,"South Korea","South Korea: Taean coast of the Yellow Sea",,,,"5m","env_biome:marine biome",,,,,,,,,,,,,,,,,,,,"This project was used for calculating ANI value and the G+C content of whole genome in new microbial species polyphasic characterization.",,99.4,95.5,100,7.7,,"Good","2018-10-03T19:00:06.712Z","2018-10-03T19:00:06.712Z"
"1008457.3","Myroides injenensis M09-0166","Myroides injenensis M09-0166",1008457,"WGS",,,,,,," ",,"2012-02-04T00:00:00Z","22535932","PRJDA171989","SAMD00036610","GCA_000246945.2",,"BAEX00000000","-","Korea Research Institute of Bioscience and Biotechnology","WGS","454","36x",,,,226,3458160,31.35,2993,,,"urine of a patient with fever",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"The Myroides strains are not normal human microflora. They have been consistently isolated, nevertheless, from clinical specimens such as human urine, feces, infected wounds, sputum and blood.",,97.9,97.5,99.9,,,"Good","2014-12-08T22:12:24.582Z","2015-03-16T03:17:09.594Z"
"1009412.3","Flavobacterium sp. SCGC AAA160-P02","Flavobacterium sp. SCGC AAA160-P02",1009412,"WGS","SCGC AAA160-P02",,,,,,,,"2013-04-26T00:00:00Z",,"PRJNA195656","SAMN02441636","GCA_000383355.1","SRR3938271","ARTD00000000","-","DOE Joint Genome Institute","WGS","Illumina HiSeq 2000","Unknown","Unknown program v. before 2011-11-10",,,84,2543104,31.8,2300,,,,,,"Gulf of Mexico","Gulf of Maine",,,,,,,,,,,,,,,"Negative",,,,,,,,,,"Generating reference genomes for marine ecosystem research: Single cell sequencing of ubiquitous, uncultured bacterioplankton clades;derived from single cell",,96,95,89.3,2.6,,"Good","2014-12-08T22:11:38.499Z","2015-03-16T03:17:09.594Z"
"1009712.7","Flavobacterium sp. SCGC AAA536-P05",,1009712,"WGS","SCGC AAA536-P05",,,,,,,,"2013-04-26T00:00:00Z",,"PRJNA195658","SAMN02440971","GCA_000384835.1",,"ARQV01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Unknown program v. before 2011-11-14",,,55,263384,38.324352,306,,,,,"11/18/2009 12:00:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,"Generating reference genomes for marine ecosystem research: Single cell sequencing of ubiquitous, uncultured bacterioplankton clades",,94.2,93.9,,,"Genome too short","Poor","2019-07-18T17:58:54.807Z","2019-07-18T17:58:54.807Z"
"101383.4","Cryomorpha ignava strain QSSC 1-22",,101383,"WGS","QSSC 1-22",,,,,,"ACAM:647","Yes","2020-02-15T00:00:00Z",,"PRJNA605508","SAMN14069737",,,"JAAGVY010000001,JAAGVY010000002,JAAGVY010000003,JAAGVY010000004,JAAGVY010000005,JAAGVY010000006,JAAGVY010000007",,"University of Tasmania",,"Illumina HiSeq","222.0x","Unicycler v. 0.4.8.0",,,149,5006455,40.32298,4678,4124,,"quartz stone sublithic biofilm",,"2000","Antarctica","Antarctica:Vestfold Hills",,,,,,,,,,,,,,,,,,,,,,,,,"Genome sequence of Cryomorpha ignava QSC1-22 (type strain)","sample_type:Genome sequence of Cryomorpha ignava QSC1-22 (type strain);biomaterial_provider:John Bowman;collected_by:John Bowman;identified_by:John Bowman",95.4,94.9,,,,"Good","2020-03-27T13:51:55.691Z","2020-03-27T13:51:55.691Z"
"1014.4","Weeksella virosa strain NCTC11635",,1014,"WGS","NCTC11635",,,,,,,,"2018-07-30T00:00:00Z",,"PRJEB6403","SAMEA104167219","GCA_900460495.1",,"UHIU01000000",,"SC",,,,,,,6,2276367,35.910248,2207,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.9,99.2,100,0.1,,"Good","2018-10-04T08:17:18.678Z","2018-10-04T08:17:18.678Z"
"1014.5","Weeksella virosa strain NCTC11634",,1014,"Complete","NCTC11634","not available: to be reported later",,,,,"NCTC:11634",,"2018-12-19T00:00:00Z",,"PRJEB6403","SAMEA26407168","GCA_900637795.1",,"LR134404",,"SC",,,,,1,,1,2287133,35.93503,2216,2130,,"urine",,"1900/1986",,,,,,,,"Human, Homo sapiens",,,,,,"host_health_state:not available: to be reported later",,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.9,99.9,,,,"Good","2019-02-01T14:01:11.577Z","2019-02-01T14:01:11.577Z"
"1015.3","Bergeyella zoohelcum strain NCTC11660",,1015,"WGS","NCTC11660",,,,,,,,"2018-08-06T00:00:00Z",,"PRJEB6403","SAMEA4362427","GCA_900445655.1",,"UFTL01000000",,"SC",,,,,,,2,2331468,36.182655,2277,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.8,99.6,100,,,"Good","2018-10-03T23:49:57.859Z","2018-10-03T23:49:57.859Z"
"1015.4","Bergeyella zoohelcum strain NCTC11661",,1015,"WGS","NCTC11661",,,,,,,,"2018-08-07T00:00:00Z",,"PRJEB6403","SAMEA104167218","GCA_900445675.1",,"UFTJ01000000",,"SC",,,,,,,5,2505532,36.294647,2564,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.9,99.6,100,2.6,,"Good","2018-10-03T23:53:06.864Z","2018-10-03T23:53:06.864Z"
"1017.4","Capnocytophaga gingivalis strain H1496",,1017,"Complete","H1496",,,,,,,,"2017-09-14T00:00:00Z",,"PRJNA369395","SAMN06289147","GCA_002302415.1",,"CP022386",,"Centers for Disease Control and Prevention",,"PacBio; Illumina MiSeq","211.3x","Canu v. 1.4",1,,1,2838633,40.09,2818,2662,,"Sputum",,"18-Apr-2000","United States","USA: Ohio",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"select isolates within the Capnocytophaga genus were biochemically characterized and sequenced for taxonomic evaluations","sample_type:cell culture",98.8,98.5,100,,,"Good","2017-09-28T23:30:54.243Z","2017-09-28T23:30:54.243Z"
