,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Nr_BGCs,PEP:GH,BGCs/genomesize,merops_perMb,bgc_perMb,cazymes_perMb
0,GCA_000016645.1,244,4.6995377503852085,5192,GCA_000016645.1,183,158,3.5246533127889057,GCA_000016645.1,Flavobacterium,Flavobacteriaceae,6096872,99.65,False,Non_marine,7.0,0.75,1.1481297294743927e-06,30.015391499116266,1.1481297294743926,40.02052199882169
1,GCA_000023285.1,88,4.032997250229148,2182,GCA_000023285.1,77,55,3.528872593950504,GCA_000023285.1,Capnocytophaga,Flavobacteriaceae,2612925,100.0,False,Non_marine,4.0,0.875,1.5308514404355273e-06,29.4688902283839,1.5308514404355273,33.6787316895816
2,GCA_000023465.1,197,4.392419175027871,4485,GCA_000023465.1,168,128,3.7458193979933108,GCA_000023465.1,Zunongwangia,Flavobacteriaceae,5128187,99.62,False,Unclassified,3.0,0.8527918781725888,5.850020679823103e-07,32.76011580700938,0.5850020679823104,38.415135797505044
3,GCA_000023725.1,91,3.6240541616885698,2511,GCA_000023725.1,113,28,4.500199123855038,GCA_000023725.1,Kaistella,Weeksellaceae,2768102,100.0,False,Non_marine,1.0,1.2417582417582418,3.612583640342733e-07,40.82219513587288,0.3612583640342733,32.87451112711887
4,GCA_000024125.1,90,2.892960462873674,3111,GCA_000024125.1,160,37,5.143040822886532,GCA_000024125.1,Robiginitalea,Flavobacteriaceae,3530383,99.01,False,Unclassified,3.0,1.7777777777777777,8.497661585159457e-07,45.32086178751711,0.8497661585159457,25.492984755478375
5,GCA_000060345.1,114,3.3081834010446896,3446,GCA_000060345.1,139,46,4.033662217063261,GCA_000060345.1,Gramella,Flavobacteriaceae,3798465,99.62,False,Unclassified,3.0,1.219298245614035,7.897927189009245e-07,36.59372930907617,0.7897927189009245,30.01212331823513
6,GCA_000064305.2,56,2.2355289421157685,2505,GCA_000064305.2,108,7,4.311377245508982,GCA_000064305.2,Flavobacterium,Flavobacteriaceae,2860382,99.29,False,Unclassified,3.0,1.9285714285714286,1.048810963011234e-06,37.75719466840443,1.048810963011234,19.577804642876373
7,GCA_000143785.1,114,2.2183304144775247,5139,GCA_000143785.1,215,63,4.183693325549718,GCA_000143785.1,Chryseobacterium,Weeksellaceae,5570640,100.0,False,Non_marine,9.0,1.8859649122807018,1.6156132868036707e-06,38.59520629586547,1.6156132868036708,20.464434966179827
8,GCA_000152925.3,84,2.8935583878746125,2903,GCA_000152925.3,129,23,4.443678952807441,GCA_000152925.3,Dokdonia,Flavobacteriaceae,3302548,99.62,False,Marine,3.0,1.5357142857142858,9.083895222718944e-07,39.06074945769145,0.9083895222718944,25.434906623613042
9,GCA_000152945.2,74,2.804092459264873,2639,GCA_000152945.2,118,32,4.47139067828723,GCA_000152945.2,Polaribacter,Flavobacteriaceae,2961474,99.61,False,Unclassified,2.0,1.5945945945945945,6.753393749193813e-07,39.8450231202435,0.6753393749193813,24.98755687201711
10,GCA_000152985.1,156,4.2599672310213,3662,GCA_000152985.1,154,104,4.205352266521026,GCA_000152985.1,Leeuwenhoekiella,Flavobacteriaceae,4244565,99.05,False,Unclassified,4.0,0.9871794871794872,9.423816103652553e-07,36.281691999062325,0.9423816103652553,36.75288280424496
11,GCA_000153165.2,127,3.7363930567814063,3399,GCA_000153165.2,166,69,4.883789349808768,GCA_000153165.2,Maribacter_A,Flavobacteriaceae,3868304,99.5,False,Unclassified,1.0,1.3070866141732282,2.585112235232805e-07,42.91286310486456,0.2585112235232805,32.830925387456624
12,GCA_000153225.1,43,1.7753922378199831,2422,GCA_000153225.1,109,17,4.500412881915771,GCA_000153225.1,Polaribacter,Flavobacteriaceae,2763458,99.33,False,Unclassified,3.0,2.5348837209302326,1.0855963796084472e-06,39.44333512577357,1.0855963796084471,15.560214774387742
13,GCA_000153385.1,57,2.0488856937455067,2782,GCA_000153385.1,106,22,3.8102084831056793,GCA_000153385.1,Nonlabens,Flavobacteriaceae,3103424,98.16,False,Unclassified,3.0,1.8596491228070176,9.666742282072962e-07,34.15582272999113,0.9666742282072962,18.36681033593863
14,GCA_000153485.2,77,2.058273188986902,3741,GCA_000153485.2,164,32,4.383854584335739,GCA_000153485.2,Psychroflexus,Flavobacteriaceae,4321832,98.73,False,Unclassified,4.0,2.1298701298701297,9.255334311930681e-07,37.94687067891579,0.9255334311930682,17.81651855046656
15,GCA_000154725.1,85,1.9270006801178872,4411,GCA_000154725.1,172,39,3.899342552709136,GCA_000154725.1,Kordia,Flavobacteriaceae,5033129,99.48,False,Unclassified,6.0,2.023529411764706,1.192101374711437e-06,34.17357274172786,1.192101374711437,16.88810280841202
16,GCA_000169355.1,64,2.516712544239088,2543,GCA_000169355.1,103,24,4.050334250884782,GCA_000169355.1,Flavobacterium,Flavobacteriaceae,2806989,99.62,False,Unclassified,2.0,1.609375,7.125072453080507e-07,36.69412313336461,0.7125072453080508,22.800231849857624
17,GCA_000171875.1,93,2.7248754761207152,3413,GCA_000171875.1,187,36,5.479050688543803,GCA_000171875.1,Winogradskyella,Flavobacteriaceae,3825707,98.84,False,Unclassified,2.0,2.010752688172043,5.22779188265071e-07,48.879854102784144,0.522779188265071,24.309232254325803
18,GCA_000173095.1,37,2.1167048054919912,1748,GCA_000173095.1,90,18,5.148741418764303,GCA_000173095.1,MS024-2A,Flavobacteriaceae,1905484,91.18,False,Unclassified,0.0,2.4324324324324325,0.0,47.23209431304592,0.0,19.417638773141103
19,GCA_000173115.1,28,2.0573108008817047,1361,GCA_000173115.1,71,11,5.216752387950037,GCA_000173115.1,MAG-120531,Flavobacteriaceae,1515248,72.67,False,Unclassified,0.0,2.5357142857142856,0.0,46.85701614521187,0.0,18.47882326853426
20,GCA_000173675.1,81,2.9988893002591634,2701,GCA_000173675.1,84,48,3.109959274342836,GCA_000173675.1,Capnocytophaga,Flavobacteriaceae,2997845,99.52,False,Non_marine,4.0,1.037037037037037,1.334291799609386e-06,28.02012779179711,1.3342917996093862,27.019408942090067
21,GCA_000174755.1,44,1.7835427644912847,2467,GCA_000174755.1,89,15,3.607620591811917,GCA_000174755.1,Capnocytophaga,Flavobacteriaceae,2667138,99.76,False,Non_marine,5.0,2.022727272727273,1.8746686523157032e-06,33.36910201121952,1.8746686523157032,16.49708414037819
22,GCA_000183155.1,38,1.8924302788844625,2008,GCA_000183155.1,84,4,4.183266932270916,GCA_000183155.1,Riemerella,Weeksellaceae,2155121,100.0,False,Non_marine,0.0,2.210526315789474,0.0,38.97692983363811,0.0,17.632420639026762
23,GCA_000183985.1,86,3.905540417801998,2202,GCA_000183985.1,78,52,3.5422343324250685,GCA_000183985.1,Capnocytophaga,Flavobacteriaceae,2663545,100.0,False,Non_marine,3.0,0.9069767441860465,1.1263184965900708e-06,29.28428091134184,1.1263184965900708,32.287796902248694
24,GCA_000184135.2,38,1.914357682619648,1985,GCA_000184135.2,85,4,4.282115869017632,GCA_000184135.2,Riemerella,Weeksellaceae,2130198,100.0,False,Unclassified,0.0,2.236842105263158,0.0,39.902394049754996,0.0,17.838717339890472
25,GCA_000186265.1,132,3.0841121495327095,4280,GCA_000186265.1,143,69,3.3411214953271027,GCA_000186265.1,Cellulophaga,Flavobacteriaceae,4888353,99.67,False,Marine,4.0,1.0833333333333333,8.182715118977701e-07,29.253206550345283,0.81827151189777,27.002959892626414
26,GCA_000189415.1,48,2.2684310018903595,2116,GCA_000189415.1,98,4,4.631379962192817,GCA_000189415.1,Weeksella,Weeksellaceae,2272954,100.0,False,Non_marine,1.0,2.0416666666666665,4.3995610997846853e-07,43.11569877788992,0.4399561099784685,21.11789327896649
27,GCA_000190595.1,98,2.9705971506517126,3299,GCA_000190595.1,125,51,3.789026977872082,GCA_000190595.1,Cellulophaga,Flavobacteriaceae,3765936,99.67,False,Non_marine,1.0,1.2755102040816326,2.6553823538158907e-07,33.19227942269863,0.26553823538158905,26.022747067395727
28,GCA_000191565.1,36,1.7282765242438791,2083,GCA_000191565.1,85,4,4.080652904464714,GCA_000191565.1,Riemerella,Weeksellaceae,2166384,100.0,False,Non_marine,0.0,2.361111111111111,0.0,39.23588800508128,0.0,16.617552566857952
29,GCA_000192225.1,44,1.8843683083511775,2335,GCA_000192225.1,87,16,3.7259100642398284,GCA_000192225.1,Capnocytophaga,Flavobacteriaceae,2548422,100.0,False,Non_marine,5.0,1.9772727272727273,1.9619984445276332e-06,34.13877293478082,1.9619984445276333,17.265586311843172
30,GCA_000196315.1,70,2.609019754006709,2683,GCA_000196315.1,118,12,4.39806187103988,GCA_000196315.1,Croceibacter,Flavobacteriaceae,2952962,99.62,False,Marine,4.0,1.6857142857142857,1.3545721211448031e-06,39.95987757377169,1.3545721211448032,23.705012120034052
31,GCA_000211855.3,77,2.586496472959355,2977,GCA_000211855.3,130,16,4.366812227074235,GCA_000211855.3,Lacinutrix,Flavobacteriaceae,3296168,99.67,False,Marine,2.0,1.6883116883116882,6.067651891529801e-07,39.439737294943704,0.6067651891529801,23.360459782389732
32,GCA_000212355.1,81,2.709030100334448,2990,GCA_000212355.1,132,19,4.414715719063545,GCA_000212355.1,Dokdonia,Flavobacteriaceae,3389993,99.62,False,Unclassified,4.0,1.6296296296296295,1.1799434394112318e-06,38.93813350057065,1.1799434394112318,23.893854648077443
33,GCA_000213295.2,62,2.8810408921933086,2152,GCA_000213295.2,74,36,3.4386617100371746,GCA_000213295.2,Capnocytophaga,Flavobacteriaceae,2536778,94.34,False,Non_marine,2.0,1.1935483870967742,7.88401665419678e-07,29.170861620528086,0.7884016654196779,24.440451628010017
34,GCA_000218485.2,117,3.2809871003925966,3566,GCA_000218485.2,126,73,3.5333707234997194,GCA_000218485.2,Aquimarina,Flavobacteriaceae,4073879,99.62,False,Unclassified,4.0,1.0769230769230769,9.818651953089427e-07,30.92875365223169,0.9818651953089427,28.719556962786573
35,GCA_000220525.2,155,5.45390570021112,2842,GCA_000220525.2,82,110,2.8852920478536244,GCA_000220525.2,Ochrovirga,Flavobacteriaceae,3384629,96.81,False,Unclassified,1.0,0.5290322580645161,2.954533569262687e-07,24.22717526795404,0.29545335692626873,45.79527032357165
36,GCA_000220585.2,134,4.162783473128301,3219,GCA_000220585.2,122,80,3.7899968934451698,GCA_000220585.2,Croceivirga,Flavobacteriaceae,3704661,98.68,False,Unclassified,2.0,0.9104477611940298,5.39860462266318e-07,32.9314881982454,0.539860462266318,36.17065097184331
