,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Assembly accession2,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
1234,GCA_006381105.1,246,6.8868980963045905,3572,GCA_006381105.1,96,176,2.6875699888017914,GCA_006381105.1,Flavicella,Flavobacteriaceae,4583336.0,97.35,False,Marine,GCA_006381105.1_merops.txt,2.0,GCA_006381105.1,254,7.110862262038074,0.5614035087719298,4.3636338247948657e-07,0.020945442359015354,0.05541814957489479,0.00043636338247948656
1854,GCA_001697185.1,215,7.66215253029223,2806,GCA_001697185.1,84,131,2.993585174625802,GCA_001697185.1,Wenyingzhuangia,Flavobacteriaceae,3427057.0,96.85,False,Unclassified,GCA_001697185.1_merops.txt,2.0,GCA_001697185.1,218,7.769066286528867,0.5618729096989966,5.835911103900518e-07,0.02451082663638218,0.06361143103251565,0.0005835911103900519
521,GCA_006539745.1,254,7.311456534254463,3474,GCA_006539745.1,104,180,2.993667242371906,GCA_006539745.1,Flavobacterium,Flavobacteriaceae,4182207.0,99.29,False,Non_marine,GCA_006539745.1_merops.txt,5.0,GCA_006539745.1,298,8.578008059873344,0.5810055865921788,1.1955410145887088e-06,0.02486725310344514,0.07125424446948704,0.0011955410145887088
1703,GCA_001857965.1,254,7.967377666248431,3188,GCA_001857965.1,106,160,3.3249686323713923,GCA_001857965.1,Flavobacterium,Flavobacteriaceae,3851214.0,99.65,False,Unclassified,GCA_001857965.1_merops.txt,5.0,GCA_001857965.1,283,8.877038895859474,0.5888888888888889,1.2982919152246538e-06,0.027523788602762663,0.0734833224017154,0.001298291915224654
900,GCA_900142775.1,254,7.248858447488584,3504,GCA_900142775.1,107,180,3.0536529680365296,GCA_900142775.1,Flavobacterium,Flavobacteriaceae,4230539.0,99.29,False,Unclassified,GCA_900142775.1_merops.txt,5.0,GCA_900142775.1,303,8.647260273972602,0.592797783933518,1.1818824977148302e-06,0.025292285451097365,0.07162207936151871,0.00118188249771483
1679,GCA_007989005.1,263,8.144936512852276,3229,GCA_007989005.1,113,182,3.4995354598947044,GCA_007989005.1,Flavobacterium,Flavobacteriaceae,3940326.0,99.65,False,Non_marine,GCA_007989005.1_merops.txt,5.0,GCA_007989005.1,281,8.702384639207185,0.601063829787234,1.2689305402649425e-06,0.028677830209987702,0.07131389636288978,0.0012689305402649425
1667,GCA_900100165.1,263,8.152510849349039,3226,GCA_900100165.1,113,182,3.5027898326100435,GCA_900100165.1,Flavobacterium,Flavobacteriaceae,3945433.0,99.65,False,Non_marine,GCA_900100165.1_merops.txt,5.0,GCA_900100165.1,282,8.74147551146931,0.601063829787234,1.2672880264346144e-06,0.028640709397422286,0.07147504469091226,0.0012672880264346144
2209,GCA_001686935.1,262,8.106435643564359,3232,GCA_001686935.1,113,182,3.4962871287128716,GCA_001686935.1,Flavobacterium,Flavobacteriaceae,3958831.0,99.65,False,Unclassified,GCA_001686935.1_merops.txt,5.0,GCA_001686935.1,282,8.725247524752474,0.6026666666666667,1.2629991025128377e-06,0.028543779716790136,0.07123314938172405,0.0012629991025128377
2470,GCA_004016525.1,277,7.783085136274233,3559,GCA_004016525.1,120,203,3.37173363304299,GCA_004016525.1,Flavobacterium,Flavobacteriaceae,4331586.0,99.65,False,Unclassified,GCA_004016525.1_merops.txt,5.0,GCA_004016525.1,311,8.738409665636414,0.6045340050377834,1.1543116078037006e-06,0.02770347858728881,0.07179818200539018,0.0011543116078037007
957,GCA_006386525.1,232,7.2772898368883325,3188,GCA_006386525.1,101,156,3.168130489335006,GCA_006386525.1,Flavobacterium,Flavobacteriaceae,3832776.0,99.29,False,Non_marine,GCA_006386525.1_merops.txt,5.0,GCA_006386525.1,265,8.312421580928483,0.6066066066066066,1.3045374944948517e-06,0.026351657388796006,0.06914048720822714,0.0013045374944948517
