,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%
GCA_002431085.1,2758,4628,1162,1809,47,42.13197969543147,65.59100797679478,1.704133430021755
GCA_002302445.1,2226,3776,859,1364,65,38.58939802336029,61.27583108715184,2.9200359389038635
GCA_014075215.1,4465,5916,1129,2260,52,25.285554311310186,50.61590145576707,1.1646136618141096
GCA_900186555.1,2294,4094,975,1534,56,42.502179598953795,66.87009590235397,2.4411508282476024
GCA_001670625.1,1980,3428,865,1313,38,43.686868686868685,66.31313131313131,1.9191919191919191
GCA_002441475.1,2202,3704,898,1405,29,40.781108083560405,63.805631244323344,1.3169845594913716
GCA_004843725.1,3814,5776,1324,2187,75,34.714210802307285,57.34137388568432,1.9664394336654432
GCA_002964965.1,2297,3926,1003,1505,34,43.66565084893339,65.52024379625598,1.480191554201132
GCA_000511935.2,3274,6094,1348,2248,120,41.172877214416616,68.66218692730605,3.665241295051924
GCA_000688335.1,3644,6075,1381,2248,129,37.897914379802415,61.690450054884735,3.54006586169045
GCA_000260835.1,2709,4967,1182,1883,70,43.63233665559247,69.50904392764858,2.5839793281653747
GCA_902804475.1,4884,8126,1847,3071,214,37.81736281736281,62.878787878787875,4.381654381654382
GCA_002954665.1,3467,5792,1363,2203,99,39.31352754542832,63.541967118546296,2.8554946639746177
GCA_000801695.1,2225,4052,985,1519,53,44.26966292134831,68.26966292134831,2.3820224719101124
GCA_900447295.1,3474,5782,1338,2196,61,38.5146804835924,63.212435233160626,1.7559009786989062
GCA_001420285.1,3443,5465,1262,2101,92,36.65408074353761,61.0223642172524,2.67208829509149
GCA_000496035.1,3838,6048,1383,2320,110,36.03439291297551,60.44815007816571,2.86607608129234
GCA_000943565.1,3383,6225,1376,2241,145,40.67395802542123,66.24297960390186,4.286136565178835
GCA_000981625.1,2085,3651,925,1440,52,44.36450839328538,69.06474820143885,2.4940047961630696
GCA_003813905.1,3102,5602,1333,2104,113,42.972275950999354,67.82720825274016,3.6428110896196007
GCA_003860565.1,2541,4590,1067,1708,62,41.99134199134199,67.21763085399449,2.4399842581660764
GCA_007097385.1,4172,6510,1504,2492,91,36.04985618408437,59.73154362416108,2.1812080536912752
GCA_002846575.1,3295,5794,1270,2075,62,38.54324734446131,62.9742033383915,1.881638846737481
GCA_013394735.1,2453,4059,930,1442,92,37.91275988585406,58.78516102731349,3.7505095801059927
GCA_003610695.1,3348,5578,1285,2101,114,38.381123058542414,62.75388291517324,3.405017921146954
GCA_007991415.1,4603,7248,1624,2803,104,35.28133825765805,60.89506843363024,2.2593960460569193
GCA_001677395.1,2709,4616,1078,1703,61,39.79328165374677,62.864525655223325,2.2517534145441123
GCA_013404085.1,3928,6468,1489,2378,110,37.90733197556008,60.539714867617114,2.8004073319755602
GCA_008244555.1,3551,5783,1380,2286,111,38.862292312024785,64.37623204731062,3.1258800337932975
GCA_003386275.1,3723,6203,1421,2299,112,38.168143969916734,61.75127585280688,3.00832661831856
GCA_002163675.1,3440,5923,1407,2227,163,40.901162790697676,64.73837209302326,4.738372093023256
GCA_003449615.1,2651,3982,907,1571,60,34.21350433798567,59.26065635609204,2.263296869105998
GCA_002843175.1,3591,6309,1436,2334,185,39.98886104149262,64.99582289055972,5.151768309663046
GCA_000568425.1,3471,5917,1393,2199,98,40.13252664938059,63.353500432152124,2.8233938346297895
GCA_900110615.1,2545,4376,1019,1600,54,40.03929273084479,62.86836935166994,2.1218074656188604
GCA_002733915.1,3015,5092,1157,1871,56,38.37479270315091,62.056384742951906,1.857379767827529
GCA_003385415.1,3953,5875,1336,2274,85,33.79711611434353,57.525929673665566,2.1502656210473057
GCA_014219495.1,3442,5601,1349,2138,66,39.19233004067403,62.1150493898896,1.917489831493318
GCA_000425485.1,3401,5366,1247,2045,51,36.665686562775655,60.129373713613646,1.4995589532490445
GCA_000383355.1,2318,3939,974,1515,53,42.01898188093184,65.35806729939603,2.286453839516825
GCA_004119455.1,4750,6845,1571,2711,87,33.07368421052632,57.073684210526324,1.831578947368421
GCA_014219145.1,3863,5920,1382,2279,108,35.775304167745276,58.99559927517474,2.7957545948744498
GCA_004010055.1,2802,4771,1141,1767,50,40.720913633119196,63.062098501070665,1.7844396859386153
GCA_001280515.1,3120,5611,1303,2051,116,41.76282051282051,65.73717948717949,3.717948717948718
GCA_002909255.1,4544,7628,1713,2935,155,37.69806338028169,64.59066901408451,3.411091549295775
GCA_000611675.1,3161,5437,1294,2056,97,40.936412527681114,65.04270800379626,3.0686491616577034
GCA_001027945.1,3159,5167,1226,1937,30,38.80974992086103,61.31687242798354,0.949667616334283
GCA_009796865.1,3325,5790,1413,2217,106,42.49624060150376,66.67669172932331,3.18796992481203
GCA_002346855.1,1658,2583,718,1108,36,43.30518697225573,66.82750301568154,2.1712907117008444
GCA_002747695.1,1250,2359,565,836,18,45.2,66.88,1.44
GCA_002379965.1,3740,6638,1523,2523,138,40.72192513368984,67.45989304812834,3.689839572192513
GCA_002895005.1,2777,4938,1138,1781,62,40.97947425279078,64.13395750810227,2.232625135037811
GCA_002770945.1,2773,4516,1080,1721,52,38.94698882077173,62.062747926433474,1.875225387666787
GCA_009886265.1,1332,2583,710,1027,37,53.30330330330331,77.1021021021021,2.7777777777777777
GCA_900489835.1,3497,5863,1269,2093,66,36.28824706891621,59.85130111524164,1.8873319988561625
GCA_001898245.1,3550,5819,1328,2150,49,37.40845070422535,60.56338028169014,1.380281690140845
GCA_900168265.1,3015,5481,1313,2068,83,43.54892205638474,68.59038142620231,2.752902155887231
GCA_013204145.1,1691,3164,800,1229,39,47.309284447072734,72.67888823181549,2.3063276167947957
GCA_011762485.1,3767,6493,1474,2409,126,39.12928059463764,63.95009291213167,3.3448367401114947
GCA_002340745.1,1571,2905,773,1163,37,49.204328453214515,74.0292807129217,2.3551877784850412
GCA_014220445.1,4338,6693,1524,2605,94,35.131396957123094,60.05071461502997,2.1668971876440755
GCA_001421435.1,3964,6012,1350,2304,119,34.056508577194755,58.12310797174571,3.002018163471241
GCA_011525065.1,1313,2362,606,911,23,46.15384615384615,69.38309215536938,1.7517136329017517
GCA_013284035.1,3768,6489,1493,2460,159,39.62314225053078,65.28662420382165,4.219745222929936
GCA_014220655.1,4403,6730,1538,2634,94,34.93072904837611,59.82284805814218,2.1349080172609587
GCA_004122145.1,2962,5119,1137,1845,75,38.38622552329507,62.28899392302498,2.5320729237002024
GCA_013426055.1,2737,4361,1107,1732,52,40.44574351479722,63.280964559736944,1.8998903909389842
GCA_000827575.1,2538,3672,914,1458,66,36.01260835303389,57.446808510638306,2.6004728132387704
GCA_008040165.1,3558,6064,1364,2314,102,38.33614390106801,65.03653738055087,2.866779089376054
GCA_005885635.1,4454,7450,1616,2794,126,36.281993713515945,62.73013022002695,2.828917826672654
GCA_013978575.1,2419,4064,962,1549,42,39.76849937990906,64.03472509301365,1.7362546506821002
GCA_002796265.1,1800,3171,813,1255,37,45.166666666666664,69.72222222222221,2.055555555555556
GCA_004959765.1,3071,5188,1191,1921,56,38.78215564962553,62.552914360143276,1.823510257245197
GCA_006265225.1,3352,6060,1410,2187,198,42.06443914081145,65.24463007159905,5.906921241050119
GCA_001529295.1,3324,5718,1346,2186,99,40.49338146811071,65.76413959085438,2.9783393501805056
GCA_013393195.1,5149,8518,1872,3168,279,36.35657409205671,61.52651000194213,5.418527869489221
GCA_000745185.1,4015,6718,1463,2537,112,36.43835616438356,63.188044831880454,2.7895392278953923
GCA_902499555.1,3854,6436,1439,2370,111,37.33783082511676,61.49455111572393,2.8801245459263103
GCA_900610185.1,2392,4251,1013,1578,56,42.3494983277592,65.96989966555184,2.341137123745819
GCA_009799805.1,2614,4528,1123,1777,31,42.96097934200459,67.98010711553175,1.185921958684009
GCA_002333005.1,2851,4847,1189,1874,50,41.7046650298141,65.73132234303753,1.7537706068046297
GCA_004345565.1,4857,7977,1723,2984,236,35.474572781552396,61.43710109120857,4.858966440189418
GCA_000422705.1,3471,5873,1323,2104,107,38.11581676750216,60.616537021031405,3.082685105157015
GCA_007050985.1,2864,5255,1228,1955,77,42.877094972067034,68.26117318435753,2.6885474860335195
GCA_001510875.1,2549,4323,1034,1620,56,40.564927422518636,63.55433503334641,2.1969399764613575
